"projectName","shortCodeUnitName","codeUnitName","nodeEmbeddingTop3SHAPValueSum","rank","Source Cypher File: domains/anomaly-detection/labels/AnomalyDetectionArchetypeBridge.cypher"
"axon-messaging-5.0.3","AnyEvent","org.axonframework.messaging.eventstreaming.AnyEvent",-0.7214024685270105,1,""
"axon-messaging-5.0.3","TagFilteredEventCriteria","org.axonframework.messaging.eventstreaming.TagFilteredEventCriteria",-0.7179136068921363,2,""
"axon-test-5.0.3","AxonTestPhase$When$Nothing","org.axonframework.test.fixture.AxonTestPhase$When$Nothing",-0.7071109059595682,3,""
"axon-messaging-5.0.3","TagAndTypeFilteredEventCriteria","org.axonframework.messaging.eventstreaming.TagAndTypeFilteredEventCriteria",-0.6920011453333977,4,""
"axon-test-5.0.3","AxonTestPhase$When$Event","org.axonframework.test.fixture.AxonTestPhase$When$Event",-0.6545932692342039,5,""
"axon-messaging-5.0.3","OrEventCriteria","org.axonframework.messaging.eventstreaming.OrEventCriteria",-0.6189608139832575,6,""
"axon-common-5.0.3","Cache","org.axonframework.common.caching.Cache",-0.5477107479913661,7,""
"axon-messaging-5.0.3","EventTypeRestrictableEventCriteria","org.axonframework.messaging.eventstreaming.EventTypeRestrictableEventCriteria",-0.5209166770417202,8,""
"axon-test-5.0.3","AxonTestPhase$Then$Nothing","org.axonframework.test.fixture.AxonTestPhase$Then$Nothing",-0.5132294280727515,9,""
"axon-test-5.0.3","AxonTestPhase$When","org.axonframework.test.fixture.AxonTestPhase$When",-0.5049794758261086,10,""
