"projectName","shortCodeUnitName","codeUnitName","localClusteringCoefficient","degree","incomingDependencies","outgoingDependencies","rank","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/labels/AnomalyDetectionArchetypeHub.cypher"
"axon-messaging-5.0.1","ProcessingContext","org.axonframework.messaging.core.unitofwork.ProcessingContext",0.021831616659202868,234,229,5,1,""
"axon-common-5.0.1","BuilderUtils","org.axonframework.common.BuilderUtils",0.023529411764705882,35,32,3,2,""
"axon-messaging-5.0.1","EventMessage","org.axonframework.messaging.eventhandling.EventMessage",0.027942863100823688,139,136,3,3,""
"axon-messaging-5.0.1","Message","org.axonframework.messaging.core.Message",0.03266145619086796,221,215,6,4,""
"axon-common-5.0.1","Assert","org.axonframework.common.Assert",0.04233870967741935,32,31,1,5,""
"axon-common-5.0.1","Configuration","org.axonframework.common.configuration.Configuration",0.045394736842105265,96,94,2,6,""
"axon-common-5.0.1","DescribableComponent","org.axonframework.common.infra.DescribableComponent",0.04541062801932367,46,45,1,7,""
"axon-server-connector-5.0.1","ErrorCode","org.axonframework.axonserver.connector.ErrorCode",0.04710144927536232,27,8,19,8,""
"axon-messaging-5.0.1","MessageStream","org.axonframework.messaging.core.MessageStream",0.047123228853585226,153,132,21,9,""
"axon-messaging-5.0.1","CommandMessage","org.axonframework.messaging.commandhandling.CommandMessage",0.04998148833765272,74,71,3,10,""
