"projectName","shortCodeUnitName","codeUnitName","anomalyRank","anomalyScore","authorityRank","bottleneckRank","bridgeRank","hubRank","outlierRank","degreeRank","topFeature1","topFeature2","topFeature3","topFeature1Score","topFeature2Score","topFeature3Score","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/labels/AnomalyDetectionTopAnomalies.cypher"
"axon-messaging-5.0.1","ProcessingContext","org.axonframework.messaging.core.unitofwork.ProcessingContext",1,0.0854156066236193,0,3,0,1,0,0,"articleRank","pageRank","incomingDependencies",-0.2539847226827311,-0.16356149409338633,-0.14064999069188358,""
"axon-messaging-5.0.1","Message","org.axonframework.messaging.core.Message",2,0.0749966795113251,0,1,0,4,0,0,"articleRank","pageRank","incomingDependencies",-0.25987604430508937,-0.17412377834807014,-0.1358509110710054,""
"axon-messaging-5.0.1","EventCriteria","org.axonframework.messaging.eventstreaming.EventCriteria",3,0.06938323524447704,0,0,0,0,0,0,"articleRank","pageRank","incomingDependencies",-0.2712975211559755,-0.11131742339690744,-0.08499406012568375,""
"axon-messaging-5.0.1","MessageStream","org.axonframework.messaging.core.MessageStream",4,0.0659281724970579,0,2,0,9,0,0,"articleRank","incomingDependencies","degree",-0.2866921244446646,-0.17194621366830828,-0.1375929634895629,""
"axon-messaging-5.0.1","EventMessage","org.axonframework.messaging.eventhandling.EventMessage",5,0.060687208310629515,0,10,0,3,0,0,"articleRank","incomingDependencies","pageRank",-0.2728775872563226,-0.16962051385866897,-0.14823062238747906,""
"axon-common-5.0.1","TypeReference","org.axonframework.common.TypeReference",6,0.05957709119311844,1,0,0,0,0,0,"articleRank","pageRank","incomingDependencies",-0.2619027122599672,-0.17726908714137543,-0.1403400318455374,""
"axon-common-5.0.1","Internal","org.axonframework.common.annotation.Internal",7,0.05846435704292258,0,0,0,0,0,0,"articleRank","pageRank","incomingDependencies",-0.2750309312847507,-0.16675921261188523,-0.1609280675187264,""
"axon-conversion-5.0.1","Converter","org.axonframework.conversion.Converter",8,0.05604509162337018,0,0,0,0,0,0,"articleRank","pageRank","pageToArticleRankDifference",-0.27122213359955794,-0.18720571651531762,-0.13557917930467742,""
"axon-messaging-5.0.1","QualifiedName","org.axonframework.messaging.core.QualifiedName",9,0.05343971454045321,0,4,0,0,0,0,"articleRank","incomingDependencies","degree",-0.2790441915091,-0.16420357794410612,-0.14092457669815006,""
"axon-messaging-5.0.1","MessageType","org.axonframework.messaging.core.MessageType",10,0.05118688262904475,0,6,0,0,0,0,"articleRank","incomingDependencies","degree",-0.2918938663959224,-0.17957866900598965,-0.15170930249147188,""
"axon-common-5.0.1","ComponentDescriptor","org.axonframework.common.infra.ComponentDescriptor",11,0.04654949699894201,5,0,0,0,0,0,"articleRank","pageRank","pageToArticleRankDifference",-0.2655588607680424,-0.18073012180775574,-0.13688816192309158,""
"axon-messaging-5.0.1","Metadata","org.axonframework.messaging.core.Metadata",12,0.04135967403307256,7,0,0,0,0,0,"articleRank","pageRank","incomingDependencies",-0.26543865791100957,-0.19226615754115323,-0.1428668940263309,""
"axon-messaging-5.0.1","TrackingToken","org.axonframework.messaging.eventhandling.processing.streaming.token.TrackingToken",13,0.04130390487057106,0,0,0,0,4,0,"articleRank","incomingDependencies","degree",-0.29758005922810793,-0.17021521846590462,-0.13951493855190125,""
"axon-messaging-5.0.1","Context$ResourceKey","org.axonframework.messaging.core.Context$ResourceKey",14,0.03619285620635054,0,0,0,0,0,0,"articleRank","pageRank","incomingDependencies",-0.2609813174111156,-0.17365280979704714,-0.14447426405279928,""
"axon-messaging-5.0.1","ParameterResolver","org.axonframework.messaging.core.annotation.ParameterResolver",15,0.034182308518915405,0,0,0,0,0,0,"incomingDependencies","articleRank","degree",-0.20210417892078428,-0.1748407831708457,-0.173436804269894,""
"axon-common-5.0.1","AxonConfigurationException","org.axonframework.common.AxonConfigurationException",16,0.03405290201347916,0,0,0,0,0,0,"articleRank","pageRank","pageToArticleRankDifference",-0.3393471808954084,-0.15990981292121326,-0.09496500175104718,""
"axon-common-5.0.1","DescribableComponent","org.axonframework.common.infra.DescribableComponent",17,0.03314079899235206,4,0,0,7,0,0,"articleRank","pageRank","incomingDependencies",-0.2693585440589341,-0.18235884024561438,-0.13837296754147937,""
"axon-messaging-5.0.1","MessageHandlingMember","org.axonframework.messaging.core.annotation.MessageHandlingMember",18,0.030175501109513003,0,0,0,0,0,0,"articleRank","incomingDependencies","degree",-0.3080691066165618,-0.17250636985718704,-0.13250603837696623,""
"axon-messaging-5.0.1","Span","org.axonframework.messaging.tracing.Span",19,0.02879966475370982,0,0,0,0,0,0,"articleRank","nodeEmbeddingPCA_16","pageRank",-0.23426863296027783,-0.12245715763297528,-0.10457381009084674,""
"axon-update-5.0.1","DetectedVulnerabilitySeverity","org.axonframework.update.api.DetectedVulnerabilitySeverity",20,0.028194710996777006,0,0,1,0,0,0,"nodeEmbeddingPCA_25","nodeEmbeddingPCA_10","nodeEmbeddingPCA_27",-0.3000623129618006,-0.15562823457993794,-0.10090861933834143,""
"axon-messaging-5.0.1","CommandMessage","org.axonframework.messaging.commandhandling.CommandMessage",21,0.023790187407319252,0,0,0,10,0,0,"articleRank","incomingDependencies","degree",-0.3004676298959491,-0.1797066015164052,-0.1556216674204276,""
"axon-common-5.0.1","AxonException","org.axonframework.common.AxonException",22,0.02247707068507948,6,0,0,0,0,0,"articleRank","pageRank","pageToArticleRankDifference",-0.33667237544351564,-0.24053156138896767,-0.16353061960882007,""
"axon-messaging-5.0.1","ParameterResolverFactory","org.axonframework.messaging.core.annotation.ParameterResolverFactory",23,0.022363809642402088,0,0,0,0,0,0,"incomingDependencies","articleRank","degree",-0.23079197115188307,-0.19556912888771832,-0.16828720229421137,""
"axon-common-5.0.1","Configuration","org.axonframework.common.configuration.Configuration",24,0.021669317348638695,0,0,0,6,0,0,"articleRank","pageRank","incomingDependencies",-0.272029579816114,-0.17737627590448662,-0.15970044048820484,""
"axon-update-5.0.1","UpdateCheckResponse","org.axonframework.update.api.UpdateCheckResponse",25,0.02160329538923672,0,0,2,0,0,0,"nodeEmbeddingPCA_25","nodeEmbeddingPCA_10","nodeEmbeddingPCA_27",-0.30188990497437673,-0.15484295581246457,-0.09243059322710327,""
"axon-messaging-5.0.1","CommandResultMessage","org.axonframework.messaging.commandhandling.CommandResultMessage",26,0.01716638971466483,0,0,0,0,0,0,"incomingDependencies","degree","articleRank",-0.2089331801562938,-0.1656597853094463,-0.14149348450199378,""
"axon-eventsourcing-5.0.1","AggregateBasedJpaEventStorageEngine","org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngine",27,0.016915078812307083,0,0,0,0,0,0,"degree","outgoingDependencies","localClusteringCoefficient",-0.2434819176961899,-0.07142510364219148,-0.02334566645985073,""
"axon-messaging-5.0.1","MessageStream$Entry","org.axonframework.messaging.core.MessageStream$Entry",28,0.016850884649876663,0,0,0,0,0,0,"articleRank","incomingDependencies","degree",-0.2957240902494659,-0.1909351890278791,-0.14872401200305868,""
"axon-common-5.0.1","AxonNonTransientException","org.axonframework.common.AxonNonTransientException",29,0.01599673179556932,9,0,0,0,0,0,"articleRank","pageRank","pageToArticleRankDifference",-0.34749325857962127,-0.22304642461244492,-0.15762474509887237,""
"axon-messaging-5.0.1","MessageStream$Single","org.axonframework.messaging.core.MessageStream$Single",30,0.015773298042191686,0,0,0,0,0,0,"articleRank","incomingDependencies","degree",-0.3053737047009092,-0.17121011318297474,-0.14647153892416295,""
"axon-common-5.0.1","ReflectionUtils","org.axonframework.common.ReflectionUtils",31,0.013414428026293501,0,5,0,0,0,0,"articleRank","betweenness","pageRank",-0.1657007742479749,-0.10660348112700146,-0.10376483926977086,""
"axon-messaging-5.0.1","Context","org.axonframework.messaging.core.Context",32,0.013309331883088527,0,9,0,0,0,0,"articleRank","pageRank","pageToArticleRankDifference",-0.3409916849219937,-0.21416877481514549,-0.12245638339325055,""
"axon-update-5.0.1","LoggingUpdateCheckerReporter","org.axonframework.update.LoggingUpdateCheckerReporter",33,0.011880262605514669,0,0,4,0,0,0,"nodeEmbeddingPCA_25","nodeEmbeddingPCA_10","nodeEmbeddingPCA_26",-0.28487924382474394,-0.15185747862425913,-0.09956667677088994,""
"axon-test-5.0.1","MessageMonitorReport$Report","org.axonframework.test.util.MessageMonitorReport$Report",34,0.010816754452133148,0,0,0,0,0,0,"nodeEmbeddingPCA_27","nodeEmbeddingPCA_23","nodeEmbeddingPCA_32",-0.10010337818819179,-0.08670706646715096,-0.08243040565483968,""
"axon-messaging-5.0.1","EventTypeRestrictableEventCriteria","org.axonframework.messaging.eventstreaming.EventTypeRestrictableEventCriteria",35,0.009294839326379145,0,0,10,0,0,0,"nodeEmbeddingPCA_16","nodeEmbeddingPCA_12","nodeEmbeddingPCA_30",-0.1362323317857148,-0.10830783356833854,-0.10013174655484229,""
"axon-modelling-5.0.1","ChildEntityFieldDefinition","org.axonframework.modelling.entity.child.ChildEntityFieldDefinition",36,0.00880375328457661,0,0,0,0,0,0,"nodeEmbeddingPCA_18","pageRank","pageToArticleRankDifference",-0.09191208490092133,-0.04646988220692159,-0.042997960736548324,""
"axon-common-5.0.1","PropertyAccessStrategy","org.axonframework.common.property.PropertyAccessStrategy",37,0.008648450588353507,0,0,0,0,0,0,"nodeEmbeddingPCA_30","nodeEmbeddingPCA_22","nodeEmbeddingPCA_23",-0.056766206758747974,-0.029949782327093544,-0.022432028341844698,""
"axon-update-5.0.1","DetectedVulnerability","org.axonframework.update.api.DetectedVulnerability",38,0.007875862167842473,0,0,5,0,0,0,"nodeEmbeddingPCA_25","nodeEmbeddingPCA_10","nodeEmbeddingPCA_27",-0.3010752665408176,-0.14769189266849533,-0.08522341269377601,""
"axon-conversion-5.0.1","ContentTypeConverter","org.axonframework.conversion.ContentTypeConverter",39,0.007858076967509064,0,0,0,0,0,0,"articleRank","pageRank","nodeEmbeddingPCA_20",-0.15375871264660193,-0.10454002218108548,-0.05489015370740192,""
"axon-update-5.0.1","ArtifactAvailableUpgrade","org.axonframework.update.api.ArtifactAvailableUpgrade",40,0.007718606503635372,0,0,3,0,0,0,"nodeEmbeddingPCA_25","nodeEmbeddingPCA_10","nodeEmbeddingPCA_27",-0.295228544646675,-0.15578733126944064,-0.09017341863549662,""
"axon-common-5.0.1","TypeReference$1","org.axonframework.common.TypeReference$1",41,0.00743473315070764,3,0,0,0,0,0,"articleRank","pageRank","pageToArticleRankDifference",-0.342440971118523,-0.24932551987386067,-0.16619757952110584,""
"axon-common-5.0.1","TypeReference$2","org.axonframework.common.TypeReference$2",41,0.00743473315070764,2,0,0,0,0,0,"articleRank","pageRank","pageToArticleRankDifference",-0.342440971118523,-0.24932551987386067,-0.16619757952110584,""
"axon-messaging-5.0.1","HandlerTimeoutHandlerEnhancerDefinition","org.axonframework.messaging.core.timeout.HandlerTimeoutHandlerEnhancerDefinition",42,0.006946294401927566,0,0,9,0,0,0,"nodeEmbeddingPCA_12","nodeEmbeddingPCA_26","nodeEmbeddingPCA_21",-0.18266463393348625,-0.13579828370524402,-0.09200181780873476,""
"axon-eventsourcing-5.0.1","ConsistencyMarker","org.axonframework.eventsourcing.eventstore.ConsistencyMarker",43,0.006756472555037363,0,0,0,0,0,0,"articleRank","pageRank","incomingDependencies",-0.2760801173416213,-0.12071502076415352,-0.07812759769906216,""
"axon-common-5.0.1","Assert","org.axonframework.common.Assert",44,0.0066665356129201325,0,0,0,5,0,0,"articleRank","pageRank","incomingDependencies",-0.3549246831769442,-0.15137222791090618,-0.14851548030773556,""
"axon-spring-boot-autoconfigure-5.0.1","AxonTimeoutAutoConfiguration$AxonTimeoutConfigurerModule","org.axonframework.extension.springboot.autoconfig.AxonTimeoutAutoConfiguration$AxonTimeoutConfigurerModule",45,0.006307707195482626,0,0,7,0,0,0,"nodeEmbeddingPCA_12","nodeEmbeddingPCA_26","nodeEmbeddingPCA_21",-0.22440942537686145,-0.15440753478481872,-0.10803701054537117,""
"axon-common-5.0.1","FutureUtils","org.axonframework.common.FutureUtils",46,0.00612869568680835,0,0,0,0,0,0,"incomingDependencies","degree","localClusteringCoefficient",-0.26712610945895504,-0.2193602523904066,-0.02206989160641876,""
"axon-messaging-5.0.1","SpanScope","org.axonframework.messaging.tracing.SpanScope",47,0.004969320370783681,0,0,0,0,0,0,"nodeEmbeddingPCA_16","pageRank","articleRank",-0.16215562776476544,-0.09040198332614338,-0.056521312056214586,""
"axon-messaging-5.0.1","AnyEvent","org.axonframework.messaging.eventstreaming.AnyEvent",48,0.00444966084855114,0,0,6,0,0,0,"nodeEmbeddingPCA_12","nodeEmbeddingPCA_16","nodeEmbeddingPCA_30",-0.18298619674053615,-0.13442039896617336,-0.08477342688469455,""
"axon-messaging-5.0.1","Metadata$MetadataCollector","org.axonframework.messaging.core.Metadata$MetadataCollector",49,0.003682584857039317,8,0,0,0,0,0,"pageRank","pageToArticleRankDifference","nodeEmbeddingPCA_24",-0.2804111743193419,-0.2050259961119676,-0.022792221583609634,""
