"projectName","shortCodeUnitName","codeUnitName","clusteringNormalizedDistanceToMedoid","clusterApproximateOutlierScore","rank","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/labels/AnomalyDetectionArchetypeOutlier.cypher"
"axon-messaging-5.0.1","AxonTaskJanitor","org.axonframework.messaging.core.timeout.AxonTaskJanitor",1,0.9524062691573754,1,""
"axon-common-5.0.1","ObjectUtils","org.axonframework.common.ObjectUtils",1,0.9389194250216821,2,""
"axon-server-connector-5.0.1","QueryResponseMessageStream","org.axonframework.axonserver.connector.query.QueryResponseMessageStream",1,0.9195752127713955,3,""
"axon-test-5.0.1","AxonTestPhase$When$Nothing","org.axonframework.test.fixture.AxonTestPhase$When$Nothing",1,0.8713324002750371,4,""
"axon-messaging-5.0.1","DistributedQueryBus$DistributedHandler","org.axonframework.messaging.queryhandling.distributed.DistributedQueryBus$DistributedHandler",1,0.8631936014861143,5,""
"axon-spring-boot-autoconfigure-5.0.1","AvroSchemaStoreAutoConfiguration","org.axonframework.extension.springboot.autoconfig.AvroSchemaStoreAutoConfiguration",1,0.8469434280536895,6,""
"axon-conversion-5.0.1","Converter","org.axonframework.conversion.Converter",1,0.7782815775115217,7,""
"axon-messaging-5.0.1","ReplayAwareMessageHandlerWrapper$ReplayBlockingMessageHandlingMember","org.axonframework.messaging.eventhandling.replay.annotation.ReplayAwareMessageHandlerWrapper$ReplayBlockingMessageHandlingMember",0.9940062589890019,0.7147055078172145,8,""
"axon-messaging-5.0.1","JSR303ViolationException","org.axonframework.messaging.core.interception.JSR303ViolationException",0.9834724501116952,0.9221758193952181,9,""
"axon-messaging-5.0.1","AxonTimeoutException","org.axonframework.messaging.core.timeout.AxonTimeoutException",0.9807099561408578,0.9524062691573754,10,""
