"codeUnitName","shortCodeUnitName","projectName","betweenness","pageRank","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionPopularBottlenecks.cypher"
"org.axonframework.common.TypeReference","TypeReference","axon-common-5.0.1",1366,34.57633260052814,43,41,2,""
"org.axonframework.messaging.core.Message","Message","axon-messaging-5.0.1",9904.698556998555,18.20420407340621,221,215,6,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext","ProcessingContext","axon-messaging-5.0.1",6663.669047619047,17.104487423340395,234,229,5,""
"org.axonframework.common.infra.DescribableComponent","DescribableComponent","axon-common-5.0.1",654.25,12.029266029107719,46,45,1,""
"org.axonframework.conversion.Converter","Converter","axon-conversion-5.0.1",781.9999999999999,10.560490780876524,38,37,1,""
"org.axonframework.messaging.core.Context","Context","axon-messaging-5.0.1",2024.6833333333338,8.11419577182722,28,24,4,""
"org.axonframework.messaging.core.Metadata","Metadata","axon-messaging-5.0.1",642,8.06755949884001,39,38,1,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","axon-common-5.0.1",586.6333333333333,6.467258723614442,16,15,1,""
"org.axonframework.messaging.eventhandling.EventMessage","EventMessage","axon-messaging-5.0.1",2006.4198412698413,5.665923795883083,139,136,3,""
"org.axonframework.messaging.core.MessageStream","MessageStream","axon-messaging-5.0.1",9548.800162908987,5.375531071262989,153,132,21,""
"org.axonframework.messaging.core.QualifiedName","QualifiedName","axon-messaging-5.0.1",4736.492908072321,4.237316965804764,71,68,3,""
"org.axonframework.messaging.commandhandling.CommandMessage","CommandMessage","axon-messaging-5.0.1",742.945238095238,3.324487165678997,74,71,3,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException","axon-common-5.0.1",1104.65,2.9291133152590065,24,23,1,""
"org.axonframework.messaging.core.annotation.MessageHandlingMember","MessageHandlingMember","axon-messaging-5.0.1",1212.6166666666663,2.5626556874578603,42,38,4,""
"org.axonframework.messaging.commandhandling.CommandResultMessage","CommandResultMessage","axon-messaging-5.0.1",628.35,2.387371379364598,41,37,4,""
"org.axonframework.messaging.eventstreaming.EventCriteria","EventCriteria","axon-messaging-5.0.1",1385.5277777777778,2.305260124732606,36,28,8,""
"org.axonframework.messaging.core.MessageStream$Single","MessageStream$Single","axon-messaging-5.0.1",1357.544047619048,2.2809085930766746,53,45,8,""
"org.axonframework.messaging.core.MessageType","MessageType","axon-messaging-5.0.1",4157.451031321621,2.119552105226317,58,55,3,""
"org.axonframework.messaging.core.unitofwork.ProcessingLifecycle","ProcessingLifecycle","axon-messaging-5.0.1",2287.2190476190544,1.7992998775027498,14,9,5,""
"org.axonframework.common.ReflectionUtils","ReflectionUtils","axon-common-5.0.1",4369.4047619047615,1.7583828319553398,29,25,4,""
