"projectName","shortCodeUnitName","codeUnitName","betweenness","rank","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/labels/AnomalyDetectionArchetypeBottleneck.cypher"
"axon-messaging-5.0.1","Message","org.axonframework.messaging.core.Message",9904.698556998557,1,""
"axon-messaging-5.0.1","MessageStream","org.axonframework.messaging.core.MessageStream",9548.80016290899,2,""
"axon-messaging-5.0.1","ProcessingContext","org.axonframework.messaging.core.unitofwork.ProcessingContext",6663.669047619044,3,""
"axon-messaging-5.0.1","QualifiedName","org.axonframework.messaging.core.QualifiedName",4736.492908072318,4,""
"axon-common-5.0.1","ReflectionUtils","org.axonframework.common.ReflectionUtils",4369.404761904762,5,""
"axon-messaging-5.0.1","MessageType","org.axonframework.messaging.core.MessageType",4157.45103132162,6,""
"axon-modelling-5.0.1","AnnotatedEntityMetamodel","org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodel",3168.9214285714284,7,""
"axon-messaging-5.0.1","ProcessingLifecycle","org.axonframework.messaging.core.unitofwork.ProcessingLifecycle",2287.2190476190535,8,""
"axon-messaging-5.0.1","Context","org.axonframework.messaging.core.Context",2024.6833333333336,9,""
"axon-messaging-5.0.1","EventMessage","org.axonframework.messaging.eventhandling.EventMessage",2006.4198412698413,10,""
