"codeUnitName","shortCodeUnitName","projectName","betweenness","localClusteringCoefficient","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionFragileStructuralBridges.cypher"
"org.axonframework.messaging.core.Message","Message","axon-messaging-5.0.1",9904.698556998557,0.03266145619086796,221,215,6,""
"org.axonframework.messaging.core.MessageStream","MessageStream","axon-messaging-5.0.1",9548.80016290899,0.047123228853585226,153,132,21,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext","ProcessingContext","axon-messaging-5.0.1",6663.669047619044,0.021831616659202868,234,229,5,""
"org.axonframework.messaging.core.QualifiedName","QualifiedName","axon-messaging-5.0.1",4736.492908072318,0.0579476861167002,71,68,3,""
"org.axonframework.common.ReflectionUtils","ReflectionUtils","axon-common-5.0.1",4369.404761904762,0.05172413793103448,29,25,4,""
"org.axonframework.messaging.core.MessageType","MessageType","axon-messaging-5.0.1",4157.45103132162,0.07320024198427103,58,55,3,""
"org.axonframework.messaging.eventhandling.EventMessage","EventMessage","axon-messaging-5.0.1",2006.4198412698413,0.027942863100823688,139,136,3,""
"org.axonframework.common.TypeReference","TypeReference","axon-common-5.0.1",1366,0.07439024390243902,43,41,2,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException","axon-common-5.0.1",1104.6499999999996,0.06884057971014493,24,23,1,""
"org.axonframework.messaging.commandhandling.CommandMessage","CommandMessage","axon-messaging-5.0.1",742.945238095238,0.04998148833765272,74,71,3,""
"org.axonframework.messaging.core.configuration.MessagingConfigurationDefaults","MessagingConfigurationDefaults","axon-messaging-5.0.1",710.4222222222222,0.05706214689265537,60,1,59,""
"org.axonframework.axonserver.connector.ErrorCode","ErrorCode","axon-server-connector-5.0.1",709.0333333333334,0.04710144927536232,27,8,19,""
"org.axonframework.common.infra.DescribableComponent","DescribableComponent","axon-common-5.0.1",654.25,0.04541062801932367,46,45,1,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","axon-common-5.0.1",586.6333333333336,0,16,15,1,""
"org.axonframework.common.BuilderUtils","BuilderUtils","axon-common-5.0.1",486.25757575757575,0.023529411764705882,35,32,3,""
