"fileDistanceAsFewestChangeDirectoryCommands","numberOfDependencies","numberOfDependencyUsers","numberOfDependencyProviders","examples","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/Set_file_distance_as_shortest_contains_path_for_dependencies.cypher"
0,2112,867,898,"/axon-server-connector-5.1.0.jar uses /axon-eventsourcing-5.1.0.jar,/axon-test-5.1.0.jar uses /axon-eventsourcing-5.1.0.jar,/org/axonframework/eventsourcing/eventstore uses /org/axonframework/eventsourcing/annotation,/org/axonframework/eventsourcing/configuration uses /org/axonframework/eventsourcing/annotation",""
1,94,82,37,"/org/axonframework/eventsourcing/handler uses /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/configuration uses /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/annotation uses /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/annotation/reflection uses /org/axonframework/eventsourcing/annotation",""
2,2181,625,445,"/org/axonframework/eventsourcing/annotation/reflection uses /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/configuration uses /org/axonframework/eventsourcing/snapshot/store,/org/axonframework/eventsourcing/handler uses /org/axonframework/eventsourcing/snapshot/api,/org/axonframework/eventsourcing/configuration uses /org/axonframework/eventsourcing/snapshot/api",""
4,2041,668,283,"/io/axoniq/framework/axonserver/connector/configuration uses /org/axonframework/eventsourcing/snapshot/store,/io/axoniq/framework/axonserver/connector/snapshot uses /org/axonframework/eventsourcing/snapshot/store,/io/axoniq/framework/axonserver/connector/snapshot uses /org/axonframework/eventsourcing/snapshot/api,/org/axonframework/test/fixture uses /org/axonframework/eventsourcing/eventstore",""
