"artifactName","cyclomaticComplexity","methods","Source Cypher File: Overview/Cyclomatic_Method_Complexity_Distribution.cypher"
"axon-configuration-4.11.0.jar",1,542,""
"axon-configuration-4.11.0.jar",2,37,""
"axon-configuration-4.11.0.jar",3,17,""
"axon-configuration-4.11.0.jar",4,5,""
"axon-configuration-4.11.0.jar",5,3,""
"axon-configuration-4.11.0.jar",7,2,""
"axon-disruptor-4.11.0.jar",1,146,""
"axon-disruptor-4.11.0.jar",2,20,""
"axon-disruptor-4.11.0.jar",3,5,""
"axon-disruptor-4.11.0.jar",4,4,""
"axon-disruptor-4.11.0.jar",5,3,""
"axon-disruptor-4.11.0.jar",6,2,""
"axon-disruptor-4.11.0.jar",7,2,""
"axon-disruptor-4.11.0.jar",8,2,""
"axon-eventsourcing-4.11.0.jar",1,943,""
"axon-eventsourcing-4.11.0.jar",2,94,""
"axon-eventsourcing-4.11.0.jar",3,53,""
"axon-eventsourcing-4.11.0.jar",4,24,""
"axon-eventsourcing-4.11.0.jar",5,9,""
"axon-eventsourcing-4.11.0.jar",6,4,""
"axon-eventsourcing-4.11.0.jar",7,7,""
"axon-eventsourcing-4.11.0.jar",8,7,""
"axon-eventsourcing-4.11.0.jar",13,1,""
"axon-messaging-4.11.0.jar",1,4541,""
"axon-messaging-4.11.0.jar",2,473,""
"axon-messaging-4.11.0.jar",3,295,""
"axon-messaging-4.11.0.jar",4,150,""
"axon-messaging-4.11.0.jar",5,77,""
"axon-messaging-4.11.0.jar",6,46,""
"axon-messaging-4.11.0.jar",7,21,""
"axon-messaging-4.11.0.jar",8,13,""
"axon-messaging-4.11.0.jar",9,8,""
"axon-messaging-4.11.0.jar",10,5,""
"axon-messaging-4.11.0.jar",11,9,""
"axon-messaging-4.11.0.jar",12,4,""
"axon-messaging-4.11.0.jar",13,2,""
"axon-messaging-4.11.0.jar",14,1,""
"axon-messaging-4.11.0.jar",15,1,""
"axon-messaging-4.11.0.jar",17,1,""
"axon-messaging-4.11.0.jar",21,1,""
"axon-messaging-4.11.0.jar",23,1,""
"axon-messaging-4.11.0.jar",40,1,""
"axon-modelling-4.11.0.jar",1,899,""
"axon-modelling-4.11.0.jar",2,75,""
"axon-modelling-4.11.0.jar",3,40,""
"axon-modelling-4.11.0.jar",4,29,""
"axon-modelling-4.11.0.jar",5,24,""
"axon-modelling-4.11.0.jar",6,10,""
"axon-modelling-4.11.0.jar",7,2,""
"axon-modelling-4.11.0.jar",8,1,""
"axon-modelling-4.11.0.jar",9,2,""
"axon-modelling-4.11.0.jar",16,1,""
"axon-server-connector-4.11.0.jar",1,988,""
"axon-server-connector-4.11.0.jar",2,89,""
"axon-server-connector-4.11.0.jar",3,43,""
"axon-server-connector-4.11.0.jar",4,26,""
"axon-server-connector-4.11.0.jar",5,7,""
"axon-server-connector-4.11.0.jar",6,4,""
"axon-server-connector-4.11.0.jar",7,6,""
"axon-server-connector-4.11.0.jar",8,6,""
"axon-server-connector-4.11.0.jar",9,3,""
"axon-server-connector-4.11.0.jar",10,2,""
"axon-server-connector-4.11.0.jar",12,1,""
"axon-server-connector-4.11.0.jar",15,1,""
"axon-spring-boot-autoconfigure-4.11.0.jar",1,456,""
"axon-spring-boot-autoconfigure-4.11.0.jar",2,10,""
"axon-spring-boot-autoconfigure-4.11.0.jar",3,6,""
"axon-spring-boot-autoconfigure-4.11.0.jar",4,3,""
"axon-spring-boot-autoconfigure-4.11.0.jar",5,1,""
"axon-spring-boot-autoconfigure-4.11.0.jar",6,1,""
"axon-spring-boot-autoconfigure-4.11.0.jar",7,1,""
"axon-spring-boot-autoconfigure-4.11.0.jar",14,1,""
"axon-test-4.11.0.jar",1,521,""
"axon-test-4.11.0.jar",2,61,""
"axon-test-4.11.0.jar",3,59,""
"axon-test-4.11.0.jar",4,23,""
"axon-test-4.11.0.jar",5,13,""
"axon-test-4.11.0.jar",6,9,""
"axon-test-4.11.0.jar",7,4,""
"axon-test-4.11.0.jar",8,2,""
"axon-test-4.11.0.jar",9,2,""
"axon-test-4.11.0.jar",10,1,""
"axon-test-4.11.0.jar",11,2,""
"axon-test-4.11.0.jar",12,2,""
"axon-test-4.11.0.jar",13,1,""
"axon-tracing-opentelemetry-4.11.0.jar",1,35,""
"axon-tracing-opentelemetry-4.11.0.jar",2,8,""
"axon-tracing-opentelemetry-4.11.0.jar",3,2,""
"axon-tracing-opentelemetry-4.11.0.jar",4,1,""
