"artifactName","numberOfPackages","Source Cypher File: Overview/Number_of_packages_per_artifact.cypher"
"axon-disruptor-4.11.0",1,""
"axon-tracing-opentelemetry-4.11.0",1,""
"axon-modelling-4.11.0",10,""
"axon-eventsourcing-4.11.0",9,""
"axon-server-connector-4.11.0",11,""
"axon-spring-boot-autoconfigure-4.11.0",9,""
"axon-messaging-4.11.0",66,""
"axon-configuration-4.11.0",1,""
"axon-test-4.11.0",8,""
