"artifactName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInArtifact","externalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_per_artifact.cypher"
"axon-configuration-4.12.1","javax.annotation",13,105,43,"Nonnull,Nullable",""
"axon-configuration-4.12.1","org.slf4j",13,35,43,"LoggerFactory,Logger",""
"axon-configuration-4.12.1","jakarta.annotation",1,1,43,"Nonnull",""
"axon-disruptor-4.12.1","org.slf4j",12,22,22,"Logger,LoggerFactory",""
"axon-disruptor-4.12.1","com.lmax.disruptor",9,25,22,"ExceptionHandler,BlockingWaitStrategy,WaitStrategy,EventHandler,RingBuffer,LifecycleAware",""
"axon-disruptor-4.12.1","javax.annotation",6,23,22,"Nonnull",""
"axon-disruptor-4.12.1","com.lmax.disruptor.dsl",5,21,22,"Disruptor,ProducerType,EventHandlerGroup",""
"axon-disruptor-4.12.1","WeakValue",1,2,22,"WeakValue",""
"axon-eventsourcing-4.12.1","javax.annotation",29,99,133,"Nonnull,Nullable,PreDestroy",""
"axon-eventsourcing-4.12.1","org.slf4j",23,43,133,"Logger,LoggerFactory",""
"axon-eventsourcing-4.12.1","jakarta.persistence",11,48,133,"IdClass,Id,MappedSuperclass,EntityExistsException,Entity,Table,Index,Query,TypedQuery,EntityManager",""
"axon-eventsourcing-4.12.1","javax.persistence",11,48,133,"Id,IdClass,MappedSuperclass,EntityExistsException,Entity,Table,Index,Query,EntityManager,TypedQuery",""
"axon-messaging-4.12.1","javax.annotation",260,1254,830,"Nonnull,Nullable",""
"axon-messaging-4.12.1","org.slf4j",159,502,830,"Logger,LoggerFactory",""
"axon-messaging-4.12.1","com.fasterxml.jackson.annotation",53,81,830,"JsonCreator,JsonIgnore,JsonTypeInfo,JsonProperty,JsonGetter,JsonTypeInfo$Id,JsonTypeInfo$As",""
"axon-messaging-4.12.1","javax.persistence",44,174,830,"Column,Lob,Basic,MappedSuperclass,Entity,Id,IdClass,GeneratedValue,TypedQuery,EntityManager,Query,NoResultException,LockModeType,Embeddable,Index,Table,Embedded",""
"axon-messaging-4.12.1","jakarta.persistence",40,168,830,"Column,Basic,Lob,MappedSuperclass,Id,IdClass,Entity,GeneratedValue,TypedQuery,LockModeType,Query,EntityManager,NoResultException,Embeddable,Table,Embedded,Index",""
"axon-messaging-4.12.1","org.quartz",35,185,830,"JobDataMap,Trigger,JobDetail,JobKey,JobExecutionException,Scheduler,JobExecutionContext,Job,SchedulerContext,TriggerBuilder,SchedulerException,JobBuilder",""
