"artifactName","fullPackageName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInPackage","externalTypeNames","packageName","Source Cypher File: External_Dependencies/External_package_usage_per_artifact_and_package.cypher"
"axon-messaging-4.12.1","org.axonframework.eventhandling","org.slf4j",16,56,100,"Logger,LoggerFactory","eventhandling",""
"axon-messaging-4.12.1","org.axonframework.serialization.avro","org.apache.avro",16,54,11,"SchemaCompatibility$Incompatibility,Schema,SchemaCompatibility,AvroRuntimeException,SchemaCompatibility$SchemaPairCompatibility,InvalidNumberEncodingException,SchemaNormalization,SchemaCompatibility$SchemaCompatibilityResult,SchemaCompatibility$SchemaCompatibilityType,SchemaCompatibility$SchemaIncompatibilityType,InvalidAvroMagicException","avro",""
"axon-messaging-4.12.1","org.axonframework.eventhandling.pooled","org.slf4j",15,73,22,"Logger,LoggerFactory","pooled",""
"axon-messaging-4.12.1","org.axonframework.serialization.json","com.fasterxml.jackson.databind",15,65,7,"ObjectMapper,JsonNode,DeserializationContext,JsonDeserializer,ObjectReader,ObjectWriter,DeserializationFeature,ObjectMapper$DefaultTyping","json",""
"axon-configuration-4.12.1","org.axonframework.config","org.slf4j",13,35,43,"Logger,LoggerFactory","config",""
"axon-disruptor-4.12.1","org.axonframework.disruptor.commandhandling","org.slf4j",12,22,22,"Logger,LoggerFactory","commandhandling",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.event.axon","org.slf4j",12,29,32,"Logger,LoggerFactory","axon",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector","io.axoniq.axonserver.grpc.control",10,55,32,"TopologyChange,CommandSubscription,QuerySubscription,UpdateType,NodeInfo,NodeInfo$Builder","connector",""
"axon-disruptor-4.12.1","org.axonframework.disruptor.commandhandling","com.lmax.disruptor",9,25,22,"RingBuffer,BlockingWaitStrategy,WaitStrategy,EventHandler,LifecycleAware,ExceptionHandler","commandhandling",""
"axon-messaging-4.12.1","org.axonframework.queryhandling","org.slf4j",9,18,48,"Logger,LoggerFactory","queryhandling",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.command","io.axoniq.axonserver.grpc.command",9,52,11,"Command,CommandResponse,CommandResponse$Builder,Command$Builder","command",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.query","io.axoniq.axonserver.grpc",9,46,21,"ErrorMessage,SerializedObject,ProcessingKey,MetaDataValue$Builder,MetaDataValue,ProcessingInstruction,ProcessingInstruction$Builder","query",""
"axon-tracing-opentelemetry-4.12.1","org.axonframework.tracing.opentelemetry","io.opentelemetry.api.trace",9,47,5,"Span,SpanContext,StatusCode,SpanBuilder,Tracer,SpanKind","opentelemetry",""
"axon-tracing-opentelemetry-4.12.1","org.axonframework.tracing.opentelemetry","io.opentelemetry.context.propagation",9,18,5,"TextMapGetter,TextMapPropagator,TextMapSetter,ContextPropagators","opentelemetry",""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing.eventstore.legacyjpa","org.slf4j",8,15,10,"LoggerFactory,Logger","legacyjpa",""
"axon-messaging-4.12.1","org.axonframework.common.caching","org.ehcache.event",8,30,15,"CacheEventListener,EventOrdering,EventType,EventFiring,CacheEvent","caching",""
"axon-messaging-4.12.1","org.axonframework.common.caching","javax.cache.event",8,26,15,"CacheEntryListener,CacheEntryListenerException,CacheEntryExpiredListener,CacheEntryRemovedListener,CacheEntryEventFilter,CacheEntryUpdatedListener,CacheEntryEvent,CacheEntryCreatedListener","caching",""
"axon-messaging-4.12.1","org.axonframework.messaging.annotation","org.slf4j",8,15,54,"Logger,LoggerFactory","annotation",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector","io.axoniq.axonserver.grpc",8,68,32,"ErrorMessage,ErrorMessage$Builder,InstructionAck$Builder,InstructionAck","connector",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.command","io.axoniq.axonserver.grpc",8,25,11,"ErrorMessage,MetaDataValue$Builder,ProcessingInstruction$Builder,ProcessingInstruction,MetaDataValue,ProcessingKey","command",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.event.axon","io.axoniq.axonserver.grpc.event",8,43,32,"EventWithToken,Event,Confirmation,Event$Builder","axon",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.util","org.slf4j",8,19,31,"LoggerFactory,Logger","util",""
"axon-test-4.12.1","org.axonframework.test.saga","org.hamcrest",8,66,21,"Matcher,StringDescription,CoreMatchers,Description","saga",""
"axon-messaging-4.12.1","org.axonframework.messaging.responsetypes","reactor.core.publisher",7,34,8,"Flux,Mono","responsetypes",""
"axon-messaging-4.12.1","org.axonframework.queryhandling","org.reactivestreams",7,23,48,"Publisher","queryhandling",""
"axon-messaging-4.12.1","org.axonframework.serialization.avro","org.apache.avro.message",7,23,11,"SchemaStore,BadHeaderException,BinaryMessageDecoder,BinaryMessageEncoder","avro",""
"axon-messaging-4.12.1","org.axonframework.serialization.avro","org.apache.avro.generic",7,26,11,"GenericRecord,GenericData,GenericDatumReader","avro",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.event.axon","io.axoniq.axonserver.grpc",7,18,32,"SerializedObject,SerializedObject$Builder,ErrorMessage,InstructionAck","axon",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.query","reactor.core.publisher",7,27,21,"SignalType,Flux,BaseSubscriber,Mono","query",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.query.subscription","reactor.core.publisher",7,29,6,"Mono,Flux,FluxSink","subscription",""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing.eventstore","org.slf4j",6,9,31,"LoggerFactory,Logger","eventstore",""
"axon-messaging-4.12.1","org.axonframework.eventhandling.deadletter","org.slf4j",6,25,5,"LoggerFactory,Logger","deadletter",""
"axon-messaging-4.12.1","org.axonframework.messaging.responsetypes","org.reactivestreams",6,14,8,"Publisher","responsetypes",""
"axon-messaging-4.12.1","org.axonframework.serialization","com.thoughtworks.xstream.io",6,32,34,"HierarchicalStreamWriter,HierarchicalStreamReader","serialization",""
"axon-messaging-4.12.1","org.axonframework.serialization","com.thoughtworks.xstream.converters",6,6,34,"MarshallingContext,UnmarshallingContext","serialization",""
