"externalPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_overall.cypher"
"javax.annotation",79,354,387,1794,120,1515,"Nonnull,Nullable,PreDestroy",""
"org.slf4j",70,158,281,797,120,1515,"Logger,LoggerFactory",""
"javax.persistence",15,27,82,311,120,1515,"Id,IdClass,MappedSuperclass,EntityExistsException,Query,EntityManager,TypedQuery,Entity,Table",""
"com.fasterxml.jackson.annotation",13,23,57,87,120,1515,"JsonTypeInfo$Id,JsonTypeInfo,JsonGetter,JsonProperty,JsonCreator,JsonTypeInfo$As,JsonIgnore",""
"jakarta.persistence",10,25,73,299,120,1515,"IdClass,Id,MappedSuperclass,Query,TypedQuery,EntityManager,EntityExistsException,Entity,Table",""
"io.axoniq.axonserver.connector",7,23,32,129,120,1515,"AxonServerConnectionFactory,AxonServerConnectionFactory$Builder,AxonServerConnection,ReplyChannel,FlowControl,Registration,ResultStream,ResultStreamPublisher",""
"io.axoniq.axonserver.grpc",7,30,55,273,120,1515,"ErrorMessage,ErrorMessage$Builder,InstructionAck,InstructionAck$Builder,MetaDataValue,SerializedObject$Builder,SerializedObject,FlowControl,FlowControl$Builder",""
"org.hamcrest",5,27,59,370,120,1515,"StringDescription,Matcher,Matchers,Description,CoreMatchers,BaseMatcher,TypeSafeMatcher",""
"io.grpc",4,15,62,119,120,1515,"ManagedChannelBuilder,ClientInterceptor,Channel,Metadata,MethodDescriptor,Metadata$AsciiMarshaller,Metadata$Key,CallOptions,ClientCall",""
"reactor.core.publisher",4,27,49,198,120,1515,"BaseSubscriber,SignalType,Flux,Mono,FluxSink,Signal,MonoSink,FluxSink$OverflowStrategy,Sinks$MulticastReplaySpec",""
"com.github.kagkarlsson.scheduler",3,5,8,49,120,1515,"Scheduler,SchedulerState,ScheduledExecution",""
"com.github.kagkarlsson.scheduler.task",3,5,11,44,120,1515,"Task,TaskInstanceId,ExecutionContext,TaskWithDataDescriptor,TaskInstance",""
"io.grpc.stub",3,6,7,27,120,1515,"StreamObserver,ClientCallStreamObserver,ClientResponseObserver",""
"org.jobrunr.scheduling",3,5,7,34,120,1515,"JobScheduler,JobBuilder",""
"org.springframework.boot.actuate.health",3,4,7,24,120,1515,"Status,Health$Builder,AbstractHealthIndicator,SimpleStatusAggregator",""
"org.springframework.boot.autoconfigure",3,29,62,64,120,1515,"AutoConfigureAfter,AutoConfiguration,AutoConfigureBefore,AutoConfigurationPackages",""
"org.springframework.boot.autoconfigure.condition",3,42,77,174,120,1515,"ConditionalOnMissingBean,ConditionalOnBean,ConditionalOnProperty,ConditionalOnClass,ConditionalOnMissingClass,ConditionalOnExpression,AllNestedConditions,AnyNestedCondition,SpringBootCondition",""
"org.springframework.context.annotation",3,38,52,166,120,1515,"Bean,Primary,ConditionContext,Condition,Conditional,Role,Configuration,Lazy,ConfigurationCondition$ConfigurationPhase",""
"com.fasterxml.jackson.databind",2,9,17,75,120,1515,"ObjectMapper,JsonNode,DeserializationContext,JsonDeserializer,ObjectMapper$DefaultTyping,DeserializationFeature,ObjectReader,ObjectWriter",""
"com.thoughtworks.xstream.io",2,4,9,39,120,1515,"HierarchicalStreamWriter,HierarchicalStreamReader,HierarchicalStreamDriver",""
"io.axoniq.axonserver.connector.event",2,16,23,101,120,1515,"EventQueryResultEntry,PersistentStreamProperties,PersistentStreamSegment,PersistentStreamCallbacks,PersistentStream,EventChannel,AggregateEventStream,AppendEventsTransaction,EventStream",""
"io.axoniq.axonserver.connector.query",2,3,5,36,120,1515,"QueryHandler$UpdateHandler,QueryHandler,QueryChannel,QueryDefinition,SubscriptionQueryResult",""
"io.axoniq.axonserver.grpc.control",2,7,16,96,120,1515,"TopologyChange,UpdateType,NodeInfo$Builder,NodeInfo,CommandSubscription,QuerySubscription,EventProcessorInfo$SegmentStatus,EventProcessorInfo$SegmentStatus$Builder,EventProcessorInfo$Builder",""
"io.axoniq.axonserver.grpc.event",2,6,12,69,120,1515,"Event,EventWithToken,EventWithToken$Builder,Event$Builder,Confirmation",""
"io.axoniq.axonserver.grpc.query",2,18,46,237,120,1515,"QueryResponse,QueryResponse$Builder,QueryRequest,QueryUpdate$Builder,SubscriptionQuery,QueryUpdate,QueryRequest$Builder,QueryProviderInbound,QueryProviderOutbound",""
"org.apache.avro",2,5,17,56,120,1515,"Schema,SchemaCompatibility$Incompatibility,SchemaCompatibility$SchemaCompatibilityResult,SchemaCompatibility$SchemaPairCompatibility,InvalidNumberEncodingException,SchemaCompatibility$SchemaCompatibilityType,SchemaNormalization,SchemaCompatibility,AvroRuntimeException",""
"org.apache.avro.message",2,8,11,33,120,1515,"SchemaStore,SchemaStore$Cache,BinaryMessageEncoder,BadHeaderException,BinaryMessageDecoder",""
"org.quartz",2,9,35,185,120,1515,"Trigger,JobDetail,JobKey,JobExecutionException,Scheduler,JobExecutionContext,Job,SchedulerContext,JobDataMap",""
"org.springframework.beans.factory.annotation",2,10,11,28,120,1515,"Qualifier,Autowired",""
"org.springframework.beans.factory.config",2,3,4,7,120,1515,"RuntimeBeanReference,ConfigurableListableBeanFactory",""
"org.springframework.beans.factory.support",2,2,4,21,120,1515,"BeanDefinitionRegistryPostProcessor,BeanDefinitionRegistry,BeanDefinitionBuilder",""
"org.springframework.context",2,5,6,24,120,1515,"ApplicationContext,ApplicationContextAware",""
"reactor.core.scheduler",2,2,3,4,120,1515,"Schedulers,Scheduler",""
"com.fasterxml.jackson.core",1,3,4,7,120,1515,"JsonProcessingException,JacksonException,JsonParser",""
"com.fasterxml.jackson.databind.node",1,2,3,12,120,1515,"ObjectNode,JsonNodeType",""
"com.google.gson",1,1,4,7,120,1515,"JsonObject,JsonArray,JsonParser,JsonElement",""
"com.lmax.disruptor",1,7,9,25,120,1515,"RingBuffer,LifecycleAware,EventHandler,ExceptionHandler,BlockingWaitStrategy,WaitStrategy",""
"com.lmax.disruptor.dsl",1,4,5,21,120,1515,"EventHandlerGroup,Disruptor,ProducerType",""
"com.thoughtworks.xstream.converters",1,3,6,6,120,1515,"UnmarshallingContext,MarshallingContext",""
"com.thoughtworks.xstream.io.xml",1,2,4,13,120,1515,"Dom4JReader,XomReader,XppDriver,CompactWriter",""
"com.thoughtworks.xstream.mapper",1,4,5,6,120,1515,"Mapper,CannotResolveClassException",""
"io.axoniq.axonserver.grpc.command",1,4,9,52,120,1515,"CommandResponse,Command,Command$Builder,CommandResponse$Builder",""
"io.opentelemetry.api.trace",1,3,9,47,120,1515,"Tracer,SpanKind,Span,SpanBuilder,SpanContext,StatusCode",""
"io.opentelemetry.context.propagation",1,4,9,18,120,1515,"TextMapPropagator,TextMapGetter,TextMapSetter,ContextPropagators",""
"jakarta.validation",1,2,5,15,120,1515,"Validation,ValidatorFactory,Validator,ConstraintViolation",""
"javax.cache.configuration",1,2,3,9,120,1515,"CacheEntryListenerConfiguration,Factory",""
"javax.cache.event",1,1,8,26,120,1515,"CacheEntryEventFilter,CacheEntryEvent,CacheEntryUpdatedListener,CacheEntryListenerException,CacheEntryListener,CacheEntryRemovedListener,CacheEntryExpiredListener,CacheEntryCreatedListener",""
"javax.validation",1,2,5,15,120,1515,"ConstraintViolation,Validation,ValidatorFactory,Validator",""
"net.sf.ehcache",1,2,5,47,120,1515,"Element,Ehcache,CacheException",""
"net.sf.ehcache.event",1,2,3,7,120,1515,"CacheEventListener,RegisteredEventListeners",""
"nu.xom",1,3,5,15,120,1515,"Builder,ParsingException,Document",""
"org.apache.avro.generic",1,6,7,26,120,1515,"GenericRecord,GenericDatumReader,GenericData",""
"org.apache.avro.specific",1,2,4,16,120,1515,"SpecificData,SpecificRecordBase",""
"org.axonframework.metrics",1,1,2,8,120,1515,"MetricsConfigurerModule,GlobalMetricRegistry",""
"org.axonframework.micrometer",1,1,2,10,120,1515,"MetricsConfigurerModule,GlobalMetricRegistry",""
"org.axonframework.spring.config",1,2,6,18,120,1515,"SpringConfigurer,SpringAxonConfiguration,SpringAggregateLookup,MessageHandlerLookup,SpringSagaLookup",""
"org.axonframework.spring.config.annotation",1,1,2,7,120,1515,"HandlerDefinitionFactoryBean,SpringParameterResolverFactoryBean",""
"org.axonframework.spring.eventsourcing",1,1,2,10,120,1515,"SpringAggregateSnapshotter,SpringAggregateSnapshotter$Builder",""
"org.axonframework.spring.serialization.avro",1,1,3,8,120,1515,"ClasspathAvroSchemaLoader,SpecificRecordBaseClasspathAvroSchemaLoader,AvroSchemaPackages",""
"org.ehcache.event",1,3,8,30,120,1515,"EventType,CacheEvent,CacheEventListener,EventOrdering,EventFiring",""
"org.jobrunr.jobs.states",1,1,2,7,120,1515,"StateName,IllegalJobStateChangeException",""
"org.junit.jupiter.api.extension",1,1,3,4,120,1515,"ExtensionContext,AfterEachCallback,BeforeEachCallback",""
"org.springframework.beans.factory",1,4,6,26,120,1515,"InitializingBean,BeanFactoryUtils,BeanClassLoaderAware,NoSuchBeanDefinitionException,BeanFactory",""
"org.springframework.boot.context.properties.bind",1,1,3,4,120,1515,"Binder,Bindable,BindResult",""
"org.springframework.boot.docker.compose.core",1,1,2,5,120,1515,"RunningService,ConnectionPorts",""
"org.springframework.boot.docker.compose.service.connection",1,1,2,5,120,1515,"DockerComposeConnectionSource,DockerComposeConnectionDetailsFactory",""
"org.springframework.boot.testcontainers.service.connection",1,2,4,9,120,1515,"ContainerConnectionDetailsFactory,ContainerConnectionSource,ContainerConnectionDetailsFactory$ContainerConnectionDetails",""
"org.testcontainers.containers",1,3,4,15,120,1515,"GenericContainer,ContainerLaunchException",""
"org.testcontainers.containers.wait.strategy",1,3,4,5,120,1515,"Wait,HttpWaitStrategy",""
"org.testcontainers.utility",1,3,5,23,120,1515,"DockerImageName,MountableFile",""
