"artifactName","packageName","communityId","numberOfTypesInPackage","numberOfTypesInCommunity","numberOfTypes","Source Cypher File: domains/graph-algorithms/queries/community-detection/Type_communities_with_few_members_in_foreign_packages.cypher"
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.annotation",6,11,157,5,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling",9,22,149,5,""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer",9,11,149,5,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.annotation",9,11,149,5,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.sequencing",9,11,149,5,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.replay",9,11,149,5,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling",3,17,138,5,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.timeout",3,8,138,5,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.annotation.reflection",3,6,138,5,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting",11,14,52,5,""
"axon-common-5.1.2","org.axonframework.common",2,31,37,5,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.shared",2,7,37,5,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.tracing",9,7,149,6,""
"axon-messaging-5.1.2","org.axonframework.messaging.core",3,85,138,6,""
"axon-modelling-5.1.2","org.axonframework.modelling",0,16,117,6,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token",14,8,67,6,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.annotation",4,17,55,6,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception.annotation",4,11,55,6,""
"axon-messaging-5.1.2","org.axonframework.messaging.core",2,85,37,6,""
"axon-conversion-5.1.2","org.axonframework.conversion",20,11,31,6,""
"axon-test-5.1.2","org.axonframework.test.util",9,11,149,7,""
"axon-modelling-5.1.2","org.axonframework.modelling.repository",3,8,138,7,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.interception",21,8,27,7,""
"axon-modelling-5.1.2","org.axonframework.modelling",1,16,15,7,""
"axon-common-5.1.2","org.axonframework.common.infra",1,8,15,7,""
"axon-common-5.1.2","org.axonframework.common",0,31,117,8,""
"axon-modelling-5.1.2","org.axonframework.modelling.annotation",0,10,117,8,""
"axon-messaging-5.1.2","org.axonframework.messaging.tracing",9,12,149,9,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.annotation",3,17,138,9,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event",5,14,97,9,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.configuration",17,14,37,9,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.retry",12,13,73,10,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling",0,18,117,11,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.jpa",5,13,97,11,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api",11,12,52,11,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling",21,22,27,11,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.configuration",6,14,157,13,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation",3,52,138,14,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork",3,15,138,14,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventstreaming",5,16,97,14,""
