"name","shortName","louvainId","louvainIntermediateIds","leidenId","leidenIntermediateIds","leidenModularity","stronglyConnectedComponentId","weaklyConnectedComponentId","labelPropagationId","kCoreDecompositionValue","maximumKCutId","communityFastRpHdbscanLabel","incomingDependencies","outgoingDependencies","Source Cypher File: domains/graph-algorithms/queries/community-detection/Community_Detection_Summary.cypher"
"org.axonframework.messaging.tracing.NoOpSpanFactory$NoOpSpan","NoOpSpanFactory$NoOpSpan",8,"728,998,170",8,"728,83,0,0",,375,0,22,3,60,-1,2,2,""
"org.axonframework.messaging.core.interception.DispatchInterceptorRegistry","DispatchInterceptorRegistry",1,"629,717,929",6,"629,50,2,10",,376,0,10,10,29,139,5,11,""
"org.axonframework.messaging.core.unitofwork.SimpleUnitOfWorkFactory","SimpleUnitOfWorkFactory",4,"694,175,175",3,"694,59,3,8",,377,0,49,5,90,112,2,4,""
"org.axonframework.messaging.core.interception.HandlerInterceptorRegistry","HandlerInterceptorRegistry",1,"628,717,929",6,"628,50,2,10",,378,0,10,10,1,114,4,10,""
"org.axonframework.messaging.core.configuration.MessagingConfigurer","MessagingConfigurer",1,"483,717,929",6,"934,50,2,10",,342,0,10,10,2,-1,3,34,""
"org.axonframework.messaging.eventstreaming.EventCriterion","EventCriterion",12,"390,485,485",11,"476,5,50,4",,306,0,43,8,16,-1,8,3,""
"org.axonframework.messaging.eventstreaming.Tag","Tag",12,"485,485,485",11,"1085,5,50,4",,379,0,50,9,66,-1,22,3,""
"org.axonframework.messaging.eventstreaming.TagAndTypeFilteredEventCriteria","TagAndTypeFilteredEventCriteria",12,"390,485,485",11,"476,5,50,4",,306,0,43,8,50,141,2,6,""
"org.axonframework.messaging.eventstreaming.TagFilteredEventCriteria","TagFilteredEventCriteria",12,"390,485,485",11,"476,5,50,4",,306,0,43,8,73,150,2,8,""
"org.axonframework.messaging.eventstreaming.OrEventCriteriaBuilder","OrEventCriteriaBuilder",12,"390,485,485",11,"476,5,50,4",,306,0,43,5,51,115,1,5,""
"org.axonframework.messaging.eventstreaming.EventsCondition","EventsCondition",12,"1050,1050,485",11,"1050,110,50,4",,380,0,9,9,62,-1,7,3,""
"org.axonframework.messaging.eventstreaming.StartingFrom","StartingFrom",12,"418,485,485",11,"1095,5,50,4",,330,0,39,5,21,-1,1,4,""
"org.axonframework.messaging.eventstreaming.DefaultStreamingCondition","DefaultStreamingCondition",12,"418,485,485",11,"1095,5,50,4",,330,0,39,5,25,-1,2,3,""
"org.axonframework.messaging.eventhandling.processing.errorhandling.PropagatingErrorHandler","PropagatingErrorHandler",6,"172,182,182",5,"458,0,23,1",,381,0,9,4,47,40,1,3,""
"org.axonframework.messaging.queryhandling.QueryBus","QueryBus",8,"502,537,170",8,"537,98,34,3",,382,0,26,10,22,158,11,7,""
"org.axonframework.messaging.queryhandling.QueryResponseMessage","QueryResponseMessage",8,"170,170,170",8,"559,13,0,0",,383,0,28,10,83,131,22,4,""
"org.axonframework.messaging.queryhandling.QueryHandlingComponent","QueryHandlingComponent",8,"510,537,170",8,"537,98,34,3",,384,0,26,7,35,114,5,3,""
"org.axonframework.messaging.queryhandling.QueryHandlerRegistry","QueryHandlerRegistry",8,"510,537,170",8,"537,98,34,3",,385,0,26,7,43,-1,4,3,""
