"externalModuleName","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: External_Dependencies/External_module_usage_spread_for_Typescript.cypher"
"@remix-run/router",4,128,6,88,17.0,32.0,38.40138886377245,37,3,23,5.5,9.25,9.251126057585278,75.0,575.0,137.5,231.25,231.27815143963196,"react-router,react-router-dom,server,react-router-native",""
"@types/react",4,37,1,27,4.5,9.25,12.120918557051139,34,1,24,4.5,8.5,10.535653752852738,25.0,600.0,112.5,212.5,263.39134382131846,"react-router,react-router-dom,server,react-router-native",""
"@types/react-native",1,10,10,10,10,10.0,0.0,5,5,5,5,5.0,0.0,125.0,125.0,125.0,125.0,0.0,"react-router-native",""
"@ungap/url-search-params",1,1,1,1,1,1.0,0.0,2,2,2,2,2.0,0.0,50.0,50.0,50.0,50.0,0.0,"react-router-native",""
