"artifact","all","public","min","max","average","percentile25","percentile50","percentile75","percentile90","Source Cypher File: Visibility/Global_relative_visibility_statistics_for_types.cypher"
"axon-common-5.0.2",156,129,0.6153846153846154,1,0.893101514853433,0.791304347826087,1,1,1,""
"axon-conversion-5.0.2",30,27,0.7,1,0.925,0.925,1,1,1,""
"axon-eventsourcing-5.0.2",104,68,0.2,0.9,0.5878968253968254,0.4916666666666667,0.5833333333333333,0.7246031746031746,0.7988888888888888,""
"axon-messaging-5.0.2",570,432,0.25,1,0.8090568349778876,0.75,0.8461538461538461,1,1,""
"axon-metrics-micrometer-5.0.2",13,10,0.75,1,0.875,0.8125,0.875,0.9375,0.975,""
"axon-modelling-5.0.2",93,85,0.6923076923076923,1,0.9039072039072039,0.8675213675213675,0.9,1,1,""
"axon-server-connector-5.0.2",72,58,0.6428571428571429,0.8928571428571429,0.7884948384948386,0.7272727272727273,0.8333333333333334,0.8461538461538461,0.8741758241758242,""
"axon-spring-boot-autoconfigure-5.0.2",72,55,0.5714285714285714,1,0.8965677179962894,0.8522727272727273,1,1,1,""
"axon-test-5.0.2",73,59,0.6,1,0.8199064983637214,0.7096774193548387,0.8333333333333334,0.9565217391304348,0.9826086956521739,""
"axon-tracing-opentelemetry-5.0.2",5,5,1,1,1,1,1,1,1,""
"axon-update-5.0.2",23,23,1,1,1,1,1,1,1,""
