"artifactName","packages","types","incomingDependencies","outgoingDependencies","Source Cypher File: Internal_Dependencies/List_all_Java_artifacts.cypher"
"axon-spring-boot-autoconfigure-4.11.2.jar",9,88,0,7,""
"axon-configuration-4.11.2.jar",1,42,2,4,""
"axon-disruptor-4.11.2.jar",1,22,1,3,""
"axon-eventsourcing-4.11.2.jar",9,133,5,2,""
"axon-modelling-4.11.2.jar",10,158,6,1,""
"axon-server-connector-4.11.2.jar",11,142,1,4,""
"axon-tracing-opentelemetry-4.11.2.jar",1,5,1,1,""
"axon-test-4.11.2.jar",8,87,1,3,""
"axon-messaging-4.11.2.jar",66,808,8,0,""
