"fileDistanceAsFewestChangeDirectoryCommands","numberOfDependencies","numberOfDependencyUsers","numberOfDependencyProviders","examples","Source Cypher File: Internal_Dependencies/Set_file_distance_as_shortest_contains_path_for_dependencies.cypher"
0,2685,1062,1195,"/axon-test-4.11.2.jar uses /axon-eventsourcing-4.11.2.jar,/axon-disruptor-4.11.2.jar uses /axon-eventsourcing-4.11.2.jar,/axon-spring-boot-autoconfigure-4.11.2.jar uses /axon-eventsourcing-4.11.2.jar,/axon-server-connector-4.11.2.jar uses /axon-eventsourcing-4.11.2.jar",""
1,92,84,38,"/org/axonframework/eventsourcing/eventstore uses /org/axonframework/eventsourcing,/org/axonframework/eventsourcing uses /org/axonframework/eventsourcing/conflictresolution,/org/axonframework/eventsourcing/eventstore/jpa uses /org/axonframework/eventsourcing/eventstore,/org/axonframework/eventsourcing/eventstore/inmemory uses /org/axonframework/eventsourcing/eventstore",""
2,2558,778,477,"/org/axonframework/eventsourcing/EventSourcingRepository.class uses /org/axonframework/eventsourcing/conflictresolution/ConflictResolution.class,/org/axonframework/eventsourcing/AbstractSnapshotter$Builder.class uses /org/axonframework/eventsourcing/eventstore/EventStore.class,/org/axonframework/eventsourcing/AbstractSnapshotter$CreateSnapshotTask.class uses /org/axonframework/eventsourcing/eventstore/EventStore.class,/org/axonframework/eventsourcing/AggregateCacheEntry.class uses /org/axonframework/eventsourcing/eventstore/EventStore.class",""
4,2636,457,552,"/org/axonframework/config/Configurer.class uses /org/axonframework/eventsourcing/Snapshotter.class,/org/axonframework/config/DefaultConfigurer.class uses /org/axonframework/eventsourcing/Snapshotter.class,/org/axonframework/config/Configuration.class uses /org/axonframework/eventsourcing/Snapshotter.class,/org/axonframework/springboot/autoconfig/AxonAutoConfiguration.class uses /org/axonframework/eventsourcing/Snapshotter.class",""
