"artifactName","packageName","dependentArtifactName","dependentPackageName","forwardToBackwardBalance","numberForward","numberBackward","someForwardDependencies","backwardDependencies","Source Cypher File: domains/cyclic-dependencies/queries/Cyclic_Dependencies.cypher"
"axon-messaging-5.1.2","org.axonframework.messaging.core.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core",0.96,49,1,"AnnotatedMessageHandlingMemberDefinition->MessageStream,AnnotatedMessageHandlingMemberDefinition->Message,MethodInvokingMessageHandlingMember->MessageStream$Entry,MethodInvokingMessageHandlingMember->Message,MethodInvokingMessageHandlingMember->MessageStream$Single,MethodInvokingMessageHandlingMember->MessageStream$Empty,MethodInvokingMessageHandlingMember->DelayedMessageStream,MethodInvokingMessageHandlingMember->MessageStream,ChainedMessageHandlerInterceptorMember->Message","SimpleHandlerAttributes->HandlerAttributes",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling","axon-messaging-5.1.2","org.axonframework.messaging.core",0.9375,31,1,"EventMessage->Message,InterceptingEventSink->MessageDispatchInterceptor,InterceptingEventBus->MessageDispatchInterceptor,EventHandlerRegistry->QualifiedName,EventHandlingComponent->QualifiedName,EventHandlingComponent->MessageStream$Empty,EventHandlingComponent->Message,EventHandlingComponent->MessageStream,DelegatingEventHandlingComponent->Message","SubscribableEventSource->EventMessage",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core.annotation",0.9310344827586207,28,1,"MethodSequencingPolicyEventHandlerDefinition$SequencingPolicyEventMessageHandlingMember->WrappedMessageHandlingMember,MethodSequencingPolicyEventHandlerDefinition$SequencingPolicyEventMessageHandlingMember->MessageHandlingMember,MethodSequencingPolicyEventHandlerDefinition$SequencingPolicyEventMessageHandlingMember->UnsupportedHandlerException,EventHandler->MessageHandler,SequenceNumberParameterResolverFactory->ParameterResolver,SequenceNumberParameterResolverFactory->AbstractAnnotatedParameterResolverFactory,Event->Message,EventHandlingMember->MessageHandlingMember,EventAppenderParameterResolverFactoryConfigurationEnhancer->ParameterResolverFactory","HandlerTypeResolver->EventHandler",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core.annotation",0.875,15,1,"CommandDispatcherParameterResolverFactoryConfigurationEnhancer->ParameterResolverFactory,MethodCommandHandlerDefinition$MethodCommandHandlingMember->WrappedMessageHandlingMember,MethodCommandHandlerDefinition$MethodCommandHandlingMember->MessageHandlingMember,Command->Message,AnnotatedCommandHandlingComponent->HandlerDefinition,AnnotatedCommandHandlingComponent->ParameterResolverFactory,AnnotatedCommandHandlingComponent->AnnotatedHandlerInspector,AnnotatedCommandHandlingComponent->MessageHandlingMember,CommandHandler->MessageHandler","HandlerTypeResolver->CommandHandler",""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.annotation","axon-messaging-5.1.2","org.axonframework.messaging.core.annotation",0.8571428571428571,13,1,"AnnotatedQueryHandlingComponent->AnnotatedHandlerInspector,AnnotatedQueryHandlingComponent->HandlerDefinition,AnnotatedQueryHandlingComponent->MessageHandlingMember,AnnotatedQueryHandlingComponent->ParameterResolverFactory,MethodQueryHandlerDefinition->HandlerEnhancerDefinition,MethodQueryHandlerDefinition->MessageHandlingMember,QueryHandlingMember->MessageHandlingMember,QueryHandler->MessageHandler,QueryResponse->Message","HandlerTypeResolver->QueryHandler",""
"axon-modelling-5.1.2","org.axonframework.modelling.annotation","axon-modelling-5.1.2","org.axonframework.modelling",0.8461538461538461,12,1,"AnnotationBasedEntityEvolvingComponent->EntityEvolvingComponent,AnnotationBasedEntityEvolvingComponent->StateEvolvingException,EntityIdResolverDefinition->EntityIdResolver,InjectEntityParameterResolver->EntityIdResolver,InjectEntityParameterResolver->StateManager,InjectEntityParameterResolver->EntityIdResolutionException,AnnotationBasedEntityIdResolverDefinition->EntityIdResolver,AnnotationBasedEntityIdResolver->EntityIdResolver,AnnotationBasedEntityIdResolver->EntityIdResolutionException","PropertyBasedEntityIdResolver->TargetEntityIdMemberMismatchException",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction","axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork",0.6666666666666666,5,1,"TransactionalExecutorProvider->ProcessingContext,TransactionManager->ProcessingContext,TransactionManager->ProcessingLifecycle$ErrorHandler,TransactionManager->ProcessingLifecycle$Phase,TransactionManager->ProcessingLifecycle","TransactionalUnitOfWorkFactory->TransactionManager",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.configuration",0.6666666666666666,15,3,"PooledStreamingEventProcessorConfiguration->EventProcessorConfiguration,PooledStreamingEventProcessorModule->EventProcessorModule,PooledStreamingEventProcessorModule->EventHandlingComponentsConfigurer$RequiredComponentPhase,PooledStreamingEventProcessorModule->EventProcessorCustomization,PooledStreamingEventProcessorModule->EventHandlingComponentsConfigurer$CompletePhase,PooledStreamingEventProcessorModule->EventProcessorModule$EventHandlingPhase,PooledStreamingEventProcessorModule->EventProcessorModule$CustomizationPhase,PooledStreamingEventProcessorModule->DefaultEventHandlingComponentsConfigurer,PooledStreamingEventProcessorModule->EventProcessorConfiguration","EventProcessorModule->PooledStreamingEventProcessorModule,EventProcessorModule->PooledStreamingEventProcessorConfiguration,EventProcessingConfigurer->PooledStreamingEventProcessorsConfigurer",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.subscribing","axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.configuration",0.6666666666666666,15,3,"SubscribingEventProcessorsConfigurer->EventHandlingComponentsConfigurer$RequiredComponentPhase,SubscribingEventProcessorsConfigurer->EventHandlingComponentsConfigurer$CompletePhase,SubscribingEventProcessorsConfigurer->EventProcessingConfigurer,SubscribingEventProcessorsConfigurer->EventProcessorModule$CustomizationPhase,SubscribingEventProcessorsConfigurer->EventProcessorModule,SubscribingEventProcessorsConfigurer->EventProcessorModule$EventHandlingPhase,SubscribingEventProcessorConfiguration->EventProcessorConfiguration,SubscribingEventProcessorModule->EventHandlingComponentsConfigurer$RequiredComponentPhase,SubscribingEventProcessorModule->EventProcessorModule","EventProcessorModule->SubscribingEventProcessorModule,EventProcessorModule->SubscribingEventProcessorConfiguration,EventProcessingConfigurer->SubscribingEventProcessorsConfigurer",""
"axon-common-5.1.2","org.axonframework.common.configuration","axon-common-5.1.2","org.axonframework.common.infra",0.6,16,4,"Configuration->DescribableComponent,LazyInitializedComponentDefinition->ComponentDescriptor,ComponentRegistry->DescribableComponent,Component->DescribableComponent,InstantiatedComponentDefinition->ComponentDescriptor,DefaultComponentRegistry$LocalConfiguration->ComponentDescriptor,DecoratedComponent->ComponentDescriptor,ConfigurationExtension->DescribableComponent,AbstractComponent->ComponentDescriptor","JacksonComponentDescriptor->Component,JacksonComponentDescriptor->Component$Identifier,FilesystemStyleComponentDescriptor->Component,FilesystemStyleComponentDescriptor->Component$Identifier",""
