"artifactName","numberOfPackages","Source Cypher File: Overview/Number_of_packages_per_artifact.cypher"
"axon-configuration-4.11.1",1,""
"axon-spring-boot-autoconfigure-4.11.1",9,""
"axon-server-connector-4.11.1",11,""
"axon-modelling-4.11.1",10,""
"axon-eventsourcing-4.11.1",9,""
"axon-disruptor-4.11.1",1,""
"axon-tracing-opentelemetry-4.11.1",1,""
"axon-test-4.11.1",8,""
"axon-messaging-4.11.1",66,""
