"nodeLabel","nodesWithThatLabel","nodesWithThatLabelPercent","Source Cypher File: Overview/Node_label_count.cypher"
"Git",287660,81.11415648721506,""
"Change",263015,74.16477740556515,""
"Java",60697,17.11529568346135,""
"ByteCode",60507,17.061719622373364,""
"Member",20811,5.86827056474808,""
"Bound",18743,5.2851374366956545,""
"Method",17207,4.852017279689598,""
"File",14872,4.193595686845103,""
"Parameter",13293,3.7483504212770273,""
"Commit",12966,3.65614320035191,""
"ParameterizedType",7279,2.0525270982077397,""
"Value",5428,1.5305834715031752,""
"Type",3715,1.0475529839046231,""
"Xml",3675,1.0362738131492573,""
"Field",3604,1.0162532850584824,""
"Annotation",2975,0.8388883249303511,""
"WildcardType",2947,0.8309929054015949,""
"Element",2162,0.6096391793275359,""
"Constructor",2132,0.6011798012610113,""
"Json",1570,0.4427074521481181,""
"Text",1450,0.40886993988201986,""
"Class",1327,0.3741864898092692,""
"TypeVariable",1111,0.31327896773029246,""
"Lambda",968,0.27295593227985876,""
"ResolvedDuplicateType",910,0.256601134684578,""
"GenericDeclaration",904,0.25490925907127304,""
"JavaType",754,0.21261236873865033,""
"Key",702,0.19794944675667445,""
"Scalar",685,0.19315579918564388,""
"Primitive",672,0.1894900686901499,""
"Person",551,0.15537057715516756,""
"ExternalType",527,0.14860307470194792,""
"Maven",346,0.09756482703391646,""
"Author",299,0.08431180139636134,""
"Array",293,0.08261992578305644,""
"Interface",275,0.0775442989431417,""
"Committer",252,0.0710587757588062,""
"Property",211,0.059497625734556,""
"Throwable",203,0.05724179158348279,""
"Directory",189,0.05329408181910466,""
"Enum",181,0.051038247668031445,""
"Object",174,0.04906439278584238,""
"Dependency",172,0.04850043424807408,""
"Tag",171,0.04821845497918993,""
"GenericArrayType",166,0.046808558634769175,""
"Package",142,0.04004105618154953,""
"ManifestEntry",120,0.0338375122660982,""
"Artifact",102,0.028761885426183468,""
"ExternalAnnotation",95,0.02678803054399441,""
"Branch",45,0.012689067099786825,""
"Namespace",36,0.010151253679829459,""
"PrimitiveType",30,0.00845937806652455,""
"Configuration",21,0.005921564646567184,""
"Plugin",21,0.005921564646567184,""
"jQAssistant",20,0.005639585377683032,""
"Concept",19,0.005357606108798881,""
"Rule",19,0.005357606108798881,""
"Attribute",18,0.0050756268399147295,""
"ExecutionGoal",16,0.004511668302146427,""
"PluginExecution",16,0.004511668302146427,""
"Properties",12,0.0033837512266098194,""
"ServiceLoader",10,0.002819792688841516,""
"Archive",9,0.0025378134199573648,""
"Document",9,0.0025378134199573648,""
"Jar",9,0.0025378134199573648,""
"Manifest",9,0.0025378134199573648,""
"ManifestSection",9,0.0025378134199573648,""
"Pom",9,0.0025378134199573648,""
"Void",9,0.0025378134199573648,""
"Zip",9,0.0025378134199573648,""
"NPM",8,0.0022558341510732134,""
"Exclusion",5,0.001409896344420758,""
"Analyze",1,0.00028197926888415167,""
"Repository",1,0.00028197926888415167,""
"Scan",1,0.00028197926888415167,""
"TS",1,0.00028197926888415167,""
"Task",1,0.00028197926888415167,""
