"externalModuleNamespace","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: domains/external-dependencies/queries/External_namespace_usage_spread_for_Typescript.cypher"
"no namespace",46,499,1,112,5,10.847826086956527,22.151967448417505,109,1,13,1,2.369565217391305,2.497631728499566,0.15625,2.03125,0.15625,0.37024456521739124,0.39025495757805717,"copy-template,create-react-router,prompts-confirm,prompts-multi-select",""
"@types",42,236,1,45,4,5.619047619047618,7.8241414426600375,119,1,14,1.5,2.8333333333333335,3.267852779520198,0.15625,2.1875,0.234375,0.4427083333333333,0.510601996800031,"create-react-router,loading-indicator,prompts-prompt-base,prompts-select",""
"@babel",5,52,2,17,10,10.4,6.6558245169174945,7,1,3,1,1.4,0.8944271909999159,0.15625,0.46875,0.15625,0.21875,0.13975424859373686,"useJavascript,remove-exports,route-chunks,styles",""
"@cloudflare",3,44,4,22,18,14.666666666666666,9.451631252505218,10,1,5,4,3.3333333333333335,2.0816659994661326,0.15625,0.78125,0.625,0.5208333333333334,0.3252603124165832,"react-router-cloudflare,workersKVStorage,worker",""
"@architect",2,10,5,5,5,5,0,2,1,1,1,1,0,0.15625,0.15625,0.15625,0.15625,0,"react-router-architect,arcTableSessionStorage",""
"@mjackson",2,4,2,2,2,2,0,4,2,2,2,2,0,0.3125,0.3125,0.3125,0.3125,0,"server,react-router-node",""
