"communityId","artifactName","packageCount","packageNames","Source Cypher File: Community_Detection/Which_package_community_spans_several_artifacts_and_how_are_the_packages_distributed.cypher"
0,"axon-disruptor-4.11.1",1,"commandhandling",""
0,"axon-eventsourcing-4.11.1",2,"eventsourcing,conflictresolution",""
0,"axon-messaging-4.11.1",16,"commandhandling,callbacks,distributed,commandfilter,gateway,common,annotation,caching,digest,lock,property,interceptors,unitofwork",""
0,"axon-modelling-4.11.1",3,"command,inspection,legacyjpa",""
1,"axon-configuration-4.11.1",1,"config",""
1,"axon-eventsourcing-4.11.1",7,"eventstore,inmemory,jdbc,statements,jpa,legacyjpa,snapshotting",""
1,"axon-messaging-4.11.1",10,"io,stream,transaction,eventhandling,async,deadletter,gateway,pooled,monitoring,util",""
1,"axon-spring-boot-autoconfigure-4.11.1",2,"legacyjpa",""
2,"axon-modelling-4.11.1",1,"inmemory",""
2,"axon-test-4.11.1",7,"test,deadline,eventscheduler,saga,utils,aggregate,matchers",""
3,"axon-messaging-4.11.1",2,"timeout,attributes",""
3,"axon-spring-boot-autoconfigure-4.11.1",7,"actuator,axonserver,springboot,connection,autoconfig,util,jpa",""
3,"axon-test-4.11.1",1,"server",""
5,"axon-messaging-4.11.1",11,"replay,java,lifecycle,messaging,correlation,legacyvalidation,responsetypes,interceptors,queryhandling,registration,tracing",""
5,"axon-server-connector-4.11.1",11,"connector,processor,util,heartbeat,source,checker,query,subscription,axon,command",""
5,"axon-tracing-opentelemetry-4.11.1",1,"opentelemetry",""
