"similarity","sourceArtifactName","sourceNodeName","sourceNodeIncomingDependencies","sourceNodeOutgoingDependencies","targetArtifactName","targetNodeName","targetNodeIncomingDependencies","targetNodeOutgoingDependencies","Source Cypher File: Similarity/Similarity_1d_Stream_Mutated.cypher"
0.6363636363636364,"axon-test-5.0.2","org.axonframework.test.matchers",35,47,"axon-common-5.0.2","org.axonframework.common.lock",17,21,""
0.61,"axon-messaging-5.0.2","org.axonframework.messaging.core.unitofwork",11526,108,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling",3202,471,""
0.61,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling",3202,471,"axon-messaging-5.0.2","org.axonframework.messaging.core.unitofwork",11526,108,""
0.6,"axon-test-5.0.2","org.axonframework.test",7,13,"axon-common-5.0.2","org.axonframework.common.annotation",2196,3,""
0.6,"axon-test-5.0.2","org.axonframework.test",7,13,"axon-common-5.0.2","org.axonframework.common.property",19,15,""
0.5733333333333334,"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.annotation.reflection",8,198,"axon-messaging-5.0.2","org.axonframework.messaging.core.interception.annotation",21,234,""
0.5733333333333334,"axon-messaging-5.0.2","org.axonframework.messaging.core.interception.annotation",21,234,"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.annotation.reflection",8,198,""
0.5714285714285714,"axon-conversion-5.0.2","org.axonframework.conversion",415,21,"axon-common-5.0.2","org.axonframework.common.digest",0,1,""
0.5714285714285714,"axon-messaging-5.0.2","org.axonframework.messaging.core.annotation",487,464,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling",698,533,""
0.5714285714285714,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling",698,533,"axon-messaging-5.0.2","org.axonframework.messaging.core.annotation",487,464,""
0.5555555555555556,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.gateway",9,102,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing",12,62,""
0.5555555555555556,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing",12,62,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.gateway",9,102,""
0.55,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.retry",0,168,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.tracing",7,156,""
0.55,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.tracing",7,156,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.retry",0,168,""
0.5454545454545454,"axon-messaging-5.0.2","org.axonframework.messaging.core.configuration.reflection",8,36,"axon-messaging-5.0.2","org.axonframework.messaging.core.reflection",0,44,""
0.5454545454545454,"axon-messaging-5.0.2","org.axonframework.messaging.core.reflection",0,44,"axon-messaging-5.0.2","org.axonframework.messaging.core.configuration.reflection",8,36,""
0.5454545454545454,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token",425,16,"axon-common-5.0.2","org.axonframework.common.caching",22,43,""
0.5454545454545454,"axon-test-5.0.2","org.axonframework.test.matchers",35,47,"axon-common-5.0.2","org.axonframework.common.caching",22,43,""
0.54421768707483,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling",1463,297,"axon-messaging-5.0.2","org.axonframework.messaging.core.annotation",487,464,""
0.54421768707483,"axon-messaging-5.0.2","org.axonframework.messaging.core.annotation",487,464,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling",1463,297,""
0.5434782608695652,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.gateway",20,191,"axon-test-5.0.2","org.axonframework.test.util",23,164,""
0.5434782608695652,"axon-test-5.0.2","org.axonframework.test.util",23,164,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.gateway",20,191,""
0.52,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.interception",4,218,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing",12,62,""
0.52,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing",12,62,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.interception",4,218,""
0.5192307692307693,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.distributed",38,513,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.gateway",3,205,""
0.5192307692307693,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.gateway",3,205,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.distributed",38,513,""
0.5189873417721519,"axon-messaging-5.0.2","org.axonframework.messaging.core.interception",38,1084,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling",1463,297,""
0.5178571428571429,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling",698,533,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling",1463,297,""
0.5128205128205128,"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.annotation.reflection",8,198,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.annotation",16,438,""
0.5128205128205128,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.annotation",16,438,"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.annotation.reflection",8,198,""
0.5128205128205128,"axon-messaging-5.0.2","org.axonframework.messaging.core.annotation",487,464,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling",3202,471,""
0.5128205128205128,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling",3202,471,"axon-messaging-5.0.2","org.axonframework.messaging.core.annotation",487,464,""
0.5038167938931297,"axon-modelling-5.0.2","org.axonframework.modelling.entity",115,800,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling",1463,297,""
0.5,"axon-common-5.0.2","org.axonframework.common.jdbc",23,19,"axon-common-5.0.2","org.axonframework.common.lifecycle",8,4,""
