"dependentArtifactName","numberOfReflectionCaller","someReflectionCaller","someReflectionTypes","Source Cypher File: domains/java/queries/java-code-quality/Java_Reflection_usage.cypher"
"axon-modelling-5.1.2",99,"org.axonframework.modelling.configuration.ModellingConfigurationDefaults,org.axonframework.modelling.entity.PolymorphicEntityMetamodel,org.axonframework.modelling.annotation.AnnotationBasedEntityIdResolverDefinition,org.axonframework.modelling.annotation.EntityIdResolverDefinition,org.axonframework.modelling.PayloadBasedEntityEvolver,org.axonframework.modelling.EntityIdResolver,org.axonframework.modelling.entity.ConcreteEntityMetamodel,org.axonframework.modelling.repository.SimpleRepository$SimpleEntity,org.axonframework.modelling.entity.annotation.SingleEntityChildModelDefinition,org.axonframework.modelling.EntityIdResolutionException,org.axonframework.modelling.ConcurrencyException,org.axonframework.modelling.entity.PolymorphicEntityMetamodel$Builder,org.axonframework.modelling.entity.EntityMetamodel,org.axonframework.modelling.LoadedEntityNotOfExpectedTypeException,org.axonframework.modelling.configuration.StateBasedEntityModule,org.axonframework.modelling.annotation.TargetEntityId,org.axonframework.modelling.entity.child.ChildAmbiguityException,org.axonframework.modelling.configuration.ModellingConfigurer,org.axonframework.modelling.repository.Repository","java.lang.reflect.Member,java.lang.reflect.AnnotatedElement,java.lang.reflect.Method,java.lang.reflect.Modifier,java.lang.reflect.Executable,java.lang.reflect.Parameter,java.lang.reflect.ParameterizedType,java.lang.reflect.Field",""
"axon-test-5.1.2",79,"org.axonframework.test.matchers.NonTransientFieldsFilter,org.axonframework.test.fixture.RecordingEventStore,org.axonframework.test.fixture.RecordingEventBus,org.axonframework.test.fixture.AxonTestPhase$When,org.axonframework.test.matchers.SequenceMatcher,org.axonframework.test.util.RecordingCommandBus,org.axonframework.test.fixture.RecordingEventSink,org.axonframework.test.matchers.MapStringEntryMatcher$Matching,org.axonframework.test.util.DefaultCallbackBehavior,org.axonframework.test.fixture.AxonTestThenMessage,org.axonframework.test.fixture.AxonTestWhen,org.axonframework.test.fixture.AxonTestPhase$When$Nothing,org.axonframework.test.fixture.AxonTestWhen$Command,org.axonframework.test.matchers.PayloadMatcher,org.axonframework.test.matchers.ListWithAllOfMatcher,org.axonframework.test.matchers.MapStringEntryMatcher,org.axonframework.test.fixture.AxonTestPhase$Then$Nothing,org.axonframework.test.fixture.package-info,org.axonframework.test.util.DescriptionUtils","java.lang.reflect.Field,java.lang.reflect.AnnotatedElement,java.lang.reflect.Constructor,java.lang.reflect.Method,java.lang.reflect.Modifier,java.lang.reflect.Executable,java.lang.reflect.Parameter",""
"axon-messaging-5.1.2",633,"org.axonframework.messaging.core.FluxMessageStream$1,org.axonframework.messaging.eventhandling.replay.GenericReplayStatusChanged,org.axonframework.messaging.queryhandling.tracing.TracingQueryBus,org.axonframework.messaging.tracing.Span,org.axonframework.messaging.core.MessageTypeResolver,org.axonframework.messaging.commandhandling.RoutingStrategy,org.axonframework.messaging.queryhandling.SimpleQueryUpdateEmitter,org.axonframework.messaging.eventhandling.processing.streaming.token.LatestTrackingToken,org.axonframework.messaging.commandhandling.gateway.ConvertingCommandGateway$ConvertingCommandResult,org.axonframework.messaging.commandhandling.gateway.package-info,org.axonframework.messaging.tracing.NoOpSpanFactory$NoOpSpan,org.axonframework.messaging.eventstreaming.OrEventCriteria,org.axonframework.messaging.eventhandling.annotation.MethodSequencingPolicyEventHandlerDefinition$SequencingPolicyEventMessageHandlingMember,org.axonframework.messaging.queryhandling.configuration.QueryHandlingModule$SetupPhase,org.axonframework.messaging.core.GenericMessage,org.axonframework.messaging.tracing.HandlerSpanFactory,org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptorDefinition$InterceptedMessageHandlingMember,org.axonframework.messaging.queryhandling.QueryUpdateEmitter,org.axonframework.messaging.core.AbstractMessageStream$FetchResult$Value","java.lang.reflect.Type,java.lang.reflect.Constructor,java.lang.reflect.Member,java.lang.reflect.Method,java.lang.reflect.Parameter,java.lang.reflect.Executable,java.lang.reflect.WildcardType,java.lang.reflect.AnnotatedElement,java.lang.reflect.Modifier,java.lang.reflect.Field,java.lang.reflect.InvocationTargetException",""
"axon-server-connector-5.1.2",79,"io.axoniq.framework.axonserver.connector.api.AxonServerConfiguration,io.axoniq.framework.axonserver.connector.api.AxonServerException,io.axoniq.framework.axonserver.connector.api.command.AxonServerRemoteCommandHandlingException,io.axoniq.framework.axonserver.connector.command.CommandConverter,io.axoniq.framework.axonserver.connector.event.StreamingEventMessageStream,io.axoniq.framework.axonserver.connector.api.AxonServerConfiguration$HeartbeatConfiguration,io.axoniq.framework.axonserver.connector.snapshot.AxonServerSnapshotStore,io.axoniq.framework.axonserver.connector.shared.MetadataConverter$1,io.axoniq.framework.axonserver.connector.configuration.ManagedChannelCustomizer,io.axoniq.framework.axonserver.connector.api.query.AxonServerRemoteQueryHandlingException,io.axoniq.framework.axonserver.connector.configuration.TopologyChange$1,io.axoniq.framework.axonserver.connector.event.EventProcessorInfoUtils,io.axoniq.framework.axonserver.connector.shared.ExceptionFactory$1,io.axoniq.framework.axonserver.connector.query.AxonServerQueryBusConnector$AxonServerUpdateCallback,io.axoniq.framework.axonserver.connector.configuration.package-info,io.axoniq.framework.axonserver.connector.event.EventProcessorControlService,io.axoniq.framework.axonserver.connector.event.TaggedEventConverter,io.axoniq.framework.axonserver.connector.shared.ErrorCode,io.axoniq.framework.axonserver.connector.util.GrpcMessageSizeInterceptor$1$1","",""
"axon-metrics-micrometer-5.1.2",19,"org.axonframework.extension.metrics.micrometer.CapacityMonitor,org.axonframework.extension.metrics.micrometer.springboot.MetricsProperties$Micrometer,org.axonframework.extension.metrics.micrometer.CapacityMonitor$1,org.axonframework.extension.metrics.micrometer.EventProcessorLatencyMonitor$Builder,org.axonframework.extension.metrics.micrometer.package-info,org.axonframework.extension.metrics.micrometer.reservoir.SlidingTimeWindowReservoir,org.axonframework.extension.metrics.micrometer.EventProcessorLatencyMonitor,org.axonframework.extension.metrics.micrometer.springboot.package-info,org.axonframework.extension.metrics.micrometer.reservoir.package-info,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor$Builder,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor$1,org.axonframework.extension.metrics.micrometer.MetricsConfigurationEnhancer,org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration,org.axonframework.extension.metrics.micrometer.TagsUtil,org.axonframework.extension.metrics.micrometer.MessageCountingMonitor$1,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor,org.axonframework.extension.metrics.micrometer.springboot.MetricsProperties,org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration$1,org.axonframework.extension.metrics.micrometer.MessageCountingMonitor","",""
"axon-common-5.1.2",175,"org.axonframework.common.configuration.AbstractComponent,org.axonframework.common.IdentifierValidator,org.axonframework.common.lock.Lock,org.axonframework.common.TypeReflectionUtils$VarMap$ParameterizedTypeImpl,org.axonframework.common.configuration.ComponentDefinition$ComponentCreator,org.axonframework.common.property.PropertyAccessStrategy,org.axonframework.common.annotation.Internal,org.axonframework.common.configuration.ComponentDefinition$IncompleteComponentDefinition,org.axonframework.common.configuration.AbstractComponent$HandlerRegistration,org.axonframework.common.DefaultIdentifierFactory,org.axonframework.common.configuration.DefaultAxonApplication$LifecycleState,org.axonframework.common.annotation.AnnotationUtils,org.axonframework.common.configuration.DefaultComponentRegistry,org.axonframework.common.caching.Cache,org.axonframework.common.infra.ComponentDescriptor,org.axonframework.common.property.MethodAccessedProperty,org.axonframework.common.ReflectionUtils,org.axonframework.common.TypeReference$2,org.axonframework.common.jpa.EntityManagerProvider","java.lang.reflect.ParameterizedType,java.lang.reflect.Type,java.lang.reflect.AnnotatedElement,java.lang.reflect.InvocationTargetException,java.lang.reflect.Member,java.lang.reflect.Method,java.lang.reflect.AccessibleObject,java.lang.reflect.Executable,java.lang.reflect.Field,java.lang.reflect.Modifier,java.lang.reflect.Constructor,java.lang.reflect.Array,java.lang.reflect.GenericArrayType,java.lang.reflect.TypeVariable,java.lang.reflect.WildcardType,java.lang.reflect.Proxy",""
"axon-update-5.1.2",28,"org.axonframework.update.UpdateCheckerReporter,org.axonframework.update.LoggingUpdateCheckerReporter,org.axonframework.update.api.package-info,org.axonframework.update.detection.package-info,org.axonframework.update.configuration.EnvironmentVariableUsagePropertyProvider$EnvironmentVariableSupplier,org.axonframework.update.detection.KotlinVersion,org.axonframework.update.package-info,org.axonframework.update.UpdateCheckerConfigurationEnhancer,org.axonframework.update.api.DetectedVulnerability,org.axonframework.update.api.Artifact,org.axonframework.update.configuration.HierarchicalUsagePropertyProvider,org.axonframework.update.configuration.UsagePropertyProvider,org.axonframework.update.detection.AxonVersionDetector,org.axonframework.update.api.DetectedVulnerabilitySeverity,org.axonframework.update.common.package-info,org.axonframework.update.configuration.PropertyFileUsagePropertyProvider,org.axonframework.update.UpdateCheckerHttpClient,org.axonframework.update.api.UpdateCheckRequest,org.axonframework.update.detection.MachineId","java.lang.reflect.Method",""
"axon-tracing-opentelemetry-5.1.2",6,"org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpanFactory$Builder,org.axonframework.extension.tracing.opentelemetry.package-info,org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpanFactory,org.axonframework.extension.tracing.opentelemetry.MetadataContextSetter,org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpan,org.axonframework.extension.tracing.opentelemetry.MetadataContextGetter","",""
"axon-eventsourcing-5.1.2",130,"org.axonframework.eventsourcing.EventSourcingRepository,org.axonframework.eventsourcing.handler.SimpleEntityLifecycleHandler,org.axonframework.eventsourcing.eventstore.SnapshotCapableEventStorageEngine,org.axonframework.eventsourcing.eventstore.jpa.JpaPollingEventCoordinator$1,org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolver$WrappedEventCriteriaBuilderMethod,org.axonframework.eventsourcing.EventSourcingRepository$EventSourcedEntity,org.axonframework.eventsourcing.eventstore.PayloadBasedTagResolver,org.axonframework.eventsourcing.annotation.reflection.InjectEntityId,org.axonframework.eventsourcing.annotation.reflection.package-info,org.axonframework.eventsourcing.CriteriaResolver,org.axonframework.eventsourcing.annotation.CriteriaResolverDefinition,org.axonframework.eventsourcing.eventstore.GenericTaggedEventMessage,org.axonframework.eventsourcing.configuration.EventSourcedEntityModule$EntityFactoryPhase,org.axonframework.eventsourcing.handler.InitializingEntityEvolver,org.axonframework.eventsourcing.annotation.EventCriteriaBuilder,org.axonframework.eventsourcing.annotation.package-info,org.axonframework.eventsourcing.annotation.EventSourcingHandler,org.axonframework.eventsourcing.eventstore.SourcingStrategy$Absolute,org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolver","java.lang.reflect.InvocationTargetException,java.lang.reflect.Method,java.lang.reflect.Modifier,java.lang.reflect.Constructor,java.lang.reflect.Executable,java.lang.reflect.AnnotatedElement,java.lang.reflect.Field,java.lang.reflect.Member",""
"axon-conversion-5.1.2",41,"org.axonframework.conversion.CachingSupplier,org.axonframework.conversion.converter.InputStreamToByteArrayConverter,org.axonframework.conversion.ChainedConverter,org.axonframework.conversion.jackson.JsonNodeToByteArrayConverter,org.axonframework.conversion.jackson.package-info,org.axonframework.conversion.Converter,org.axonframework.conversion.avro.AvroConverterStrategy,org.axonframework.conversion.avro.SpecificRecordBaseConverterStrategy,org.axonframework.conversion.converter.ByteArrayToInputStreamConverter,org.axonframework.conversion.GeneralConverter,org.axonframework.conversion.ChainedConverter$RouteCalculator,org.axonframework.conversion.jackson2.ByteArrayToJsonNodeConverter,org.axonframework.conversion.avro.AvroConverter,org.axonframework.conversion.avro.package-info,org.axonframework.conversion.jackson.ByteArrayToJsonNodeConverter,org.axonframework.conversion.jackson2.package-info,org.axonframework.conversion.avro.ByteArrayToGenericRecordConverter,org.axonframework.conversion.avro.DefaultSchemaIncompatibilityChecker,org.axonframework.conversion.avro.GenericRecordToByteArrayConverter","java.lang.reflect.Type,java.lang.reflect.Constructor,java.lang.reflect.InvocationTargetException,java.lang.reflect.Method",""
