"dependency","usedByPackages","usedByTypes","providesPackages","providesTypes","interfaceRate","someProvidedPackages","someProvidedTypes","Source Cypher File: domains/java/queries/artifact-dependencies/Most_used_internal_dependencies_across_artifacts.cypher"
"axon-common-5.1.2",94,460,12,73,39.73,"org.axonframework.common,org.axonframework.common.io,org.axonframework.common.annotation,org.axonframework.common.jdbc,org.axonframework.common.util","AxonNonTransientException,Priority,DirectExecutor,DateTimeUtils,AxonTransientException",""
"axon-messaging-5.1.2",33,189,31,107,52.34,"org.axonframework.messaging.monitoring,org.axonframework.messaging.monitoring.configuration,org.axonframework.messaging.commandhandling,org.axonframework.messaging.commandhandling.annotation,org.axonframework.messaging.commandhandling.configuration","NoOpMessageMonitorCallback,MultiMessageMonitor,MessageMonitor,MessageMonitor$MonitorCallback,NoOpMessageMonitor",""
"axon-conversion-5.1.2",25,48,2,6,33.33,"org.axonframework.conversion,org.axonframework.conversion.jackson","GeneralConverter,CachingSupplier,DelegatingGeneralConverter,Converter,ConversionException",""
"axon-modelling-5.1.2",6,18,6,16,68.75,"org.axonframework.modelling,org.axonframework.modelling.annotation,org.axonframework.modelling.entity,org.axonframework.modelling.entity.annotation,org.axonframework.modelling.configuration","ConcurrencyException,StateManager,EntityEvolver,EntityIdResolver,EntityIdResolverDefinition",""
"axon-eventsourcing-5.1.2",5,13,3,20,45,"org.axonframework.eventsourcing.snapshot.store,org.axonframework.eventsourcing.snapshot.api,org.axonframework.eventsourcing.eventstore","SnapshotStore,Snapshot,EventStoreTransaction,TaggedEventMessage,AppendCondition",""
"axon-server-connector-5.1.2",3,5,2,5,20,"io.axoniq.framework.axonserver.connector.api,io.axoniq.framework.axonserver.connector.configuration","AxonServerConnectionManager,TagsConfiguration,AxonServerConfiguration,AxonServerConfigurationEnhancer,TopologyChangeListener",""
