"a.fileName","outgoingDependencies","outgoingDependenciesWeight","Source Cypher File: domains/java/queries/artifact-dependencies/Outgoing_Java_Artifact_Dependencies.cypher"
"/axon-server-connector-5.1.2.jar",5,504,""
"/axon-eventsourcing-5.1.2.jar",4,708,""
"/axon-conversion-5.1.2.jar",1,34,""
"/axon-update-5.1.2.jar",1,54,""
"/axon-modelling-5.1.2.jar",3,500,""
"/axoniq-spring-boot-autoconfigure-5.1.2.jar",4,58,""
"/axon-tracing-opentelemetry-5.1.2.jar",2,24,""
"/axon-common-5.1.2.jar",0,0,""
"/axon-metrics-micrometer-5.1.2.jar",2,82,""
"/axon-messaging-5.1.2.jar",2,1068,""
"/axon-test-5.1.2.jar",3,290,""
