"artifactName","packagesInArtifactCount","packagesCount","packageSpread","typesInArtifactCount","typesCount","typesSpread","dependencyArtifactName","dependencyTypeIsInterface","dependencyPackagesCount","dependencyTypesCount","someDependencyPackages","someDependencyTypes","someCallingPackages","someCallingTypes","Source Cypher File: domains/java/queries/artifact-dependencies/Artifacts_with_dependencies_to_other_artifacts.cypher"
"axon-messaging-5.1.2",57,50,87.72,633,214,33.81,"axon-common-5.1.2",false,7,36,"org.axonframework.common,org.axonframework.common.annotation","AxonNonTransientException,Priority,DirectExecutor,DateTimeUtils","org.axonframework.messaging.core.interception,org.axonframework.messaging.queryhandling","JSR303ViolationException,CompletedEmitterException,ResetNotSupportedException,AxonNonTransientExceptionClassesPredicate",""
"axon-messaging-5.1.2",57,37,64.91,633,108,17.06,"axon-common-5.1.2",true,8,24,"org.axonframework.common,org.axonframework.common.jdbc","Registration,JdbcUtils$SqlResultConverter,Property,TransactionalExecutor","org.axonframework.messaging.eventhandling,org.axonframework.messaging.core","InterceptingEventBus,SubscribableEventSource,SimpleEventBus,SubscribingEventProcessor",""
"axon-messaging-5.1.2",57,14,24.56,633,36,5.69,"axon-conversion-5.1.2",true,1,2,"org.axonframework.conversion","GeneralConverter,Converter","org.axonframework.messaging.core.configuration,org.axonframework.messaging.eventhandling.processing.streaming.pooled","MessagingConfigurationDefaults,PooledStreamingEventProcessor,ReplayContextParameterResolverFactory$ReplayContextParameterResolver,TokenEntry",""
"axon-eventsourcing-5.1.2",11,10,90.91,130,38,29.23,"axon-messaging-5.1.2",false,8,20,"org.axonframework.messaging.eventhandling,org.axonframework.messaging.eventhandling.annotation","GenericEventMessage,InterceptingEventBus,SimpleEventBus,EventHandler","org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.handler","TerminalEventMessage,SnapshottingEntityLifecycleHandler,SnapshotEventMessage,AggregateBasedJpaEventStorageEngine",""
"axon-eventsourcing-5.1.2",11,9,81.82,130,54,41.54,"axon-messaging-5.1.2",true,13,30,"org.axonframework.messaging.commandhandling,org.axonframework.messaging.commandhandling.configuration","CommandBus,CommandHandlingComponent,CommandHandlingModule,EventMessage","org.axonframework.eventsourcing.configuration,org.axonframework.eventsourcing.eventstore.inmemory","SimpleEventSourcedEntityModule,EventSourcingConfigurer,InMemoryEventStorageEngine,InitializingEntityEvolver",""
"axon-server-connector-5.1.2",10,8,80,79,27,34.18,"axon-common-5.1.2",false,5,16,"org.axonframework.common,org.axonframework.common.annotation","ExceptionUtils,AxonException,AxonConfigurationException,FutureUtils","io.axoniq.framework.axonserver.connector.shared,io.axoniq.framework.axonserver.connector.query","ErrorCode,QueryUpdateMessageStream,QueryResponseMessageStream,ExceptionFactory",""
"axon-eventsourcing-5.1.2",11,8,72.73,130,29,22.31,"axon-common-5.1.2",true,6,17,"org.axonframework.common,org.axonframework.common.jdbc","Registration,PersistenceExceptionResolver,TransactionalExecutor,ComponentDescriptor","org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.jpa","ContinuousMessageStream,AggregateBasedJpaEventStorageEngine,StorageEngineBackedEventStore,InterceptingEventStore",""
"axon-eventsourcing-5.1.2",11,7,63.64,130,42,32.31,"axon-common-5.1.2",false,4,17,"org.axonframework.common,org.axonframework.common.io","AxonNonTransientException,DateTimeUtils,ExceptionUtils,ConstructorUtils","org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.jpa","AppendEventsTransactionRejectedException,EventStoreException,AggregateBasedJpaEventStorageEngine,GapAwareTrackingTokenOperations",""
"axon-modelling-5.1.2",7,7,100,99,23,23.23,"axon-common-5.1.2",false,4,13,"org.axonframework.common,org.axonframework.common.annotation","AxonTransientException,ConstructorUtils,AxonConfigurationException,FutureUtils","org.axonframework.modelling,org.axonframework.modelling.entity.annotation","ConcurrencyException,AbstractEntityChildModelDefinition,InjectEntityParameterResolverFactory,AnnotatedEntityMetamodel",""
"axon-modelling-5.1.2",7,7,100,99,30,30.3,"axon-common-5.1.2",true,3,14,"org.axonframework.common.property,org.axonframework.common.infra","Property,ComponentDescriptor,DescribableComponent,Module","org.axonframework.modelling.entity.annotation,org.axonframework.modelling","AnnotatedEntityModelRoutingKeyMatcher,PropertyBasedEntityIdResolver,ConcreteEntityMetamodel,SimpleStateManager",""
"axon-modelling-5.1.2",7,7,100,99,43,43.43,"axon-messaging-5.1.2",true,11,23,"org.axonframework.messaging.commandhandling,org.axonframework.messaging.commandhandling.annotation","CommandBus,CommandHandler,CommandResultMessage,CommandHandlingComponent","org.axonframework.modelling.configuration,org.axonframework.modelling.entity","SimpleStateBasedEntityModule,EntityMetamodelBuilder,ConcreteEntityMetamodel$Builder,ConcreteEntityMetamodel",""
"axon-server-connector-5.1.2",10,7,70,79,21,26.58,"axon-messaging-5.1.2",false,9,29,"org.axonframework.messaging.commandhandling,org.axonframework.messaging.eventhandling","CommandExecutionException,CommandDispatchException,GenericCommandResultMessage,GenericCommandMessage","io.axoniq.framework.axonserver.connector.shared,io.axoniq.framework.axonserver.connector.api.command","ExceptionFactory,AxonServerCommandDispatchException,CommandConverter,AggregateBasedAxonServerEventStorageEngine",""
"axon-modelling-5.1.2",7,7,100,99,20,20.2,"axon-messaging-5.1.2",false,5,13,"org.axonframework.messaging.commandhandling,org.axonframework.messaging.core","GenericCommandResultMessage,DuplicateCommandHandlerSubscriptionException,NoHandlerForCommandException,MessageType","org.axonframework.modelling.entity.annotation,org.axonframework.modelling.entity","AnnotatedEntityMetamodel,ConcreteEntityMetamodel$Builder,ConcreteEntityMetamodel,PolymorphicEntityMetamodel",""
"axon-eventsourcing-5.1.2",11,5,45.45,130,17,13.08,"axon-modelling-5.1.2",true,5,11,"org.axonframework.modelling,org.axonframework.modelling.annotation","StateManager,EntityEvolver,EntityIdResolver,EntityIdResolverDefinition","org.axonframework.eventsourcing.configuration,org.axonframework.eventsourcing.handler","SimpleEventSourcedEntityModule,InitializingEntityEvolver,EventSourcingRepository,EventSourcedEntityModule$OptionalPhase",""
"axon-test-5.1.2",5,5,100,79,15,18.99,"axon-common-5.1.2",false,2,8,"org.axonframework.common,org.axonframework.common.annotation","AxonNonTransientException,Priority,FutureUtils,ObjectUtils","org.axonframework.test,org.axonframework.test.matchers","FixtureExecutionException,MatcherExecutionException,FixtureResourceParameterResolverFactory,AxonTestPhase$Given",""
"axon-update-5.1.2",5,5,100,28,20,71.43,"axon-common-5.1.2",false,2,3,"org.axonframework.common,org.axonframework.common.annotation","ObjectUtils,RegistrationScope,Internal","org.axonframework.update,org.axonframework.update.detection","UpdateChecker,UpdateCheckerConfigurationEnhancer,MachineId,HierarchicalUsagePropertyProvider",""
"axon-messaging-5.1.2",57,5,8.77,633,5,0.79,"axon-conversion-5.1.2",false,2,4,"org.axonframework.conversion,org.axonframework.conversion.jackson","CachingSupplier,DelegatingGeneralConverter,ConversionException,JacksonConverter","org.axonframework.messaging.eventhandling,org.axonframework.messaging.core.unitofwork.transaction.jpa","GenericEventMessage,EntityManagerTransactionManager,MessagingConfigurationDefaults,CommandResult",""
"axon-conversion-5.1.2",5,4,80,41,8,19.51,"axon-common-5.1.2",false,2,4,"org.axonframework.common,org.axonframework.common.annotation","AxonNonTransientException,BuilderUtils,Assert,Internal","org.axonframework.conversion,org.axonframework.conversion.avro","ConversionException,SpecificRecordBaseConverterStrategy,ChainedConverter$Route,ChainedConverter",""
"axon-server-connector-5.1.2",10,4,40,79,9,11.39,"axon-common-5.1.2",true,3,14,"org.axonframework.common,org.axonframework.common.infra","Registration,ComponentDescriptor,DescribableComponent,Configuration","io.axoniq.framework.axonserver.connector.query,io.axoniq.framework.axonserver.connector.command","AxonServerQueryBusConnector$LocalSegmentAdapter,AxonServerCommandBusConnector,AxonServerEventStorageEngineFactory,AggregateBasedAxonServerEventStorageEngine",""
"axon-conversion-5.1.2",5,4,80,41,9,21.95,"axon-common-5.1.2",true,1,2,"org.axonframework.common.infra","ComponentDescriptor,DescribableComponent","org.axonframework.conversion.avro,org.axonframework.conversion","SpecificRecordBaseConverterStrategy,ChainingContentTypeConverter,JacksonConverter,Jackson2Converter",""
"axon-server-connector-5.1.2",10,4,40,79,4,5.06,"axon-conversion-5.1.2",true,1,2,"org.axonframework.conversion","GeneralConverter,Converter","io.axoniq.framework.axonserver.connector.configuration,io.axoniq.framework.axonserver.connector.snapshot","AxonServerConfigurationEnhancer,AxonServerSnapshotStore,CommandConverter,QueryConverter",""
