"artifactName","fullPackageName","linesInPackage","complexityInPackage","methodCount","maxLinesMethod","maxLinesMethodType","maxLinesMethodName","maxComplexity","maxComplexityType","maxComplexityMethod","packageName","Source Cypher File: domains/java/queries/method-metrics/Effective_lines_of_method_code_per_package.cypher"
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store",30,25,18,6,"ConfigToken","equals",4,"ConfigToken","equals","store",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api.query",30,15,15,5,"AxonServerQueryDispatchException","<init>",1,"AxonServerQueryDispatchException","code","query",""
"axon-update-5.1.2","org.axonframework.update.common",30,12,8,13,"DelayedTask","lambda$new$0",3,"DelayedTask","lambda$new$0","common",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.transaction.jdbc",29,16,6,15,"JdbcTransactionalExecutorProvider$1","applyInTx",7,"JdbcTransactionalExecutorProvider$1","applyInTx","jdbc",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.errorhandling",26,20,15,6,"ErrorContext","<init>",6,"PropagatingErrorHandler","handleError","errorhandling",""
"axon-test-5.1.2","org.axonframework.test",25,13,10,5,"AxonAssertionError","cleanStackTrace",3,"AxonAssertionError","cleanStackTrace","test",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.configuration.reflection",24,9,8,7,"ParameterResolverFactoryUtils","registerToComponentRegistry",2,"ParameterResolverFactoryUtils","registerToComponentRegistry","reflection",""
"axon-common-5.1.2","org.axonframework.common.digest",21,14,8,7,"Digester","pad",3,"Digester","newInstance","digest",""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer.reservoir",21,8,5,7,"SlidingTimeWindowReservoir","<init>",3,"SlidingTimeWindowReservoir","getTick","reservoir",""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer.springboot",21,14,14,3,"MetricsProperties","<init>",1,"MetricsProperties","setMicrometer","springboot",""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.service.connection",20,11,10,8,"AxonServerDockerComposeConnectionDetailsFactory","getDockerComposeConnectionDetails",2,"AxonServerDockerComposeConnectionDetailsFactory","getDockerComposeConnectionDetails","connection",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.retry",19,9,9,4,"RetryingCommandBus","<init>",1,"RetryingCommandBus","performRetry","retry",""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.actuator.axonserver",19,7,4,7,"AxonServerHealthIndicator","doHealthCheck",3,"AxonServerHealthIndicator","doHealthCheck","axonserver",""
"axon-common-5.1.2","org.axonframework.common.jpa",16,8,7,4,"SimpleEntityManagerProvider","<init>",2,"EntityManagerExecutor","apply","jpa",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.reflection",15,8,7,7,"HierarchicalParameterResolverFactoryConfigurationEnhancer","lambda$enhance$1",2,"HierarchicalParameterResolverFactoryConfigurationEnhancer","lambda$enhance$1","reflection",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.conversion",15,10,9,4,"DelegatingEventConverter","<init>",2,"DelegatingEventConverter","<init>","conversion",""
"axon-messaging-5.1.2","org.axonframework.messaging.tracing.attributes",15,13,13,3,"MetadataSpanAttributesProvider","provideForMessage",1,"AggregateIdentifierSpanAttributesProvider","<init>","attributes",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.snapshot.inmemory",14,5,4,7,"InMemorySnapshotStore","store",2,"InMemorySnapshotStore","load","inmemory",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.annotation",12,8,7,4,"TrackingTokenParameterResolverFactory$TrackingTokenParameterResolver","resolveParameterValue",2,"TrackingTokenParameterResolverFactory","createInstance","annotation",""
"axon-common-5.1.2","org.axonframework.common.io",11,7,4,5,"IOUtils","closeQuietly",3,"IOUtils","closeQuietly","io",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.conversion",11,8,8,3,"DelegatingMessageConverter","<init>",1,"DelegatingMessageConverter","delegate","conversion",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.unitofwork.annotation",9,7,6,4,"ProcessingContextParameterResolverFactory","createInstance",2,"ProcessingContextParameterResolverFactory","createInstance","annotation",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming",5,6,4,2,"StreamingEventProcessor","isReplaying",3,"StreamingEventProcessor","lambda$isReplaying$0","streaming",""
"axon-common-5.1.2","org.axonframework.common.tx",4,2,2,2,"TransactionalExecutor","lambda$accept$0",1,"TransactionalExecutor","lambda$accept$0","tx",""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot.actuator",3,2,2,2,"HealthStatus","<init>",1,"HealthStatus","<init>","actuator",""
