"artifactName","effectiveLineCount","methods","Source Cypher File: domains/java/queries/method-metrics/Effective_Method_Line_Count_Distribution.cypher"
"axon-common-5.1.2.jar",1,392,""
"axon-common-5.1.2.jar",2,152,""
"axon-common-5.1.2.jar",3,101,""
"axon-common-5.1.2.jar",4,37,""
"axon-common-5.1.2.jar",5,38,""
"axon-common-5.1.2.jar",6,38,""
"axon-common-5.1.2.jar",7,19,""
"axon-common-5.1.2.jar",8,18,""
"axon-common-5.1.2.jar",9,12,""
"axon-common-5.1.2.jar",10,6,""
"axon-common-5.1.2.jar",11,7,""
"axon-common-5.1.2.jar",12,7,""
"axon-common-5.1.2.jar",13,6,""
"axon-common-5.1.2.jar",14,5,""
"axon-common-5.1.2.jar",15,1,""
"axon-common-5.1.2.jar",16,3,""
"axon-common-5.1.2.jar",17,3,""
"axon-common-5.1.2.jar",18,1,""
"axon-common-5.1.2.jar",24,1,""
"axon-common-5.1.2.jar",26,1,""
"axon-conversion-5.1.2.jar",1,118,""
"axon-conversion-5.1.2.jar",2,23,""
"axon-conversion-5.1.2.jar",3,17,""
"axon-conversion-5.1.2.jar",4,8,""
"axon-conversion-5.1.2.jar",5,10,""
"axon-conversion-5.1.2.jar",6,7,""
"axon-conversion-5.1.2.jar",7,4,""
"axon-conversion-5.1.2.jar",8,6,""
"axon-conversion-5.1.2.jar",9,4,""
"axon-conversion-5.1.2.jar",10,1,""
"axon-conversion-5.1.2.jar",11,2,""
"axon-conversion-5.1.2.jar",13,1,""
"axon-conversion-5.1.2.jar",15,1,""
"axon-conversion-5.1.2.jar",16,2,""
"axon-conversion-5.1.2.jar",17,1,""
"axon-conversion-5.1.2.jar",19,1,""
"axon-conversion-5.1.2.jar",29,2,""
"axon-conversion-5.1.2.jar",30,1,""
"axon-eventsourcing-5.1.2.jar",1,375,""
"axon-eventsourcing-5.1.2.jar",2,86,""
"axon-eventsourcing-5.1.2.jar",3,65,""
"axon-eventsourcing-5.1.2.jar",4,63,""
"axon-eventsourcing-5.1.2.jar",5,34,""
"axon-eventsourcing-5.1.2.jar",6,17,""
"axon-eventsourcing-5.1.2.jar",7,18,""
"axon-eventsourcing-5.1.2.jar",8,6,""
"axon-eventsourcing-5.1.2.jar",9,7,""
"axon-eventsourcing-5.1.2.jar",10,9,""
"axon-eventsourcing-5.1.2.jar",11,8,""
"axon-eventsourcing-5.1.2.jar",12,4,""
"axon-eventsourcing-5.1.2.jar",13,4,""
"axon-eventsourcing-5.1.2.jar",14,3,""
"axon-eventsourcing-5.1.2.jar",15,2,""
"axon-eventsourcing-5.1.2.jar",16,1,""
"axon-eventsourcing-5.1.2.jar",17,1,""
"axon-eventsourcing-5.1.2.jar",18,1,""
"axon-eventsourcing-5.1.2.jar",19,1,""
"axon-eventsourcing-5.1.2.jar",20,1,""
"axon-eventsourcing-5.1.2.jar",21,1,""
"axon-eventsourcing-5.1.2.jar",24,1,""
"axon-eventsourcing-5.1.2.jar",27,1,""
"axon-eventsourcing-5.1.2.jar",30,1,""
"axon-eventsourcing-5.1.2.jar",40,1,""
"axon-messaging-5.1.2.jar",1,1950,""
"axon-messaging-5.1.2.jar",2,518,""
"axon-messaging-5.1.2.jar",3,412,""
"axon-messaging-5.1.2.jar",4,189,""
"axon-messaging-5.1.2.jar",5,161,""
"axon-messaging-5.1.2.jar",6,96,""
"axon-messaging-5.1.2.jar",7,82,""
"axon-messaging-5.1.2.jar",8,71,""
"axon-messaging-5.1.2.jar",9,37,""
"axon-messaging-5.1.2.jar",10,29,""
"axon-messaging-5.1.2.jar",11,22,""
"axon-messaging-5.1.2.jar",12,8,""
"axon-messaging-5.1.2.jar",13,11,""
"axon-messaging-5.1.2.jar",14,6,""
"axon-messaging-5.1.2.jar",15,6,""
"axon-messaging-5.1.2.jar",16,6,""
"axon-messaging-5.1.2.jar",17,5,""
"axon-messaging-5.1.2.jar",18,2,""
"axon-messaging-5.1.2.jar",19,4,""
"axon-messaging-5.1.2.jar",20,3,""
"axon-messaging-5.1.2.jar",21,1,""
"axon-messaging-5.1.2.jar",22,2,""
"axon-messaging-5.1.2.jar",23,2,""
"axon-messaging-5.1.2.jar",25,2,""
"axon-messaging-5.1.2.jar",27,1,""
"axon-messaging-5.1.2.jar",31,2,""
"axon-messaging-5.1.2.jar",37,1,""
"axon-messaging-5.1.2.jar",111,1,""
"axon-metrics-micrometer-5.1.2.jar",1,45,""
"axon-metrics-micrometer-5.1.2.jar",2,18,""
"axon-metrics-micrometer-5.1.2.jar",3,20,""
"axon-metrics-micrometer-5.1.2.jar",4,8,""
"axon-metrics-micrometer-5.1.2.jar",5,2,""
"axon-metrics-micrometer-5.1.2.jar",6,4,""
"axon-metrics-micrometer-5.1.2.jar",7,3,""
"axon-metrics-micrometer-5.1.2.jar",8,4,""
"axon-metrics-micrometer-5.1.2.jar",9,1,""
"axon-metrics-micrometer-5.1.2.jar",10,1,""
"axon-metrics-micrometer-5.1.2.jar",15,1,""
"axon-modelling-5.1.2.jar",1,163,""
"axon-modelling-5.1.2.jar",2,52,""
"axon-modelling-5.1.2.jar",3,28,""
"axon-modelling-5.1.2.jar",4,37,""
"axon-modelling-5.1.2.jar",5,21,""
"axon-modelling-5.1.2.jar",6,17,""
"axon-modelling-5.1.2.jar",7,8,""
"axon-modelling-5.1.2.jar",8,12,""
"axon-modelling-5.1.2.jar",9,10,""
"axon-modelling-5.1.2.jar",10,2,""
"axon-modelling-5.1.2.jar",11,1,""
"axon-modelling-5.1.2.jar",12,6,""
"axon-modelling-5.1.2.jar",13,4,""
"axon-modelling-5.1.2.jar",14,1,""
"axon-modelling-5.1.2.jar",15,1,""
"axon-modelling-5.1.2.jar",16,1,""
"axon-modelling-5.1.2.jar",17,1,""
"axon-modelling-5.1.2.jar",18,2,""
"axon-modelling-5.1.2.jar",21,1,""
