"projectName","shortCodeUnitName","codeUnitName","pageRank","articleRank","normalizedPageRankToArticleRankDifference","rank","Source Cypher File: domains/archetypes/labels/ArchetypeAuthority.cypher"
"react-router-dev","routes","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-dev/config/routes.ts",4.510155154175984,2.102648888573224,0.21296670130782075,1,""
"react-router-dev","routes","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-dev/routes.ts",4.04872680184805,2.000946126575158,0.17324975829785488,2,""
"react-router-dev","config","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-dev/config/config.ts",1.89713732533955,0.7691776373514998,0.11206216750974916,3,""
"react-router","server","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router/lib/rsc/server.rsc.ts",1.5464647882639382,1.1333320361507908,0.009614416036197226,4,""
"react-router-dev","config","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-dev/config.ts",1.4592375318539754,0.6759771418479462,0.07382753464493379,5,""
"react-router-dev","is-react-router-repo","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-dev/config/is-react-router-repo.ts",1.0328531372429728,0.7341986315549558,0.012212004883845731,6,""
"react-router-express","server","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-express/server.ts",0.9997042353362876,0.22491809317815192,0.09153118692977234,7,""
"react-router-express","react-router-express","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-express/index.ts",0.9997042353362876,0.3254360608643703,0.07507654476526385,8,""
"react-router-cloudflare","react-router-cloudflare","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-cloudflare/index.ts",0.6057296284126917,0.4052439236282338,0.013886358091076662,9,""
"react-router-cloudflare","worker","/home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/temp/react-router-7.18.0/source/react-router-7.18.0/packages/react-router-cloudflare/worker.ts",0.5361525765004231,0.3044119088307579,0.02189326163889229,10,""
