"projectName","shortCodeUnitName","codeUnitName","anomalyRank","anomalyScore","bridgeRank","outlierRank","degreeRank","topFeature1","topFeature2","topFeature3","topFeature1Score","topFeature2Score","topFeature3Score","Source Cypher File: domains/anomaly-detection/labels/AnomalyDetectionTopAnomalies.cypher"
"axon-messaging-5.1.1","ProcessingContext","org.axonframework.messaging.core.unitofwork.ProcessingContext",1,0.09815834835309156,0,0,46,"articleRank","pageRank","degree",-0.20231979137112413,-0.16039878236556204,-0.1475018407489388,""
"axon-messaging-5.1.1","Message","org.axonframework.messaging.core.Message",2,0.08683953761670282,0,0,44,"articleRank","pageRank","degree",-0.2013699895921467,-0.16542114880915684,-0.14483024654850757,""
"axon-messaging-5.1.1","MessageStream","org.axonframework.messaging.core.MessageStream",3,0.08323428963612689,0,0,63,"articleRank","degree","pageRank",-0.20866079945510324,-0.16583177622744877,-0.16022515020471856,""
"axon-common-5.1.1","TypeReference","org.axonframework.common.TypeReference",4,0.07682463354662195,0,0,91,"articleRank","pageRank","pageToArticleRankDifference",-0.21283680720997414,-0.17388091630855562,-0.1365479291993881,""
"axon-messaging-5.1.1","QualifiedName","org.axonframework.messaging.core.QualifiedName",5,0.06984314571700012,0,0,80,"articleRank","degree","pageRank",-0.20019280466800843,-0.15679507882160526,-0.14073425390843763,""
"axon-messaging-5.1.1","EventCriteria","org.axonframework.messaging.eventstreaming.EventCriteria",6,0.06790060061911951,0,0,98,"articleRank","pageRank","pageToArticleRankDifference",-0.20924807927370673,-0.15482320158857685,-0.11987988040270031,""
"axon-common-5.1.1","ComponentDescriptor","org.axonframework.common.infra.ComponentDescriptor",7,0.06204519754659632,0,0,76,"articleRank","pageRank","degree",-0.21406997330622687,-0.15738478054595897,-0.15573439875960815,""
"axon-common-5.1.1","Internal","org.axonframework.common.annotation.Internal",8,0.05775287818460517,0,0,62,"articleRank","degree","pageRank",-0.20304105156473456,-0.17468641025795403,-0.1467110234187763,""
"axon-common-5.1.1","ReflectionUtils","org.axonframework.common.ReflectionUtils",9,0.054971701799955475,0,0,104,"pageRank","pageToArticleRankDifference","articleRank",-0.17488372153090406,-0.11416991449040348,-0.11062087259008321,""
"axon-common-5.1.1","DescribableComponent","org.axonframework.common.infra.DescribableComponent",10,0.054236383282461165,0,0,91,"articleRank","pageRank","degree",-0.21397560646417127,-0.1661939255471833,-0.13869546161536866,""
"axon-messaging-5.1.1","EventMessage","org.axonframework.messaging.eventhandling.EventMessage",11,0.05356164983449441,0,0,66,"articleRank","degree","pageRank",-0.21540599683100262,-0.16736764253376196,-0.15571439843038903,""
"axon-conversion-5.1.1","Converter","org.axonframework.conversion.Converter",12,0.05299955953836333,0,0,87,"articleRank","degree","pageRank",-0.20497699798655705,-0.1635056034810273,-0.15653638606053039,""
"axon-messaging-5.1.1","Context$ResourceKey","org.axonframework.messaging.core.Context$ResourceKey",13,0.05246887454792104,0,0,86,"articleRank","pageRank","degree",-0.2132762984902015,-0.17339986373003094,-0.1543934326508086,""
"axon-messaging-5.1.1","Metadata","org.axonframework.messaging.core.Metadata",14,0.051746405819000474,0,0,95,"articleRank","pageRank","incomingDependencies",-0.2128161844832349,-0.17286149485099955,-0.1503527968840852,""
"axon-common-5.1.1","Assert","org.axonframework.common.Assert",15,0.04910835039115946,0,0,102,"articleRank","pageRank","pageToArticleRankDifference",-0.23221419949353253,-0.17055243222659214,-0.12533787465505758,""
"axon-messaging-5.1.1","MessageType","org.axonframework.messaging.core.MessageType",16,0.047448949566237575,0,0,83,"articleRank","degree","incomingDependencies",-0.20792032398580035,-0.15822983660363046,-0.13706609446369075,""
"axon-messaging-5.1.1","TrackingToken","org.axonframework.messaging.eventhandling.processing.streaming.token.TrackingToken",17,0.045918676340453546,0,0,82,"articleRank","degree","incomingDependencies",-0.22097954478650705,-0.1775794382383895,-0.1603651713994776,""
"axon-messaging-5.1.1","MessageStream$Entry","org.axonframework.messaging.core.MessageStream$Entry",18,0.04296297408448746,0,0,79,"articleRank","degree","pageRank",-0.22873650708948065,-0.18039481933895937,-0.1544952015849623,""
"axon-common-5.1.1","AxonException","org.axonframework.common.AxonException",19,0.04237002053472638,0,0,117,"articleRank","pageRank","pageToArticleRankDifference",-0.24898568762257614,-0.20849835344837256,-0.14822526043353978,""
"axon-messaging-5.1.1","MessageStream$Single","org.axonframework.messaging.core.MessageStream$Single",20,0.04153592022379449,0,0,88,"articleRank","degree","incomingDependencies",-0.23845870348002748,-0.1787700855454979,-0.14957481430273753,""
"axon-messaging-5.1.1","ParameterResolver","org.axonframework.messaging.core.annotation.ParameterResolver",21,0.038797863567428315,0,0,91,"articleRank","incomingDependencies","degree",-0.18858771275543398,-0.1707318497798231,-0.15881818243685447,""
"axon-eventsourcing-5.1.1","Position","org.axonframework.eventsourcing.eventstore.Position",22,0.03826982523248823,0,0,117,"pageRank","articleRank","pageToArticleRankDifference",-0.2265268207355484,-0.19768143775539349,-0.17320976905533197,""
"axon-messaging-5.1.1","Context","org.axonframework.messaging.core.Context",23,0.036974030364778865,0,0,107,"articleRank","pageRank","pageToArticleRankDifference",-0.23491545558755925,-0.18882015465820756,-0.14368209614287952,""
