"projectName","shortCodeUnitName","codeUnitName","nodeEmbeddingTop3SHAPValueSum","rank","Source Cypher File: domains/anomaly-detection/labels/AnomalyDetectionArchetypeBridge.cypher"
"axon-test-5.1.1","MessageMonitorReport$Report$Success","org.axonframework.test.util.MessageMonitorReport$Report$Success",-0.9405949371896657,1,""
"axon-test-5.1.1","MessageMonitorReport$Report$Failure","org.axonframework.test.util.MessageMonitorReport$Report$Failure",-0.9405949371896657,2,""
"axon-test-5.1.1","MessageMonitorReport$Report$Ignored","org.axonframework.test.util.MessageMonitorReport$Report$Ignored",-0.9405949371896657,3,""
"axon-test-5.1.1","MessageMonitorReport$Report","org.axonframework.test.util.MessageMonitorReport$Report",-0.9295494118065999,4,""
"axon-test-5.1.1","MessageMonitorReport","org.axonframework.test.util.MessageMonitorReport",-0.8936148849292971,5,""
"axon-messaging-5.1.1","TagFilteredEventCriteria","org.axonframework.messaging.eventstreaming.TagFilteredEventCriteria",-0.8899901241971223,6,""
"axon-messaging-5.1.1","AnyEvent","org.axonframework.messaging.eventstreaming.AnyEvent",-0.8834199899624171,7,""
"axon-messaging-5.1.1","OrEventCriteriaBuilder","org.axonframework.messaging.eventstreaming.OrEventCriteriaBuilder",-0.8712288469722896,8,""
"axon-test-5.1.1","RecordingMessageMonitor$1","org.axonframework.test.util.RecordingMessageMonitor$1",-0.8614343652350017,9,""
"axon-messaging-5.1.1","EventTypeRestrictableOrEventCriteria","org.axonframework.messaging.eventstreaming.EventTypeRestrictableOrEventCriteria",-0.8305550086539302,10,""
