"codeUnitName","shortCodeUnitName","nodeElementId","projectName","incomingDependencies","outgoingDependencies","communityId","clusteringCoefficient","articleRank","pageRank","pageToArticleRankDifference","betweenness","clusteringLabel","clusteringProbability","clusteringIsNoise","clusteringIsMedoid","clusteringSize","clusteringRadiusMax","clusteringRadiusAverage","clusteringNormalizedDistanceToMedoid","anomalyLabel","anomalyScore","anomalyTopFeature1","anomalyTopFeature2","anomalyTopFeature3","anomalyTopFeatureSHAPValue1","anomalyTopFeatureSHAPValue2","anomalyTopFeatureSHAPValue3","visualizationX","visualizationY","Source Cypher File: domains/anomaly-detection/features/AnomalyDetectionFeatures.cypher"
"org.axonframework.messaging.eventhandling.annotation.EventAppenderParameterResolverFactory","EventAppenderParameterResolverFactory","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8267","axon-messaging-5.1.1",2,4,11,0.4,0.19706232267843912,0.23662051750712532,0.039558194828686194,26,41,1,0,0,5,19.335009079659358,12.030761940474623,1,0,-0.06678233780239429,"","","",0,0,0,8.119463920593262,4.839521884918213,""
"org.axonframework.messaging.eventhandling.annotation.EventAppenderParameterResolverFactory$1","EventAppenderParameterResolverFactory$1","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8268","axon-messaging-5.1.1",1,4,11,0.6666666666666666,0.192480257102856,0.23619746247656542,0.043717205373709433,0,41,1,0,0,5,19.335009079659358,12.030761940474623,0.6338038607086522,0,-0.08501313003195121,"","","",0,0,0,8.301910400390625,4.5752177238464355,""
"org.axonframework.messaging.eventhandling.annotation.SequenceNumberParameterResolverFactory","SequenceNumberParameterResolverFactory","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8269","axon-messaging-5.1.1",0,5,11,0.2,0.15000000000000002,0.15000000000000002,0,0,15,0.8552668368481182,0,0,15,25.82890312373638,17.998394294960114,0.6252729737428465,0,-0.08123179968779226,"","","",0,0,0,8.185700416564941,5.459438323974609,""
"org.axonframework.messaging.eventhandling.annotation.SequenceNumberParameterResolverFactory$SequenceNumberParameterResolver","SequenceNumberParameterResolverFactory$SequenceNumberParameterResolver","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8270","axon-messaging-5.1.1",1,4,5,0.4,0.17579365761430046,0.18825000000000003,0.012456342385699565,2,48,0.9176423941732231,0,0,12,17.039188539551105,11.018383820381132,0.7189050879136439,0,-0.09797483611365909,"","","",0,0,0,8.504410743713379,4.7219719886779785,""
"org.axonframework.messaging.eventhandling.annotation.MethodSequencingPolicyEventHandlerDefinition","MethodSequencingPolicyEventHandlerDefinition","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8271","axon-messaging-5.1.1",0,5,8,0.3,0.15000000000000002,0.15000000000000002,0,0,39,0.7406378965852691,0,0,31,22.720616376493126,10.49854275420864,0.5931961190061743,0,-0.06522927484257784,"","","",0,0,0,5.068031311035156,8.135985374450684,""
"org.axonframework.messaging.eventhandling.annotation.EventAppenderParameterResolverFactoryConfigurationEnhancer","EventAppenderParameterResolverFactoryConfigurationEnhancer","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8272","axon-messaging-5.1.1",0,6,11,0.3333333333333333,0.15000000000000002,0.15000000000000002,0,0,73,0.9678846582201934,0,0,11,11.60835292050615,7.085167854378762,0.5718803523131292,0,-0.08711631656267821,"","","",0,0,0,3.9138360023498535,5.301747798919678,""
"org.axonframework.messaging.eventhandling.annotation.EventHandler","EventHandler","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8273","axon-messaging-5.1.1",3,2,11,0,0.19199523857367035,0.31280769230769234,0.120812453734022,60.416666666666664,-1,0,1,0,298,0,0,0,0,-0.07140396638840812,"","","",0,0,0,5.07356595993042,8.332622528076172,""
"org.axonframework.messaging.eventhandling.annotation.Event","Event","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8274","axon-messaging-5.1.1",0,2,6,0,0.15000000000000002,0.15000000000000002,0,0,16,0.34455176725725983,0,0,6,16.593959443387575,5.253335924557177,1,0,-0.07131876307630841,"","","",0,0,0,6.650819301605225,7.076004981994629,""
"org.axonframework.messaging.eventhandling.annotation.SequenceNumber","SequenceNumber","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8276","axon-messaging-5.1.1",1,0,11,0,0.16719577174286698,0.17550000000000002,0.008304228257133034,0,15,0.8552668368481182,0,0,15,25.82890312373638,17.998394294960114,0.7562779039968848,0,-0.07279414103449328,"","","",0,0,0,8.175960540771484,5.3903303146362305,""
"org.axonframework.messaging.eventhandling.annotation.Timestamp","Timestamp","4:7e495666-99d0-4c81-9ffa-fe0a509e17e9:8277","axon-messaging-5.1.1",1,0,12,0,0.16719577174286698,0.17550000000000002,0.008304228257133034,0,15,0.8288848874557032,0,0,15,25.82890312373638,17.998394294960114,0.8379323756521141,0,-0.07000393980185793,"","","",0,0,0,7.987710475921631,5.695600986480713,""
