"projectName","shortCodeUnitName","codeUnitName","clusteringNormalizedDistanceToMedoid","clusterApproximateOutlierScore","rank","Source Cypher File: domains/anomaly-detection/labels/AnomalyDetectionArchetypeOutlier.cypher"
"axon-common-5.1.1","ObjectUtils","org.axonframework.common.ObjectUtils",1,0.9496526660617509,1,""
"axon-conversion-5.1.1","ObjectNodeToJsonNodeConverter","org.axonframework.conversion.jackson.ObjectNodeToJsonNodeConverter",1,0.8523646275513573,2,""
"axon-common-5.1.1","ComponentDecorator","org.axonframework.common.configuration.ComponentDecorator",1,0.7826609896503834,3,""
"axon-messaging-5.1.1","DefaultDispatchInterceptorRegistry$GenericInterceptorDefinition","org.axonframework.messaging.core.interception.DefaultDispatchInterceptorRegistry$GenericInterceptorDefinition",1,0.7422844080796249,4,""
"axon-messaging-5.1.1","EventCriteria","org.axonframework.messaging.eventstreaming.EventCriteria",1,0.674623572791642,5,""
"axon-messaging-5.1.1","GlobalSequenceTrackingToken","org.axonframework.messaging.eventhandling.processing.streaming.token.GlobalSequenceTrackingToken",1,0.6601212094339333,6,""
"axon-messaging-5.1.1","UnableToInitializeTokenException","org.axonframework.messaging.eventhandling.processing.streaming.token.store.UnableToInitializeTokenException",1,0.6081502051803546,7,""
"axon-conversion-5.1.1","GenericRecordToByteArrayConverter","org.axonframework.conversion.avro.GenericRecordToByteArrayConverter",0.9997618890669003,0.809136858065752,8,""
"axon-conversion-5.1.1","ObjectNodeToJsonNodeConverter","org.axonframework.conversion.jackson2.ObjectNodeToJsonNodeConverter",0.9903049636331857,0.8523646275513573,9,""
"axon-common-5.1.1","Assert","org.axonframework.common.Assert",0.9680198338764959,0.9531289904193412,10,""
