"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: domains/internal-dependencies/queries/path-finding/Path_Finding_5_All_pairs_shortest_path_distribution_per_project.cypher"
"create-react-router","create-react-router","react-router-7.18.0",false,false,false,1,350,87,115,21,9,9,"./index.ts -> ./copy-template.ts,./index.ts -> ./loading-indicator.ts,./index.ts -> ./prompt.ts,./prompt.ts -> ./prompts-confirm.ts","create-react-router -> create-react-router","create-react-router -> create-react-router",""
"create-react-router","create-react-router","react-router-7.18.0",false,false,false,2,947,62,97,5,2,5,"./index.ts -> ./prompts-confirm.ts,./index.ts -> ./prompts-multi-select.ts,./prompt.ts -> ./prompts-prompt-base.ts,./index.ts -> ./prompts-select.ts","create-react-router -> create-react-router","create-react-router -> create-react-router",""
"create-react-router","create-react-router","react-router-7.18.0",false,false,false,3,560,51,81,1,1,1,"./index.ts -> ./prompts-prompt-base.ts","create-react-router -> create-react-router","create-react-router -> create-react-router",""
"react-router","react-router","react-router-7.18.0",false,false,false,1,350,87,115,212,40,50,"./index-react-server.ts -> ./dom-export.ts,./index.ts -> ./dom-export.ts,./lib/rsc/server.rsc.ts -> ./dom-export.ts,./index.ts -> ./index-react-server-client.ts","react-router -> react-router","react-router -> react-router",""
"react-router","react-router","react-router-7.18.0",false,false,false,2,947,62,97,815,37,50,"./index-react-server-client.ts -> ./dom-export.ts,./lib/context.ts -> ./dom-export.ts,./lib/errors.ts -> ./dom-export.ts,./lib/dom/dom.ts -> ./dom-export.ts","react-router -> react-router","react-router -> react-router",""
"react-router","react-router","react-router-7.18.0",false,false,false,3,560,51,81,500,37,49,"./lib/server-runtime/serverHandoff.ts -> ./dom-export.ts,./vendor/turbo-stream-v2/unflatten.ts -> ./dom-export.ts,./lib/server-runtime/serverHandoff.ts -> ./index-react-server-client.ts,./vendor/turbo-stream-v2/unflatten.ts -> ./index-react-server-client.ts","react-router -> react-router","react-router -> react-router",""
"react-router","react-router","react-router-7.18.0",false,false,false,4,181,44,69,150,37,45,"./vendor/turbo-stream-v2/turbo-stream.ts -> ./dom-export.ts,./vendor/turbo-stream-v2/turbo-stream.ts -> ./index-react-server-client.ts,./lib/server-runtime/serverHandoff.ts -> ./lib/actions.ts,./vendor/turbo-stream-v2/unflatten.ts -> ./lib/actions.ts","react-router -> react-router","react-router -> react-router",""
"react-router","react-router","react-router-7.18.0",false,false,false,5,134,37,23,133,36,22,"./vendor/turbo-stream-v2/turbo-stream.ts -> ./lib/actions.ts,./vendor/turbo-stream-v2/turbo-stream.ts -> ./lib/errors.ts,./vendor/turbo-stream-v2/unflatten.ts -> ./lib/dom/ssr/markup.ts,./vendor/turbo-stream-v2/turbo-stream.ts -> ./lib/rsc/html-stream/browser.ts","react-router -> react-router","react-router -> react-router",""
"react-router","react-router","react-router-7.18.0",false,false,false,6,7,3,6,7,3,6,"./vendor/turbo-stream-v2/turbo-stream.ts -> ./lib/dom/ssr/markup.ts,./vendor/turbo-stream-v2/turbo-stream.ts -> ./lib/types/route-module.ts,./vendor/turbo-stream-v2/unflatten.ts -> ./lib/types/utils.ts,./lib/server-runtime/serverHandoff.ts -> ./vendor/turbo-stream-v2/flatten.ts","react-router -> react-router","react-router -> react-router",""
"react-router","react-router","react-router-7.18.0",false,false,false,7,1,1,1,1,1,1,"./vendor/turbo-stream-v2/turbo-stream.ts -> ./lib/types/utils.ts","react-router -> react-router","react-router -> react-router",""
"react-router-architect","react-router-architect","react-router-7.18.0",false,false,false,1,350,87,115,4,2,4,"./server.ts -> ./binaryTypes.ts,./server.ts -> ./index.ts,./index.ts -> ./server.ts,./index.ts -> ./sessions/arcTableSessionStorage.ts","react-router-architect -> react-router-architect","react-router-architect -> react-router-architect",""
"react-router-architect","react-router-architect","react-router-7.18.0",false,false,false,2,947,62,97,2,2,2,"./index.ts -> ./binaryTypes.ts,./server.ts -> ./sessions/arcTableSessionStorage.ts","react-router-architect -> react-router-architect","react-router-architect -> react-router-architect",""
"react-router-cloudflare","react-router-cloudflare","react-router-7.18.0",false,false,false,1,350,87,115,3,2,3,"./worker.ts -> ./index.ts,./index.ts -> ./worker.ts,./index.ts -> ./sessions/workersKVStorage.ts","react-router-cloudflare -> react-router-cloudflare","react-router-cloudflare -> react-router-cloudflare",""
"react-router-cloudflare","react-router-cloudflare","react-router-7.18.0",false,false,false,2,947,62,97,1,1,1,"./worker.ts -> ./sessions/workersKVStorage.ts","react-router-cloudflare -> react-router-cloudflare","react-router-cloudflare -> react-router-cloudflare",""
"react-router-dev","react-router-dev","react-router-7.18.0",false,false,false,1,350,87,115,101,29,42,"./config/config.ts -> ./config.ts,./vite/plugin.ts -> ./config.ts,./vite/plugin.ts -> ./manifest.ts,./config/routes.ts -> ./routes.ts","react-router-dev -> react-router-dev","react-router-dev -> react-router-dev",""
"react-router-dev","react-router-dev","react-router-7.18.0",false,false,false,2,947,62,97,124,20,39,"./cli/commands.ts -> ./config.ts,./typegen/context.ts -> ./config.ts,./typegen/generate.ts -> ./config.ts,./vite/build.ts -> ./config.ts","react-router-dev -> react-router-dev","react-router-dev -> react-router-dev",""
"react-router-dev","react-router-dev","react-router-7.18.0",false,false,false,3,560,51,81,59,13,31,"./cli/run.ts -> ./config.ts,./typegen/index.ts -> ./config.ts,./cli/commands.ts -> ./manifest.ts,./config.ts -> ./routes.ts","react-router-dev -> react-router-dev","react-router-dev -> react-router-dev",""
"react-router-dev","react-router-dev","react-router-7.18.0",false,false,false,4,181,44,69,31,7,24,"./cli/run.ts -> ./manifest.ts,./cli/run.ts -> ./routes.ts,./config.ts -> ./config/is-react-router-repo.ts,./typegen/context.ts -> ./config/is-react-router-repo.ts","react-router-dev -> react-router-dev","react-router-dev -> react-router-dev",""
"react-router-dev","react-router-dev","react-router-7.18.0",false,false,false,5,134,37,23,1,1,1,"./typegen/index.ts -> ./config/is-react-router-repo.ts","react-router-dev -> react-router-dev","react-router-dev -> react-router-dev",""
"react-router-express","react-router-express","react-router-7.18.0",false,false,false,1,350,87,115,2,2,2,"./server.ts -> ./index.ts,./index.ts -> ./server.ts","react-router-express -> react-router-express","react-router-express -> react-router-express",""
"react-router-fs-routes","react-router-fs-routes","react-router-7.18.0",false,false,false,1,350,87,115,5,2,3,"./index.ts -> ./flatRoutes.ts,./flatRoutes.ts -> ./manifest.ts,./index.ts -> ./manifest.ts,./flatRoutes.ts -> ./normalizeSlashes.ts","react-router-fs-routes -> react-router-fs-routes","react-router-fs-routes -> react-router-fs-routes",""
"react-router-remix-routes-option-adapter","react-router-remix-routes-option-adapter","react-router-7.18.0",false,false,false,1,350,87,115,2,1,2,"./defineRoutes.ts -> ./manifest.ts,./defineRoutes.ts -> ./normalizeSlashes.ts","react-router-remix-routes-option-adapter -> react-router-remix-routes-option-adapter","react-router-remix-routes-option-adapter -> react-router-remix-routes-option-adapter",""
