"artifactName","fullQualifiedName","name","distance","abstractness","instability","elementsCount","Source Cypher File: domains/internal-dependencies/queries/object-oriented-design-metrics/Calculate_distance_between_abstractness_and_instability_for_Java.cypher"
"axon-messaging-5.1.0","org.axonframework.messaging.tracing.attributes","attributes",,0.14285714285714285,,7,""
"axon-conversion-5.1.0","org.axonframework.conversion.converter","converter",,0.16666666666666666,,6,""
"axon-messaging-5.1.0","org.axonframework.messaging.core.reflection","reflection",,0.3333333333333333,,3,""
"axon-common-5.1.0","org.axonframework.common.function","function",,1,,3,""
"axon-eventsourcing-5.1.0","org.axonframework.eventsourcing.snapshot.inmemory","inmemory",,0.5,,2,""
"axoniq-spring-boot-autoconfigure-5.1.0","io.axoniq.framework.springboot.actuator","actuator",,0.85,,2,""
"axon-metrics-micrometer-5.1.0","org.axonframework.extension.metrics.micrometer.reservoir","reservoir",,0.5,,2,""
"axon-messaging-5.1.0","org.axonframework.messaging.commandhandling.retry","retry",,0.5,,2,""
"axon-common-5.1.0","org.axonframework.common.io","io",,0.5,,2,""
"axon-common-5.1.0","org.axonframework.common.digest","digest",,0.5,,2,""
"axon-eventsourcing-5.1.0","org","org",,0,,0,""
"axon-eventsourcing-5.1.0","org.axonframework","axonframework",,0,,0,""
"axon-eventsourcing-5.1.0","org.axonframework.eventsourcing.snapshot","snapshot",,0,,0,""
"axon-conversion-5.1.0","org","org",,0,,0,""
"axon-conversion-5.1.0","org.axonframework","axonframework",,0,,0,""
"axon-update-5.1.0","org","org",,0,,0,""
"axon-update-5.1.0","org.axonframework","axonframework",,0,,0,""
"axoniq-spring-boot-autoconfigure-5.1.0","io","io",,0,,0,""
"axoniq-spring-boot-autoconfigure-5.1.0","io.axoniq","axoniq",,0,,0,""
"axoniq-spring-boot-autoconfigure-5.1.0","io.axoniq.framework","framework",,0,,0,""
"axoniq-spring-boot-autoconfigure-5.1.0","io.axoniq.framework.springboot.service","service",,0,,0,""
"axon-modelling-5.1.0","org","org",,0,,0,""
"axon-modelling-5.1.0","org.axonframework","axonframework",,0,,0,""
"axon-metrics-micrometer-5.1.0","org","org",,0,,0,""
"axon-metrics-micrometer-5.1.0","org.axonframework","axonframework",,0,,0,""
"axon-metrics-micrometer-5.1.0","org.axonframework.extension","extension",,0,,0,""
"axon-metrics-micrometer-5.1.0","org.axonframework.extension.metrics","metrics",,0,,0,""
"axon-test-5.1.0","org","org",,0,,0,""
"axon-test-5.1.0","org.axonframework","axonframework",,0,,0,""
"axon-tracing-opentelemetry-5.1.0","org","org",,0,,0,""
"axon-tracing-opentelemetry-5.1.0","org.axonframework","axonframework",,0,,0,""
"axon-tracing-opentelemetry-5.1.0","org.axonframework.extension","extension",,0,,0,""
"axon-tracing-opentelemetry-5.1.0","org.axonframework.extension.tracing","tracing",,0,,0,""
"axon-messaging-5.1.0","org","org",,0,,0,""
"axon-messaging-5.1.0","org.axonframework","axonframework",,0,,0,""
"axon-messaging-5.1.0","org.axonframework.messaging","messaging",,0,,0,""
"axon-server-connector-5.1.0","io","io",,0,,0,""
"axon-server-connector-5.1.0","io.axoniq","axoniq",,0,,0,""
"axon-server-connector-5.1.0","io.axoniq.framework","framework",,0,,0,""
"axon-server-connector-5.1.0","io.axoniq.framework.axonserver","axonserver",,0,,0,""
"axon-server-connector-5.1.0","io.axoniq.framework.axonserver.connector","connector",,0,,0,""
"axon-common-5.1.0","org","org",,0,,0,""
"axon-common-5.1.0","org.axonframework","axonframework",,0,,0,""
"axon-common-5.1.0","org.axonframework.common","common",0.7780084200678283,0.19117647058823528,0.030815109343936383,34,""
"axon-messaging-5.1.0","org.axonframework.messaging.commandhandling.configuration","configuration",0.7636963696369636,0.8,0.9636963696369637,5,""
"axon-messaging-5.1.0","org.axonframework.messaging.queryhandling.configuration","configuration",0.7636963696369636,0.8,0.9636963696369637,5,""
"axon-messaging-5.1.0","org.axonframework.messaging.eventhandling.processing.streaming","streaming",0.7619047619047619,1,0.7619047619047619,2,""
"axon-messaging-5.1.0","org.axonframework.messaging.core","core",0.699857385195082,0.271264367816092,0.028878246988826003,87,""
"axon-messaging-5.1.0","org.axonframework.messaging.queryhandling.gateway","gateway",0.6522435897435899,0.6666666666666666,0.9855769230769231,3,""
"axon-common-5.1.0","org.axonframework.common.infra","infra",0.6468137254901961,0.3333333333333333,0.019852941176470587,9,""
"axon-messaging-5.1.0","org.axonframework.messaging.eventhandling.processing.streaming.token","token",0.6270833333333333,0.3333333333333333,0.03958333333333333,9,""
"axon-conversion-5.1.0","org.axonframework.conversion","conversion",0.6245318352059925,0.3333333333333333,0.042134831460674156,12,""
"axon-messaging-5.1.0","org.axonframework.messaging.core.unitofwork","unitofwork",0.6158480268681781,0.375,0.009151973131821999,16,""
"axon-messaging-5.1.0","org.axonframework.messaging.queryhandling.annotation","annotation",0.612864077669903,0.625,0.9878640776699029,8,""
"axon-messaging-5.1.0","org.axonframework.messaging.eventhandling.configuration","configuration",0.6002113048071842,0.7333333333333333,0.866877971473851,15,""
"axon-eventsourcing-5.1.0","org.axonframework.eventsourcing.annotation","annotation",0.5754870129870131,0.7272727272727273,0.8482142857142857,11,""
"axon-modelling-5.1.0","org.axonframework.modelling.configuration","configuration",0.5134575569358177,0.5714285714285714,0.9420289855072463,14,""
"axon-eventsourcing-5.1.0","org.axonframework.eventsourcing.snapshot.store","store",0.5087719298245612,0.6666666666666666,0.8421052631578947,3,""
"axoniq-spring-boot-autoconfigure-5.1.0","io.axoniq.framework.springboot","springboot",0.5042016806722689,0.14285714285714285,0.35294117647058826,7,""
"axon-common-5.1.0","org.axonframework.common.lifecycle","lifecycle",0.5,0.16666666666666666,0.3333333333333333,6,""
"axon-common-5.1.0","org.axonframework.common.annotation","annotation",0.49884339578996073,0.5,0.0011566042100393246,6,""
"axon-update-5.1.0","org.axonframework.update.api","api",0.4778325123152709,0.14285714285714285,0.3793103448275862,7,""
"axon-messaging-5.1.0","org.axonframework.messaging.eventhandling.replay.annotation","annotation",0.4636363636363636,0.5,0.9636363636363636,12,""
"axon-server-connector-5.1.0","io.axoniq.framework.axonserver.connector.api","api",0.4563233376792699,0.15384615384615385,0.3898305084745763,13,""
"axon-messaging-5.1.0","org.axonframework.messaging.eventhandling.processing","processing",0.4377777777777778,0.5,0.9377777777777778,4,""
"axon-messaging-5.1.0","org.axonframework.messaging.eventhandling.gateway","gateway",0.43333333333333335,0.5,0.9333333333333333,6,""
"axon-server-connector-5.1.0","io.axoniq.framework.axonserver.connector.snapshot","snapshot",0.42307692307692313,0.5,0.9230769230769231,2,""
"axon-messaging-5.1.0","org.axonframework.messaging.core.interception.annotation","annotation",0.41764705882352926,0.5,0.9176470588235294,12,""
"axon-common-5.1.0","org.axonframework.common.configuration","configuration",0.40820269055563174,0.49803921568627446,0.09375809375809376,51,""
"axon-messaging-5.1.0","org.axonframework.messaging.eventhandling.processing.streaming.token.store","store",0.39639639639639634,0.3333333333333333,0.2702702702702703,6,""
"axon-eventsourcing-5.1.0","org.axonframework.eventsourcing.annotation.reflection","reflection",0.38973647711511794,0.42857142857142855,0.9611650485436893,7,""
"axon-eventsourcing-5.1.0","org.axonframework.eventsourcing.configuration","configuration",0.3815256257449344,0.4,0.9815256257449344,15,""
"axon-messaging-5.1.0","org.axonframework.messaging.eventhandling","eventhandling",0.38084555651423635,0.4421052631578948,0.17704918032786884,19,""
"axon-common-5.1.0","org.axonframework.common.tx","tx",0.375,1,0.375,2,""
