"artifactName","fullQualifiedPackageName","packageName","incomingDependencies","incomingDependenciesWeight","incomingDependentTypes","incomingDependentInterfaces","incomingDependentPackages","incomingDependentArtifacts","Source Cypher File: Metrics/Get_Incoming_Java_Package_Dependencies.cypher"
"axon-messaging-5.0.3","org.axonframework.messaging.core","core",12499,39679,419,83,71,7,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.unitofwork","unitofwork",11625,38453,242,54,62,4,""
"axon-common-5.0.3","org.axonframework.common.configuration","configuration",3727,19786,151,53,33,8,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling","eventhandling",3012,10890,149,30,37,6,""
"axon-common-5.0.3","org.axonframework.common.annotation","annotation",2579,2787,144,20,60,8,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling","commandhandling",1497,5379,100,25,27,6,""
"axon-common-5.0.3","org.axonframework.common.infra","infra",1378,1669,122,30,47,6,""
"axon-common-5.0.3","org.axonframework.common","common",977,2407,288,22,80,10,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling","queryhandling",688,2544,76,17,16,3,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.annotation","annotation",512,1632,119,11,24,4,""
"axon-conversion-5.0.3","org.axonframework.conversion","conversion",468,1807,62,12,22,4,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token","token",425,2147,58,8,16,3,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventstreaming","eventstreaming",293,833,53,14,10,3,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.eventstore","eventstore",224,724,65,7,9,3,""
"axon-messaging-5.0.3","org.axonframework.messaging.tracing","tracing",136,478,36,7,6,1,""
"axon-test-5.0.3","org.axonframework.test.fixture","fixture",134,376,29,1,2,0,""
"axon-modelling-5.0.3","org.axonframework.modelling","modelling",125,282,36,9,9,2,""
"axon-modelling-5.0.3","org.axonframework.modelling.entity","entity",115,394,25,5,5,1,""
"axon-modelling-5.0.3","org.axonframework.modelling.entity.child","child",89,230,28,7,3,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","segmenting",86,662,31,5,10,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.configuration","configuration",84,289,18,6,5,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.monitoring","monitoring",81,264,34,3,9,2,""
"axon-modelling-5.0.3","org.axonframework.modelling.repository","repository",79,369,19,5,7,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.conversion","conversion",70,226,23,3,18,5,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.pooled","pooled",61,554,18,2,2,0,""
"axon-server-connector-5.0.3","org.axonframework.axonserver.connector","connector",60,337,33,1,8,1,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot.autoconfig","autoconfig",60,78,32,0,2,1,""
"axon-modelling-5.0.3","org.axonframework.modelling.entity.annotation","annotation",47,88,21,4,4,1,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.interception","interception",42,229,23,0,5,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.queryhandling.distributed","distributed",38,134,14,2,4,2,""
"axon-modelling-5.0.3","org.axonframework.modelling.configuration","configuration",36,89,14,4,2,1,""
"axon-test-5.0.3","org.axonframework.test.matchers","matchers",35,85,16,0,2,0,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing","eventsourcing",34,93,14,4,4,0,""
"axon-spring-boot-autoconfigure-5.0.3","org.axonframework.extension.springboot","springboot",34,158,23,0,2,0,""
"axon-eventsourcing-5.0.3","org.axonframework.eventsourcing.configuration","configuration",31,68,13,0,1,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.commandhandling.distributed","distributed",31,115,12,2,4,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.eventhandling.processing.streaming.token.store","store",28,125,17,0,6,2,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.sequencing","sequencing",24,71,18,0,7,0,""
"axon-messaging-5.0.3","org.axonframework.messaging.core.retry","retry",23,62,12,1,2,0,""
"axon-test-5.0.3","org.axonframework.test.util","util",23,74,10,0,2,0,""
"axon-common-5.0.3","org.axonframework.common.caching","caching",22,92,11,0,1,0,""
"axon-conversion-5.0.3","org.axonframework.conversion.avro","avro",22,95,9,0,2,1,""
"axon-common-5.0.3","org.axonframework.common.jdbc","jdbc",21,81,16,0,5,3,""
