"sourceLabels","relationshipType","targetLabels","relationshipCount","Source Cypher File: domains/overview/queries/overview/Node_labels_and_their_relationships.cypher"
"Git,Update,Change","MODIFIES","Git",315032,""
"Git,Update,Change","UPDATES","Git",315032,""
"Git,Commit","CONTAINS_CHANGE","Git,Update,Change",315032,""
"Git,Change,Create","MODIFIES","Git",108443,""
"Git,Commit","CONTAINS_CHANGE","Git,Change,Create",108443,""
"Git,Change,Create","CREATES","Git",108443,""
"Git,Change,Delete","MODIFIES","Git",66549,""
"Git,Commit","CONTAINS_CHANGE","Git,Change,Delete",66549,""
"Git,Change,Delete","DELETES","Git",66549,""
"Git,Change,Rename","MODIFIES","Git",27910,""
"Git,Commit","CONTAINS_CHANGE","Git,Change,Rename",27910,""
"Git,Change,Rename","DELETES","Git",27910,""
"Git,Change,Rename","CREATES","Git",27910,""
"Git,Change,Rename","RENAMES","Git",27910,""
"Git,Commit","HAS_PARENT","Git,Commit",21366,""
"Committer,Git,Person,Author","COMMITTED","Git,Commit",17573,""
"Repository,Git","HAS_COMMIT","Git,Commit",17573,""
"Repository,Git","HAS_FILE","Git",17486,""
"Method,Member","INVOKES","Method,Member",13788,""
"Git","HAS_NEW_NAME","Git",9825,""
"Git","CHANGED_TOGETHER_WITH","Git",6764,""
"Method,Member","HAS","Parameter",5454,""
"Method,Member","READS","Member,Field",5369,""
"Parameter","OF_TYPE","JavaType",4152,""
"StronglyConnectedComponent,TypeMembers","DEPENDS_ON","StronglyConnectedComponent,TypeMembers",4117,""
"ParameterizedType,Bound","OF_RAW_TYPE","JavaType",2876,""
"Bound","OF_RAW_TYPE","JavaType",2438,""
"Xml,Element","HAS_ELEMENT","Xml,Element",2294,""
"ParameterizedType,Bound","HAS_ACTUAL_TYPE_ARGUMENT","Bound",2149,""
"Parameter","OF_GENERIC_TYPE","ParameterizedType,Bound",1891,""
"ParameterizedType,Bound","HAS_ACTUAL_TYPE_ARGUMENT","Bound,TypeVariable",1847,""
"Parameter","OF_GENERIC_TYPE","Bound",1765,""
"JavaType","DECLARES","Method,Member",1652,""
"Xml,Element","HAS_LAST_CHILD","Xml,Text",1548,""
"Xml,Element","HAS_FIRST_CHILD","Xml,Text",1548,""
"Xml,Element","HAS_TEXT","Xml,Text",1548,""
"Constructor,Method,Member","INVOKES","Constructor,Method,Member",1536,""
"Xml,Element","HAS_SIBLING","Xml,Element",1526,""
"Method,Member","INVOKES","Constructor,Method,Member",1498,""
"Method,Member","RETURNS","JavaType",1493,""
"Method,Member,Lambda","HAS","Parameter",1488,""
"Git,Change,Copy","MODIFIES","Git",1486,""
"Git,Commit","CONTAINS_CHANGE","Git,Change,Copy",1486,""
"Git,Change,Copy","CREATES","Git",1486,""
"Git,Change,Copy","COPIES","Git",1486,""
"Constructor,Method,Member","WRITES","Member,Field",1484,""
"Method,Member,Lambda","INVOKES","Method,Member",1419,""
"Constructor,Method,Member","HAS","Parameter",1403,""
"Parameter","OF_TYPE","ResolvedDuplicateType",1356,""
"ParameterizedType,Bound","HAS_ACTUAL_TYPE_ARGUMENT","Bound,WildcardType",1161,""
"Constructor,Method,Member","INVOKES","Method,Member",1096,""
"Method,Member","RETURNS_GENERIC","ParameterizedType,Bound",1066,""
"Method,Member,GenericDeclaration","INVOKES","Method,Member",1036,""
"Constructor,Method,Member","RETURNS","Void",1033,""
"Method,Member","RETURNS","Void",980,""
"StronglyConnectedComponent,TypeMembers","IN_WEAKLY_CONNECTED_COMPONENT","WeaklyConnectedComponent,TypeMembers",901,""
"Method,Member,GenericDeclaration","HAS","Parameter",891,""
"Member,Field","OF_TYPE","JavaType",835,""
"Bound,TypeVariable","HAS_UPPER_BOUND","Bound",835,""
"ParameterizedType,Bound","HAS_ACTUAL_TYPE_ARGUMENT","ParameterizedType,Bound",802,""
"Method,Member","RETURNS","PrimitiveType",789,""
"Xml,Element","HAS_LAST_CHILD","Xml,Element",768,""
"Xml,Element","HAS_FIRST_CHILD","Xml,Element",768,""
"Bound","OF_RAW_TYPE","ResolvedDuplicateType",711,""
"Bound,TypeVariable","OF_RAW_TYPE","JavaType",701,""
"Method,Member","RETURNS_GENERIC","Bound",671,""
"ExternalType","DECLARES","Method,Member",664,""
"ResolvedDuplicateType","DECLARES","Method,Member",631,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",630,""
"Method,Member","WRITES","Member,Field",616,""
"Member,Field","OF_GENERIC_TYPE","ParameterizedType,Bound",584,""
"Method,Member","INVOKES","Method,Member,Lambda",575,""
"Method,Member,GenericDeclaration","DECLARES_TYPE_PARAMETER","Bound,TypeVariable",553,""
"Method,Member","INVOKES","Method,Member,GenericDeclaration",537,""
"Method,Member","RESOLVES_TO","Method,Member",526,""
"Parameter","OF_TYPE","PrimitiveType",512,""
"Git","COPY_OF","Git",468,""
"Bound","OF_RAW_TYPE","Void",459,""
"Bound","OF_RAW_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",436,""
"ParameterizedType,Bound","OF_RAW_TYPE","ResolvedDuplicateType",389,""
"StronglyConnectedComponent,PackageMembers","DEPENDS_ON","StronglyConnectedComponent,PackageMembers",357,""
"Method,Member","CATCHES","Throwable,JavaType",351,""
"Method,Member,GenericDeclaration","READS","Member,Field",333,""
"Bound","OF_RAW_TYPE","PrimitiveType",328,""
"Bound","OF_RAW_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",318,""
"Repository,Git","HAS_AUTHOR","Author,Git,Person",314,""
"Constructor,Method,Member","RETURNS_GENERIC","Bound",313,""
"Parameter","OF_TYPE","ExternalType",313,""
"Method,Member","THROWS","Throwable,JavaType",311,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",300,""
"Parameter","OF_GENERIC_TYPE","Bound,TypeVariable",294,""
"Bound","OF_RAW_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",273,""
"Method,Member,GenericDeclaration","RETURNS_GENERIC","ParameterizedType,Bound",265,""
"Member,Field","OF_TYPE","PrimitiveType",257,""
"Repository,Git","HAS_COMMITTER","Committer,Git,Person",255,""
"Method,Member,Lambda","RETURNS","JavaType",249,""
"Value,Json,Object","HAS_KEY","Json,Key",248,""
"Json,Key","HAS_VALUE","Value,Json,Scalar",242,""
"Method,Member,GenericDeclaration","RETURNS","JavaType",241,""
"Value,Annotation","OF_TYPE","ExternalAnnotation,ExternalType",238,""
"Method,Member","RETURNS","ResolvedDuplicateType",232,""
"Constructor,Method,Member","READS","Member,Field",220,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",218,""
"Parameter","OF_TYPE","Throwable,JavaType",217,""
"Bound,WildcardType","HAS_LOWER_BOUND","Bound",211,""
"Value,Annotation","OF_TYPE","JavaType",199,""
"Method,Member,GenericDeclaration","INVOKES","Method,Member,GenericDeclaration",194,""
"Bound","OF_RAW_TYPE","ExternalType",187,""
"ParameterizedType,Bound","OF_RAW_TYPE","Interface,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",186,""
"JavaType","DECLARES","Constructor,Method,Member",182,""
"Xml,Maven,Pom,Document","DECLARES_DEPENDENCY","Maven,Dependency",182,""
"Maven,Dependency","TO_ARTIFACT","Artifact,Maven",182,""
"Method,Member,Lambda","INVOKES","Constructor,Method,Member",174,""
"Method,Member,GenericDeclaration","INVOKES","Constructor,Method,Member",160,""
"Method,Member,Lambda","RETURNS","Void",160,""
"Value,Annotation","OF_TYPE","Annotation,InternalJavaType,ConnectedInternalJavaType",160,""
"Value,Annotation","OF_TYPE","ResolvedDuplicateType",158,""
"Member,Field","HAS","Value,Primitive",157,""
"ParameterizedType,Bound","OF_RAW_TYPE","ExternalType",157,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",154,""
"Method,Member,GenericDeclaration","RETURNS_GENERIC","Bound,TypeVariable",152,""
"Bound,WildcardType","HAS_UPPER_BOUND","Bound",152,""
"Value,Primitive","OF_TYPE","JavaType",152,""
"Git,Tag","ON_COMMIT","Git,Commit",152,""
"Repository,Git","HAS_TAG","Git,Tag",152,""
"Member,Field","OF_TYPE","ExternalType",146,""
"Constructor,Method,Member","RESOLVES_TO","Constructor,Method,Member",143,""
"Parameter","OF_TYPE","Interface,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",142,""
"Method,Member","RESOLVES_TO","Method,Member,GenericDeclaration",141,""
"Value,Enum","OF_TYPE","JavaType",139,""
"Value,Enum","IS","Member,Field",139,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",136,""
"Git","RESOLVES_TO","Interface",135,""
"Method,Member","RETURNS","Interface,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",131,""
"Member,Field","OF_TYPE","ResolvedDuplicateType",131,""
"ParameterizedType,Bound","OF_RAW_TYPE","Interface,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",130,""
"Artifact,Jar,Archive,Zip","REQUIRES","JavaType",126,""
"Interface","EXTENDS","JavaType",124,""
"Interface","DEPENDS_ON","ExternalAnnotation,ExternalType,JavaType",124,""
"Interface","ANNOTATED_BY","Value,Annotation",124,""
"ParameterizedType,Bound","OF_RAW_TYPE","Interface,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",123,""
"Bound","OF_RAW_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType,Record",122,""
"Artifact,Jar,Archive,Zip","REQUIRES","ExternalType",122,""
"Bound","OF_RAW_TYPE","Throwable,JavaType",117,""
"Method,Member","RETURNS_GENERIC","Bound,TypeVariable",116,""
"Bound,TypeVariable","OF_RAW_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",116,""
"Method,Member,Lambda","RETURNS","PrimitiveType",113,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",113,""
"Method,Member,Lambda","INVOKES","Method,Member,GenericDeclaration",112,""
"Parameter","OF_TYPE","Record,InternalJavaType,ConnectedInternalJavaType",107,""
"ParameterizedType,Bound","OF_RAW_TYPE","Class,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",104,""
"Artifact,Jar,Archive,Zip","REQUIRES","ResolvedDuplicateType",103,""
"Method,Member,GenericDeclaration","INVOKES","Method,Member,Lambda",101,""
"Bound","OF_RAW_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",101,""
"Artifact,Jar,Archive,Zip","REQUIRES","ResolvedDuplicateType",99,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",96,""
"ResolvedDuplicateType","DECLARES","Constructor,Method,Member",94,""
"Bound,WildcardType","HAS_LOWER_BOUND","Bound,TypeVariable",94,""
"Method,Member","RETURNS","Interface,InternalJavaType,ConnectedInternalJavaType",93,""
"Bound","OF_RAW_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",93,""
"StronglyConnectedComponent,PackageMembers","IN_WEAKLY_CONNECTED_COMPONENT","WeaklyConnectedComponent,PackageMembers",92,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",91,""
"Value,Annotation","HAS","Value,Array",90,""
"Value,Array","CONTAINS","Value,Enum",90,""
"Bound","OF_RAW_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",88,""
"Artifact,Jar,Archive,Zip","REQUIRES","JavaType",88,""
"ManifestSection","HAS","Value,ManifestEntry",87,""
"Git","RESOLVES_TO","ServiceLoader",83,""
"ParameterizedType,Bound","OF_RAW_TYPE","Interface,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",82,""
"Parameter","OF_TYPE","Interface,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",80,""
"Bound,GenericArrayType","HAS_COMPONENT_TYPE","Bound",79,""
"Value,Annotation","HAS","Value,Primitive",79,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",79,""
"Method,Member","RETURNS","ExternalType",78,""
"Parameter","OF_TYPE","Class,InternalJavaType,ConnectedInternalJavaType",76,""
"Bound,WildcardType","HAS_UPPER_BOUND","Bound,TypeVariable",73,""
"ParameterizedType,Bound","OF_RAW_TYPE","Class,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",73,""
"JavaType","DECLARES","Member,Field",72,""
"Class,InternalJavaType,ConnectedInternalJavaType","DECLARES","Method,Member",72,""
"ParameterizedType,Bound","OF_RAW_TYPE","Interface,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",71,""
"Parameter","OF_GENERIC_TYPE","Bound,GenericArrayType",71,""
"Method,Member,GenericDeclaration","RETURNS_GENERIC","Bound",68,""
"Method,Member,Lambda","READS","Member,Field",68,""
"Constructor,Method,Member","INVOKES","Method,Member,Lambda",68,""
"ParameterizedType,Bound","OF_RAW_TYPE","Interface,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",67,""
"Method,Member","ANNOTATED_BY","Value,Annotation",67,""
"Method,Member","INVOKES","Method,Member",65,""
"Parameter","OF_TYPE","Class,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",65,""
"ParameterizedType,Bound","OF_RAW_TYPE","Interface,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",64,""
"Method,Member","RETURNS","Interface,InternalJavaType,ConnectedInternalJavaType",62,""
"Artifact,Jar,Archive,Zip","REQUIRES","ResolvedDuplicateType",62,""
"Artifact,Jar,Archive,Zip","REQUIRES","JavaType,ResolvedDuplicateType",60,""
"Method,Member,GenericDeclaration","CATCHES","Throwable,JavaType",57,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",57,""
"Artifact,Jar,Archive,Zip","CONTAINS","Interface",57,""
"Artifact,Jar,Archive,Zip","REQUIRES","JavaType",57,""
"ParameterizedType,Bound","OF_RAW_TYPE","Interface,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",56,""
"Method,Member","INVOKES","Method,Member,GenericDeclaration",56,""
"Artifact,Jar,Archive,Zip","REQUIRES","JavaType",56,""
"Method,Member,Lambda","INVOKES","Method,Member,Lambda",54,""
"Value,Array,Json","CONTAINS_VALUE","Value,Json,Object",54,""
"Properties","HAS","Value,Property",53,""
"Method,Member,GenericDeclaration","THROWS","Throwable,JavaType",52,""
"ParameterizedType,Bound","OF_RAW_TYPE","Interface,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",50,""
"Class,InternalJavaType,ConnectedInternalJavaType","DECLARES","Method,Member",50,""
"ExternalType","DECLARES","Member,Field",49,""
"Class,InternalJavaType,ConnectedInternalJavaType","DECLARES","Method,Member",49,""
"Value,Annotation","HAS","Value,Enum",48,""
"ParameterizedType,Bound","OF_RAW_TYPE","Interface,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",48,""
"Bound","OF_RAW_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType,Record",48,""
"Bound","OF_RAW_TYPE","Class,InternalJavaType,ConnectedInternalJavaType",47,""
"Class,InternalJavaType,ConnectedInternalJavaType","DECLARES","Method,Member",47,""
"Throwable,JavaType","DECLARES","Constructor,Method,Member",46,""
"Class,InternalJavaType,ConnectedInternalJavaType","DECLARES","Method,Member",46,""
"Method,Member","RETURNS","Interface,InternalJavaType,ConnectedInternalJavaType",46,""
"Method,Member","INVOKES","Method,Member",46,""
"Parameter","OF_TYPE","Class,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",45,""
"Artifact,Jar,Archive,Zip","REQUIRES","ResolvedDuplicateType",45,""
"Xml,Element","DECLARES_NAMESPACE","Xml,Namespace",44,""
"Directory","CONTAINS","Directory",44,""
"Bound","OF_RAW_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",43,""
"ParameterizedType,Bound","OF_RAW_TYPE","Interface,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",43,""
"Constructor,Method,Member","ANNOTATED_BY","Value,Annotation",42,""
"Bound","OF_RAW_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",42,""
"Artifact,Jar,Archive,Zip","REQUIRES","JavaType",42,""
"Constructor,Method,Member","INVOKES","Method,Member,GenericDeclaration",41,""
"Artifact,Jar,Archive,Zip","REQUIRES","JavaType",41,""
"Class,InternalJavaType,ConnectedInternalJavaType,GenericDeclaration","DECLARES","Method,Member",40,""
"Method,Member","INVOKES","Method,Member",40,""
"Parameter","OF_TYPE","Interface,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",39,""
"Method,Member","INVOKES","Method,Member",39,""
"Value,Array","CONTAINS","Value,Primitive",39,""
"Class,InternalJavaType,ConnectedInternalJavaType","DECLARES","Method,Member,Lambda",39,""
"Interface,InternalJavaType,ConnectedInternalJavaType","DECLARES","Method,Member",38,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",38,""
"Method,Member","THROWS","Throwable,ResolvedDuplicateType",38,""
"Class,InternalJavaType,ConnectedInternalJavaType","DEPENDS_ON","JavaType",38,""
"ParameterizedType,Bound","OF_RAW_TYPE","Interface,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",38,""
"Interface,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType,Class","DECLARES","Method,Member",37,""
"Method,Member","RETURNS","Interface,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",37,""
"Class,InternalJavaType,ConnectedInternalJavaType","DECLARES","Member,Field",37,""
"Class,InternalJavaType,ConnectedInternalJavaType","DECLARES","Method,Member",36,""
"ParameterizedType,Bound","OF_RAW_TYPE","Interface,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",36,""
"Method,Member","RETURNS","Interface,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",35,""
"Member,Field","OF_TYPE","Class,GenericDeclaration,InternalJavaType,ConnectedInternalJavaType",35,""
"Parameter","OF_TYPE","Interface,InternalJavaType,ConnectedInternalJavaType",35,""
"Method,Member,Lambda","RETURNS","ResolvedDuplicateType",35,""
