"artifactName","effectiveLineCount","methods","Source Cypher File: domains/overview/queries/overview/Effective_Method_Line_Count_Distribution.cypher"
"axon-modelling-5.0.3.jar",16,1,""
"axon-modelling-5.0.3.jar",17,1,""
"axon-modelling-5.0.3.jar",18,2,""
"axon-modelling-5.0.3.jar",21,1,""
"axon-server-connector-5.0.3.jar",1,266,""
"axon-server-connector-5.0.3.jar",2,143,""
"axon-server-connector-5.0.3.jar",3,77,""
"axon-server-connector-5.0.3.jar",4,44,""
"axon-server-connector-5.0.3.jar",5,33,""
"axon-server-connector-5.0.3.jar",6,15,""
"axon-server-connector-5.0.3.jar",7,9,""
"axon-server-connector-5.0.3.jar",8,15,""
"axon-server-connector-5.0.3.jar",9,11,""
"axon-server-connector-5.0.3.jar",10,7,""
"axon-server-connector-5.0.3.jar",11,2,""
"axon-server-connector-5.0.3.jar",12,3,""
"axon-server-connector-5.0.3.jar",13,2,""
"axon-server-connector-5.0.3.jar",14,2,""
"axon-server-connector-5.0.3.jar",15,1,""
"axon-server-connector-5.0.3.jar",16,1,""
"axon-server-connector-5.0.3.jar",17,2,""
"axon-server-connector-5.0.3.jar",18,1,""
"axon-server-connector-5.0.3.jar",20,1,""
"axon-server-connector-5.0.3.jar",21,2,""
"axon-server-connector-5.0.3.jar",28,1,""
"axon-server-connector-5.0.3.jar",30,1,""
"axon-server-connector-5.0.3.jar",42,1,""
"axon-spring-boot-autoconfigure-5.0.3.jar",1,186,""
"axon-spring-boot-autoconfigure-5.0.3.jar",2,74,""
"axon-spring-boot-autoconfigure-5.0.3.jar",3,16,""
"axon-spring-boot-autoconfigure-5.0.3.jar",4,6,""
"axon-spring-boot-autoconfigure-5.0.3.jar",5,8,""
"axon-spring-boot-autoconfigure-5.0.3.jar",6,8,""
"axon-spring-boot-autoconfigure-5.0.3.jar",7,5,""
"axon-spring-boot-autoconfigure-5.0.3.jar",8,2,""
"axon-spring-boot-autoconfigure-5.0.3.jar",9,1,""
"axon-spring-boot-autoconfigure-5.0.3.jar",10,1,""
"axon-spring-boot-autoconfigure-5.0.3.jar",12,1,""
"axon-spring-boot-autoconfigure-5.0.3.jar",13,1,""
"axon-spring-boot-autoconfigure-5.0.3.jar",17,1,""
"axon-spring-boot-autoconfigure-5.0.3.jar",23,1,""
"axon-spring-boot-autoconfigure-5.0.3.jar",38,1,""
"axon-test-5.0.3.jar",1,212,""
"axon-test-5.0.3.jar",2,73,""
"axon-test-5.0.3.jar",3,36,""
"axon-test-5.0.3.jar",4,40,""
"axon-test-5.0.3.jar",5,6,""
"axon-test-5.0.3.jar",6,15,""
"axon-test-5.0.3.jar",7,9,""
"axon-test-5.0.3.jar",8,8,""
"axon-test-5.0.3.jar",9,8,""
"axon-test-5.0.3.jar",10,5,""
"axon-test-5.0.3.jar",11,4,""
"axon-test-5.0.3.jar",12,9,""
"axon-test-5.0.3.jar",13,2,""
"axon-test-5.0.3.jar",14,1,""
"axon-test-5.0.3.jar",15,3,""
"axon-test-5.0.3.jar",16,3,""
"axon-test-5.0.3.jar",18,2,""
"axon-test-5.0.3.jar",20,2,""
"axon-test-5.0.3.jar",21,1,""
"axon-test-5.0.3.jar",23,1,""
"axon-test-5.0.3.jar",26,1,""
"axon-test-5.0.3.jar",31,1,""
"axon-test-5.0.3.jar",45,1,""
"axon-tracing-opentelemetry-5.0.3.jar",1,11,""
"axon-tracing-opentelemetry-5.0.3.jar",2,4,""
"axon-tracing-opentelemetry-5.0.3.jar",3,10,""
"axon-tracing-opentelemetry-5.0.3.jar",4,7,""
"axon-tracing-opentelemetry-5.0.3.jar",5,2,""
"axon-tracing-opentelemetry-5.0.3.jar",6,3,""
"axon-tracing-opentelemetry-5.0.3.jar",7,2,""
"axon-tracing-opentelemetry-5.0.3.jar",9,1,""
"axon-tracing-opentelemetry-5.0.3.jar",12,1,""
