"artifactName","numberOfPackages","Source Cypher File: domains/overview/queries/overview/Number_of_packages_per_artifact.cypher"
"axon-modelling-5.1.2",7,""
"axon-server-connector-5.1.2",10,""
"axon-update-5.1.2",5,""
"axon-common-5.1.2",15,""
"axon-test-5.1.2",5,""
"axon-tracing-opentelemetry-5.1.2",1,""
"axon-eventsourcing-5.1.2",11,""
"axon-metrics-micrometer-5.1.2",3,""
"axon-conversion-5.1.2",5,""
"axon-messaging-5.1.2",57,""
"axoniq-spring-boot-autoconfigure-5.1.2",5,""
