"nodeLabels","nodesWithThatLabels","nodesWithThatLabelsPercent","Source Cypher File: domains/overview/queries/overview/Node_label_combination_count.cypher"
"Git,Update,Change",314311,52.29191275558587,""
"Git,Change,Create",108091,17.983096810687606,""
"Git,Change,Delete",66520,11.066930640358027,""
"Git,Change,Rename",27672,4.603789907997405,""
"Git,Commit",17415,2.8973330893240385,""
"File,Git",17297,2.8777014324454724,""
"Java,ByteCode,Parameter",9316,1.549902673565475,""
"Java,ByteCode,Member,Method",8913,1.4828555742259637,""
"Java,ByteCode,Bound",6595,1.0972099755436138,""
"Java,ByteCode,Bound,ParameterizedType",5074,0.8441612457783619,""
"Xml,Element",2316,0.38531285873525545,""
"Java,ByteCode,Member,Field",2152,0.35802818307351886,""
"Xml,Text",1548,0.2575407190510257,""
"Java,ByteCode,Member,Constructor,Method",1527,0.254046949606535,""
"Git,Change,Copy",1480,0.24622756084981784,""
"Java,ByteCode,Bound,WildcardType",1158,0.19265642936762772,""
"Java,ByteCode,TypeVariable,Bound",909,0.15123030595438133,""
"StronglyConnectedComponent,TypeMembers",896,0.14906749629826807,""
"Java,ByteCode,Member,Method,Lambda",807,0.13426056865256958,""
"Type,File,Java,ByteCode,JavaType",664,0.11046966243532368,""
"Java,Value,ByteCode,Annotation",626,0.10414760344053106,""
"Type,File,Java,Class,ByteCode,InternalJavaType,ConnectedInternalJavaType",620,0.10314938359924802,""
"Java,GenericDeclaration,ByteCode,Member,Method",504,0.0838504666677758,""
"Type,File,Java,ByteCode,ResolvedDuplicateType",426,0.07087360873109622,""
"Author,Git,Person",313,0.05207380172026553,""
"Java,Value,ByteCode,Primitive",302,0.05024373201124661,""
"Type,File,Java,ByteCode,ExternalType",291,0.04841366230222769,""
"Committer,Git,Person",254,0.04225797328098225,""
"Json,Key",248,0.041259753439699204,""
"Value,Json,Scalar",242,0.04026153359841616,""
"Maven,Dependency",182,0.030279335185585704,""
"Type,File,Java,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",176,0.02928111534430266,""
"Package,File,Directory,Java",157,0.026120085846906352,""
"Git,Tag",151,0.025121866005623304,""
"Value,Array",140,0.02329179629660439,""
"Java,Value,ByteCode,Enum",137,0.022792686375962868,""
"Type,File,Java,Class,GenericDeclaration,ByteCode,InternalJavaType,ConnectedInternalJavaType",130,0.021628096561132647,""
"Type,File,Java,ByteCode,Interface",124,0.020629876719849602,""
"Java,ByteCode,Bound,GenericArrayType",111,0.018467067063736336,""
"Artifact,Maven",101,0.016803367328264596,""
"Type,File,Java,ByteCode,Throwable,JavaType",94,0.015638777513434374,""
"StronglyConnectedComponent,PackageMembers",93,0.015472407539887201,""
"Value,ManifestEntry",87,0.014474187698604155,""
"Value,Property",87,0.014474187698604155,""
"Type,File,Java,GenericDeclaration,ByteCode,Interface,InternalJavaType,ConnectedInternalJavaType",86,0.014307817725056982,""
"File,Directory",57,0.009483088492188929,""
"Value,Json,Object",57,0.009483088492188929,""
"Java,Value,Class,ByteCode",55,0.009150348545094581,""
"Type,File,Java,ByteCode,Record,InternalJavaType,ConnectedInternalJavaType",52,0.008651238624453059,""
"Type,File,Java,ByteCode,ExternalAnnotation,ExternalType",51,0.008484868650905884,""
"Xml,Namespace",44,0.007320278836075665,""
"Type,File,Java,Class,ByteCode,Throwable,InternalJavaType,ConnectedInternalJavaType",42,0.006987538888981316,""
"Type,File,Java,ByteCode,Annotation,InternalJavaType,ConnectedInternalJavaType",41,0.006821168915434142,""
"Type,File,Java,ByteCode,PrimitiveType",38,0.00632205899479262,""
"Xml,Attribute",22,0.0036601394180378324,""
"jQAssistant,Rule,Concept",19,0.00316102949739631,""
"Maven,Plugin",18,0.0029946595238491357,""
"Maven,Configuration",18,0.0029946595238491357,""
"Type,File,Java,ByteCode,Enum,InternalJavaType,ConnectedInternalJavaType",16,0.0026619195767547876,""
"File,Java,ServiceLoader",13,0.0021628096561132648,""
"Maven,PluginExecution",13,0.0021628096561132648,""
"Maven,ExecutionGoal",13,0.0021628096561132648,""
"File,Java,Properties",12,0.0019964396825660905,""
"File,Artifact,Jar,Archive,Zip,Java",11,0.0018300697090189162,""
"File,Java,Manifest",11,0.0018300697090189162,""
"Java,ManifestSection",11,0.0018300697090189162,""
"Type,File,Java,ByteCode,Void",11,0.0018300697090189162,""
"File,Document,Xml,Pom,Maven",11,0.0018300697090189162,""
"StronglyConnectedComponent,ArtifactMembers",11,0.0018300697090189162,""
"Type,File,Java,ByteCode,Throwable,ResolvedDuplicateType",10,0.0016636997354717421,""
"Type,File,Java,ByteCode,Throwable,ExternalType",10,0.0016636997354717421,""
"Maven,License",9,0.0014973297619245679,""
"Java,GenericDeclaration,ByteCode,Member,Constructor,Method",9,0.0014973297619245679,""
"Type,File,Java,GenericDeclaration,ByteCode,Record,InternalJavaType,ConnectedInternalJavaType",8,0.0013309597883773938,""
"Type,File,Java,Class,ByteCode,InternalJavaType",5,0.0008318498677358711,""
"File",4,0.0006654798941886969,""
"Maven,Exclusion",4,0.0006654798941886969,""
"Value,Array,Json",4,0.0006654798941886969,""
"WeaklyConnectedComponent,TypeMembers",4,0.0006654798941886969,""
"Type,File,Java,GenericDeclaration,ByteCode,Interface,InternalJavaType",3,0.0004991099206415226,""
"Type,File,Java,Class,GenericDeclaration,ByteCode,InternalJavaType",2,0.00033273994709434845,""
"Type,File,Java,ByteCode,Annotation,InternalJavaType",1,0.00016636997354717422,""
