"artifactName","fullPackageName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInPackage","externalTypeNames","packageName","Source Cypher File: External_Dependencies/External_package_usage_per_artifact_and_package.cypher"
"axon-metrics-micrometer-5.0.1","org.axonframework.extension.metrics.micrometer","io.micrometer.core.instrument",37,136,12,"MeterRegistry,Tags,Clock,Tag,Timer$Builder,Gauge$Builder,Gauge,Timer,Counter","micrometer",""
"axon-test-5.0.1","org.axonframework.test.matchers","org.hamcrest",36,142,23,"Description,Matcher,BaseMatcher,TypeSafeMatcher","matchers",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.event","io.axoniq.axonserver.grpc.event.dcb",28,104,14,"Tag,Tag$Builder,ConsistencyCondition$Builder,StreamEventsRequest$Builder,Criterion,StreamEventsRequest,SourceEventsRequest,ConsistencyCondition,SourceEventsRequest$Builder,TagsAndNamesCriterion,Criterion$Builder,TagsAndNamesCriterion$Builder,Event$Builder,Event,TaggedEvent$Builder,TaggedEvent,SourceEventsResponse,SequencedEvent,GetHeadResponse,GetTailResponse,GetSequenceAtResponse,AppendEventsResponse,StreamEventsResponse","event",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.util","io.grpc",17,35,13,"ClientCall$Listener,ForwardingClientCallListener$SimpleForwardingClientCallListener,Channel,ClientCall,MethodDescriptor,CallOptions,ClientInterceptor,Status,Status$Code,Metadata$AsciiMarshaller,StatusRuntimeException,Metadata$Key,Metadata,ForwardingClientCall$SimpleForwardingClientCall","util",""
"axon-conversion-5.0.1","org.axonframework.conversion.avro","org.apache.avro",16,54,10,"AvroRuntimeException,Schema,SchemaCompatibility,SchemaCompatibility$Incompatibility,SchemaCompatibility$SchemaPairCompatibility,SchemaCompatibility$SchemaIncompatibilityType,SchemaCompatibility$SchemaCompatibilityType,InvalidAvroMagicException,SchemaCompatibility$SchemaCompatibilityResult,SchemaNormalization,InvalidNumberEncodingException","avro",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.pooled","org.slf4j",15,72,24,"Logger,LoggerFactory","pooled",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.query","io.axoniq.axonserver.grpc.query",14,98,11,"QueryUpdate,QueryResponse,QueryResponse$Builder,QueryUpdate$Builder,QueryRequest$Builder,SubscriptionQuery,QueryRequest","query",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector","io.axoniq.axonserver.grpc",12,94,28,"ErrorMessage,ErrorMessage$Builder,InstructionAck,InstructionAck$Builder,MetaDataValue$DataCase,MetaDataValue,MetaDataValue$Builder","connector",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.event","org.slf4j",10,44,14,"LoggerFactory,Logger","event",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.query","io.axoniq.axonserver.connector",10,37,11,"ResultStream,ReplyChannel,FlowControl,Registration,AxonServerConnection","query",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.query","io.axoniq.axonserver.grpc",9,50,11,"MetaDataValue$Builder,MetaDataValue,ProcessingInstruction$Builder,SerializedObject$Builder,ProcessingKey,SerializedObject,ErrorMessage","query",""
"axon-tracing-opentelemetry-5.0.1","org.axonframework.extension.tracing.opentelemetry","io.opentelemetry.context.propagation",9,15,5,"TextMapSetter,TextMapPropagator,TextMapGetter,ContextPropagators","opentelemetry",""
"axon-tracing-opentelemetry-5.0.1","org.axonframework.extension.tracing.opentelemetry","io.opentelemetry.api.trace",9,46,5,"Span,StatusCode,SpanContext,SpanBuilder,SpanKind,Tracer","opentelemetry",""
"axon-common-5.0.1","org.axonframework.common.caching","org.ehcache.event",8,30,13,"EventType,EventOrdering,EventFiring,CacheEventListener,CacheEvent","caching",""
"axon-common-5.0.1","org.axonframework.common.caching","javax.cache.event",8,26,13,"CacheEntryRemovedListener,CacheEntryEventFilter,CacheEntryListener,CacheEntryUpdatedListener,CacheEntryExpiredListener,CacheEntryEvent,CacheEntryListenerException,CacheEntryCreatedListener","caching",""
"axon-conversion-5.0.1","org.axonframework.conversion.avro","org.apache.avro.message",8,28,10,"SchemaStore,BinaryMessageEncoder,BinaryMessageDecoder,BadHeaderException","avro",""
"axon-conversion-5.0.1","org.axonframework.conversion.json","com.fasterxml.jackson.databind",8,42,5,"JsonNode,ObjectMapper,JavaType","json",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.annotation","org.slf4j",8,17,50,"LoggerFactory,Logger","annotation",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector","io.axoniq.axonserver.grpc.control",8,46,28,"TopologyChange,QuerySubscription,CommandSubscription,UpdateType,NodeInfo,NodeInfo$Builder","connector",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.command","io.axoniq.axonserver.grpc.command",8,63,6,"CommandResponse$Builder,Command$Builder,CommandResponse,Command","command",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.event","io.axoniq.axonserver.connector.event",8,38,14,"AggregateEventStream,AppendEventsTransaction,EventChannel,DcbEventChannel,DcbEventChannel$AppendEventsTransaction,EventStream","event",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.util","io.axoniq.axonserver.grpc",8,81,13,"ErrorMessage,SerializedObject,ErrorMessage$Builder,ProcessingInstruction$Builder,ProcessingInstruction,MetaDataValue,ProcessingKey,MetaDataValue$Builder","util",""
"axon-update-5.0.1","org.axonframework.update","org.slf4j",8,27,5,"LoggerFactory,Logger","update",""
"axon-conversion-5.0.1","org.axonframework.conversion.avro","org.apache.avro.generic",7,30,10,"GenericRecord,GenericData,GenericDatumReader","avro",""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing.eventstore.jpa","jakarta.persistence",7,41,13,"Index,GenerationType,EntityExistsException,EntityManager,TypedQuery","jpa",""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing.eventstore.jpa","org.slf4j",7,16,13,"Logger,LoggerFactory","jpa",""
"axon-messaging-5.0.1","org.axonframework.messaging.core","reactor.core.publisher",7,30,80,"Flux,Mono,FluxSink","core",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.command","io.axoniq.axonserver.grpc",7,31,6,"SerializedObject$Builder,ProcessingInstruction$Builder,SerializedObject,ProcessingKey,ErrorMessage","command",""
"axon-test-5.0.1","org.axonframework.test.fixture","org.hamcrest",7,45,31,"Matcher,StringDescription,Description,CoreMatchers","fixture",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.query","io.axoniq.axonserver.connector.query",6,19,11,"SubscriptionQueryResult,QueryDefinition,QueryChannel,QueryHandler,QueryHandler$UpdateHandler","query",""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.autoconfig","org.axonframework.extension.spring.config",6,27,34,"EventProcessorSettings$MapWrapper,SpringComponentRegistry,SpringLifecycleRegistry,SpringAxonApplication,MessageHandlerLookup,SpringEventSourcedEntityLookup","autoconfig",""
"axon-common-5.0.1","org.axonframework.common","org.slf4j",5,14,34,"Logger,LoggerFactory","common",""
"axon-common-5.0.1","org.axonframework.common.configuration","org.slf4j",5,27,46,"Logger,LoggerFactory","configuration",""
"axon-messaging-5.0.1","org.axonframework.messaging.core","org.reactivestreams",5,10,80,"Subscription,Subscriber,Publisher","core",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.interception","jakarta.validation",5,16,19,"ConstraintViolation,ValidatorFactory,Validator,Validation","interception",""
"axon-messaging-5.0.1","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jakarta.persistence",5,54,4,"LockModeType,EntityManager,Query,TypedQuery","jpa",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector","io.axoniq.axonserver.connector",5,38,28,"AxonServerConnection,AxonServerConnectionFactory,AxonServerConnectionFactory$Builder","connector",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.event","io.axoniq.axonserver.grpc.event",5,31,14,"Event$Builder,Event,EventWithToken,Confirmation","event",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.event","io.axoniq.axonserver.connector",5,37,14,"AxonServerConnection,ResultStream","event",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.event","io.axoniq.axonserver.grpc.control",5,40,14,"EventProcessorInfo,EventProcessorInfo$SegmentStatus,EventProcessorInfo$SegmentStatus$Builder,EventProcessorInfo$Builder","event",""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.actuator.axonserver","org.springframework.boot.actuate.health",5,20,2,"Status,Health$Builder,AbstractHealthIndicator,SimpleStatusAggregator","axonserver",""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.autoconfig","org.springframework.context.annotation",5,8,34,"ConfigurationCondition$ConfigurationPhase,Condition,ConditionContext","autoconfig",""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.autoconfig","org.springframework.context",5,9,34,"ApplicationContext,ApplicationContextAware","autoconfig",""
"axon-conversion-5.0.1","org.axonframework.conversion.avro","org.apache.avro.specific",4,14,10,"SpecificData,SpecificRecordBase","avro",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.timeout","org.slf4j",4,15,8,"LoggerFactory,Logger","timeout",""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling","org.slf4j",4,23,24,"LoggerFactory,Logger","queryhandling",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.event","io.axoniq.axonserver.grpc",4,15,14,"SerializedObject,MetaDataValue$Builder,SerializedObject$Builder,MetaDataValue","event",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.util","org.slf4j",4,9,13,"Logger,LoggerFactory","util",""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.autoconfig","org.springframework.beans.factory",4,15,34,"BeanFactory,BeanFactoryUtils,NoSuchBeanDefinitionException,BeanClassLoaderAware","autoconfig",""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.autoconfig","org.apache.avro.message",4,10,34,"SchemaStore,SchemaStore$Cache","autoconfig",""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.autoconfig","org.springframework.boot.autoconfigure.condition",4,12,34,"AnyNestedCondition,AllNestedConditions,SearchStrategy","autoconfig",""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.service.connection","org.springframework.boot.testcontainers.service.connection",4,9,4,"ContainerConnectionSource,ContainerConnectionDetailsFactory,ContainerConnectionDetailsFactory$ContainerConnectionDetails","connection",""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.util","org.springframework.boot.autoconfigure.condition",4,12,7,"ConditionOutcome,SpringBootCondition","util",""
"axon-spring-boot-autoconfigure-5.0.1","org.axonframework.extension.springboot.util","org.springframework.context.annotation",4,7,7,"ConditionContext,ConfigurationCondition,ConfigurationCondition$ConfigurationPhase,ImportBeanDefinitionRegistrar","util",""
"axon-test-5.0.1","org.axonframework.test.server","com.google.gson",4,7,2,"JsonElement,JsonParser,JsonArray,JsonObject","server",""
"axon-update-5.0.1","org.axonframework.update.detection","org.slf4j",4,11,4,"Logger,LoggerFactory","detection",""
"axon-common-5.0.1","org.axonframework.common.caching","javax.cache.configuration",3,9,13,"CacheEntryListenerConfiguration,Factory","caching",""
"axon-common-5.0.1","org.axonframework.common.infra","com.fasterxml.jackson.databind",3,14,8,"ObjectMapper,SerializationFeature,JsonNode","infra",""
"axon-conversion-5.0.1","org.axonframework.conversion.json","com.fasterxml.jackson.databind.node",3,12,5,"ObjectNode,JsonNodeType","json",""
"axon-eventsourcing-5.0.1","org.axonframework.eventsourcing.eventstore.inmemory","org.slf4j",3,14,5,"Logger,LoggerFactory","inmemory",""
"axon-messaging-5.0.1","org.axonframework.messaging.commandhandling.distributed","org.slf4j",3,9,10,"Logger,LoggerFactory","distributed",""
"axon-messaging-5.0.1","org.axonframework.messaging.core.unitofwork","org.slf4j",3,6,16,"Logger,LoggerFactory","unitofwork",""
"axon-messaging-5.0.1","org.axonframework.messaging.queryhandling.distributed","org.slf4j",3,4,11,"Logger,LoggerFactory","distributed",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector","io.grpc",3,9,28,"ManagedChannelBuilder,ClientInterceptor","connector",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.command","org.slf4j",3,10,6,"Logger,LoggerFactory","command",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.event","com.google.protobuf",3,10,14,"ByteString","event",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.event","io.grpc",3,7,14,"StatusRuntimeException,Status$Code,Status","event",""
"axon-server-connector-5.0.1","org.axonframework.axonserver.connector.util","com.google.protobuf",3,8,13,"MessageLite,ByteString","util",""
