"artifactName","numberOfTypesInArtifact","numberOfExternalTypesInArtifact","numberOfExternalPackagesInArtifact","externalTypeRate","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfExternalPackages","top5ExternalPackages","someExternalTypes","Source Cypher File: External_Dependencies/External_package_usage_per_artifact_sorted_top.cypher"
"axon-tracing-opentelemetry-5.0.0",5,16,6,320,26,85,6,"io.opentelemetry.context.propagation,io.opentelemetry.api.trace,jakarta.annotation,io.opentelemetry.context","TextMapGetter,TextMapSetter,TextMapPropagator,ContextPropagators,SpanKind,Span,Tracer,SpanBuilder,SpanContext",""
"axon-server-connector-5.0.0",72,113,23,156.94444444444443,244,1215,23,"io.axoniq.axonserver.grpc,jakarta.annotation,io.axoniq.axonserver.grpc.event.dcb,io.grpc","ErrorMessage,MetaDataValue$Builder,MetaDataValue$DataCase,MetaDataValue,ErrorMessage$Builder,SerializedObject,SerializedObject$Builder,ProcessingInstruction$Builder,ProcessingKey",""
"axon-spring-boot-autoconfigure-5.0.0",66,85,36,128.78787878787878,210,399,36,"org.springframework.boot.autoconfigure.condition,org.springframework.context.annotation,org.springframework.boot.autoconfigure,org.springframework.boot.context.properties","AnyNestedCondition,ConditionOutcome,SearchStrategy,ConditionalOnMissingBean,ConditionalOnBean,ConditionalOnProperty,ConditionalOnClass,ConditionalOnExpression,AllNestedConditions",""
"axon-conversion-5.0.0",30,32,11,106.66666666666667,99,421,11,"jakarta.annotation,org.apache.avro,org.apache.avro.message,com.fasterxml.jackson.databind","Nonnull,Nullable,AvroRuntimeException,Schema,SchemaCompatibility$Incompatibility,SchemaCompatibility,SchemaCompatibility$SchemaPairCompatibility,SchemaCompatibility$SchemaCompatibilityType,InvalidNumberEncodingException",""
"axon-metrics-micrometer-5.0.0",13,13,4,100,46,152,4,"io.micrometer.core.instrument,jakarta.annotation,org.slf4j,io.micrometer.core.instrument.simple","Clock,Tags,Tag,MeterRegistry,Timer$Builder,Timer,Counter,Gauge,Gauge$Builder",""
"axon-test-5.0.0",73,24,11,32.87671232876712,94,453,11,"org.hamcrest,jakarta.annotation,com.google.gson,org.jetbrains.annotations","CoreMatchers,StringDescription,Matcher,Description,BaseMatcher,TypeSafeMatcher,Nonnull,Nullable,JsonElement",""
"axon-eventsourcing-5.0.0",100,20,6,20,102,419,6,"jakarta.annotation,jakarta.persistence,org.slf4j,IdTypeParameterResolver","Nonnull,Nullable,EntityManager,TypedQuery,Id,GeneratedValue,Column,Index,GenerationType",""
"axon-common-5.0.0",150,28,11,18.666666666666664,109,522,11,"jakarta.annotation,org.slf4j,org.ehcache.event,javax.cache.event","Nonnull,Nullable,Logger,LoggerFactory,CacheEventListener,EventType,EventOrdering,EventFiring,CacheEvent",""
"axon-update-5.0.0",23,4,2,17.391304347826086,28,128,2,"org.slf4j,jakarta.annotation","Logger,LoggerFactory,Nonnull,Nullable",""
"axon-messaging-5.0.0",570,32,8,5.614035087719298,602,3178,8,"jakarta.annotation,org.slf4j,com.fasterxml.jackson.annotation,reactor.core.publisher","Nonnull,Nullable,Logger,LoggerFactory,JsonProperty,JsonCreator,JsonTypeInfo,JsonTypeInfo$Id,JsonGetter",""
"axon-modelling-5.0.0",93,4,2,4.301075268817204,92,586,2,"jakarta.annotation,org.slf4j","Nonnull,Nullable,Logger,LoggerFactory",""
