"artifactName","artifactPackages","artifactTypes","artifactExternalPackages","artifactExternalCallingPackages","artifactExternalCallingPackagesRate","externalPackageName","numberOfPackages","numberOfTypes","packagesCallingExternalRate","typesCallingExternalRate","nameOfPackages","someTypeNames","Source Cypher File: External_Dependencies/External_package_usage_per_artifact_and_external_package.cypher"
"axon-configuration-4.12.2",1,43,3,1,100,"jakarta.annotation",1,1,100,2.3255813953488373,"org.axonframework.config","org.axonframework.config.UpdateCheckerConfigurerModule",""
"axon-configuration-4.12.2",1,43,3,1,100,"javax.annotation",1,13,100,30.232558139534884,"org.axonframework.config","org.axonframework.config.Configurer,org.axonframework.config.EventProcessingConfiguration,org.axonframework.config.EventProcessingConfigurer,org.axonframework.config.ConfigurerModule,org.axonframework.config.DefaultConfigurer,org.axonframework.config.Configuration,org.axonframework.config.LifecycleHandlerInspector$1,org.axonframework.config.DefaultConfigurer$ConfigurationImpl,org.axonframework.config.Component",""
"axon-configuration-4.12.2",1,43,3,1,100,"org.slf4j",1,7,100,16.27906976744186,"org.axonframework.config","org.axonframework.config.DefaultConfigurer,org.axonframework.config.DefaultConfigurer$ConfigurationImpl,org.axonframework.config.Component,org.axonframework.config.MessageHandlerRegistrar,org.axonframework.config.LifecycleHandlerInspector,org.axonframework.config.AxonIQConsoleModule,org.axonframework.config.UpdateCheckerConfigurerModule",""
"axon-disruptor-4.12.2",1,22,5,1,100,"WeakValue",1,1,100,4.545454545454546,"org.axonframework.disruptor.commandhandling","org.axonframework.disruptor.commandhandling.FirstLevelCache",""
"axon-disruptor-4.12.2",1,22,5,1,100,"com.lmax.disruptor",1,7,100,31.81818181818182,"org.axonframework.disruptor.commandhandling","org.axonframework.disruptor.commandhandling.BlacklistDetectingCallback,org.axonframework.disruptor.commandhandling.EventPublisher,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$DisruptorRepository,org.axonframework.disruptor.commandhandling.DisruptorCommandBus,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$ExceptionHandler,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$Builder,org.axonframework.disruptor.commandhandling.CommandHandlerInvoker",""
"axon-disruptor-4.12.2",1,22,5,1,100,"com.lmax.disruptor.dsl",1,4,100,18.181818181818183,"org.axonframework.disruptor.commandhandling","org.axonframework.disruptor.commandhandling.DisruptorCommandBus$DisruptorRepository,org.axonframework.disruptor.commandhandling.DisruptorCommandBus,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$ExceptionHandler,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$Builder",""
"axon-disruptor-4.12.2",1,22,5,1,100,"javax.annotation",1,6,100,27.272727272727273,"org.axonframework.disruptor.commandhandling","org.axonframework.disruptor.commandhandling.BlacklistDetectingCallback,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$FailureLoggingCommandCallback,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$DisruptorRepository,org.axonframework.disruptor.commandhandling.DisruptorCommandBus,org.axonframework.disruptor.commandhandling.CommandHandlerInvoker$DisruptorRepository,org.axonframework.disruptor.commandhandling.DisruptorUnitOfWork",""
"axon-disruptor-4.12.2",1,22,5,1,100,"org.slf4j",1,8,100,36.36363636363637,"org.axonframework.disruptor.commandhandling","org.axonframework.disruptor.commandhandling.BlacklistDetectingCallback,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$FailureLoggingCommandCallback,org.axonframework.disruptor.commandhandling.EventPublisher,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$DisruptorRepository,org.axonframework.disruptor.commandhandling.DisruptorCommandBus,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$ExceptionHandler,org.axonframework.disruptor.commandhandling.CommandHandlerInvoker$DisruptorRepository,org.axonframework.disruptor.commandhandling.CommandHandlerInvoker",""
"axon-spring-boot-autoconfigure-4.12.2",10,91,55,10,100,"javax.annotation",4,8,40,8.791208791208792,"org.axonframework.springboot.autoconfig,org.axonframework.springboot.util,org.axonframework.springboot.util.legacyjpa,org.axonframework.springboot.util.jpa","org.axonframework.springboot.autoconfig.AxonAutoConfiguration,org.axonframework.springboot.autoconfig.PersistentStreamMessageSourceRegistrar,org.axonframework.springboot.autoconfig.AxonServerAutoConfiguration,org.axonframework.springboot.util.DeadLetterQueueProviderConfigurerModule,org.axonframework.springboot.util.DefaultEntityRegistrar,org.axonframework.springboot.util.AbstractQualifiedBeanCondition,org.axonframework.springboot.util.legacyjpa.ContainerManagedEntityManagerProvider,org.axonframework.springboot.util.jpa.ContainerManagedEntityManagerProvider",""
"axon-spring-boot-autoconfigure-4.12.2",10,91,55,10,100,"org.springframework.boot.context.properties",4,24,40,26.373626373626376,"org.axonframework.springboot,org.axonframework.springboot.updates,org.axonframework.springboot.autoconfig,org.axonframework.springboot.autoconfig.legacyjpa","org.axonframework.springboot.TimeoutProperties$TransactionTimeoutProperties,org.axonframework.springboot.MetricsProperties,org.axonframework.springboot.TracingProperties,org.axonframework.springboot.DistributedCommandBusProperties,org.axonframework.springboot.TimeoutProperties$MessageHandlerTimeoutProperties,org.axonframework.springboot.EventProcessorProperties,org.axonframework.springboot.TimeoutProperties,org.axonframework.springboot.TokenStoreProperties,org.axonframework.springboot.TagsConfigurationProperties",""
"axon-spring-boot-autoconfigure-4.12.2",10,91,55,10,100,"org.slf4j",3,4,30,4.395604395604396,"org.axonframework.springboot.autoconfig,org.axonframework.springboot.service.connection,org.axonframework.springboot.util","org.axonframework.springboot.autoconfig.XStreamAutoConfiguration,org.axonframework.springboot.service.connection.AxonServerDockerComposeConnectionDetailsFactory,org.axonframework.springboot.util.AbstractQualifiedBeanCondition,org.axonframework.springboot.util.XStreamSecurityTypeUtility",""
"axon-spring-boot-autoconfigure-4.12.2",10,91,55,10,100,"org.springframework.boot.actuate.health",3,4,30,4.395604395604396,"org.axonframework.actuator,org.axonframework.actuator.axonserver,org.axonframework.springboot.autoconfig","org.axonframework.actuator.HealthStatus,org.axonframework.actuator.axonserver.AxonServerStatusAggregator,org.axonframework.actuator.axonserver.AxonServerHealthIndicator,org.axonframework.springboot.autoconfig.AxonServerActuatorAutoConfiguration",""
