"artifactName","dependentArtifactName","fullPackageName","fullDependentPackageName","dependentTypes","dependentPackageTypes","typeUsagePercentage","dependentTypeNameExamples","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/How_many_classes_compared_to_all_existing_in_the_same_package_are_used_by_dependent_packages_across_different_artifacts.cypher"
"axon-eventsourcing-5.1.2","axon-messaging-5.1.2","org.axonframework.eventsourcing.snapshot.inmemory","org.axonframework.messaging.core",1,87,0.0115,"org.axonframework.messaging.core.QualifiedName",""
"axon-eventsourcing-5.1.2","axon-messaging-5.1.2","org.axonframework.eventsourcing.snapshot.store","org.axonframework.messaging.core",1,87,0.0115,"org.axonframework.messaging.core.QualifiedName",""
"axon-server-connector-5.1.2","axon-messaging-5.1.2","io.axoniq.framework.axonserver.connector.snapshot","org.axonframework.messaging.core",1,87,0.0115,"org.axonframework.messaging.core.QualifiedName",""
"axon-test-5.1.2","axon-messaging-5.1.2","org.axonframework.test.matchers","org.axonframework.messaging.core",1,87,0.0115,"org.axonframework.messaging.core.Message",""
"axon-modelling-5.1.2","axon-messaging-5.1.2","org.axonframework.modelling.repository","org.axonframework.messaging.core",1,87,0.0115,"org.axonframework.messaging.core.Context$ResourceKey",""
"axon-eventsourcing-5.1.2","axon-messaging-5.1.2","org.axonframework.eventsourcing","org.axonframework.messaging.core",1,87,0.0115,"org.axonframework.messaging.core.Context$ResourceKey",""
"axon-eventsourcing-5.1.2","axon-messaging-5.1.2","org.axonframework.eventsourcing.configuration","org.axonframework.messaging.core.annotation",1,53,0.0189,"org.axonframework.messaging.core.annotation.ParameterResolverFactory",""
"axon-server-connector-5.1.2","axon-eventsourcing-5.1.2","io.axoniq.framework.axonserver.connector.shared","org.axonframework.eventsourcing.eventstore",1,52,0.0192,"org.axonframework.eventsourcing.eventstore.EventStoreException",""
"axon-server-connector-5.1.2","axon-eventsourcing-5.1.2","io.axoniq.framework.axonserver.connector.configuration","org.axonframework.eventsourcing.eventstore",1,52,0.0192,"org.axonframework.eventsourcing.eventstore.EventStorageEngine",""
"axon-messaging-5.1.2","axon-common-5.1.2","org.axonframework.messaging.core","org.axonframework.common.configuration",1,51,0.0196,"org.axonframework.common.configuration.Configuration",""
"axon-eventsourcing-5.1.2","axon-common-5.1.2","org.axonframework.eventsourcing.annotation","org.axonframework.common.configuration",1,51,0.0196,"org.axonframework.common.configuration.Configuration",""
"axon-modelling-5.1.2","axon-common-5.1.2","org.axonframework.modelling.entity.annotation","org.axonframework.common.configuration",1,51,0.0196,"org.axonframework.common.configuration.Configuration",""
"axon-eventsourcing-5.1.2","axon-common-5.1.2","org.axonframework.eventsourcing.annotation.reflection","org.axonframework.common.configuration",1,51,0.0196,"org.axonframework.common.configuration.Configuration",""
"axon-messaging-5.1.2","axon-common-5.1.2","org.axonframework.messaging.core.unitofwork","org.axonframework.common.configuration",1,51,0.0196,"org.axonframework.common.configuration.ComponentNotFoundException",""
"axon-eventsourcing-5.1.2","axon-messaging-5.1.2","org.axonframework.eventsourcing.configuration","org.axonframework.messaging.core",2,87,0.023,"org.axonframework.messaging.core.MessageTypeResolver,org.axonframework.messaging.core.MessageType",""
"axon-server-connector-5.1.2","axon-messaging-5.1.2","io.axoniq.framework.axonserver.connector.shared","org.axonframework.messaging.core",2,87,0.023,"org.axonframework.messaging.core.HandlerExecutionException,org.axonframework.messaging.core.EventPublicationFailedException",""
"axon-tracing-opentelemetry-5.1.2","axon-messaging-5.1.2","org.axonframework.extension.tracing.opentelemetry","org.axonframework.messaging.core",2,87,0.023,"org.axonframework.messaging.core.Message,org.axonframework.messaging.core.Metadata",""
"axon-server-connector-5.1.2","axon-common-5.1.2","io.axoniq.framework.axonserver.connector.api.query","org.axonframework.common",1,34,0.0294,"org.axonframework.common.AxonException",""
"axon-messaging-5.1.2","axon-common-5.1.2","org.axonframework.messaging.core.timeout","org.axonframework.common",1,34,0.0294,"org.axonframework.common.AxonThreadFactory",""
"axon-messaging-5.1.2","axon-common-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store","org.axonframework.common",1,34,0.0294,"org.axonframework.common.AxonTransientException",""
"axon-test-5.1.2","axon-common-5.1.2","org.axonframework.test.util","org.axonframework.common",1,34,0.0294,"org.axonframework.common.ObjectUtils",""
"axon-update-5.1.2","axon-common-5.1.2","org.axonframework.update","org.axonframework.common",1,34,0.0294,"org.axonframework.common.ObjectUtils",""
"axon-messaging-5.1.2","axon-common-5.1.2","org.axonframework.messaging.eventstreaming","org.axonframework.common",1,34,0.0294,"org.axonframework.common.Assert",""
"axon-messaging-5.1.2","axon-common-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","org.axonframework.common",1,34,0.0294,"org.axonframework.common.Assert",""
