"artifactName","packages","types","incomingDependencies","outgoingDependencies","Source Cypher File: domains/internal-dependencies/queries/internal-dependencies/List_all_Java_artifacts.cypher"
"axon-messaging-5.1.2.jar",57,633,7,2,""
"axon-common-5.1.2.jar",15,175,10,0,""
"axon-eventsourcing-5.1.2.jar",11,130,2,4,""
"axon-server-connector-5.1.2.jar",10,79,1,5,""
"axon-modelling-5.1.2.jar",7,99,2,3,""
"axon-test-5.1.2.jar",5,79,0,3,""
"axon-conversion-5.1.2.jar",5,41,5,1,""
"axon-update-5.1.2.jar",5,28,0,1,""
"axoniq-spring-boot-autoconfigure-5.1.2.jar",5,26,0,4,""
"axon-metrics-micrometer-5.1.2.jar",3,19,0,2,""
"axon-tracing-opentelemetry-5.1.2.jar",1,6,0,2,""
