"relationshipType","nodesWithThatRelationshipType","nodesWithThatRelationshipTypePercent","Source Cypher File: Overview/Relationship_type_count.cypher"
"INVOKES",35711,17.422379642097457,""
"DEPENDS_ON",21931,10.699510176999786,""
"OF_TYPE",21394,10.437523173896924,""
"DECLARES",20725,10.111137130925199,""
"OF_RAW_TYPE",17093,8.33918779150323,""
"HAS",14125,6.891185137482194,""
"RETURNS",12578,6.136447905079718,""
"READS",9164,4.470854555744199,""
"HAS_ACTUAL_TYPE_ARGUMENT",8288,4.043479109341764,""
"OF_GENERIC_TYPE",5906,2.8813691626173332,""
"CONTAINS",3823,1.8651327986261537,""
"WRITES",3818,1.8626934410553637,""
"RETURNS_GENERIC",3545,1.729504517690221,""
"ANNOTATED_BY",2810,1.3709189547840681,""
"RESOLVES_TO",2570,1.2538297913861405,""
"REQUIRES",2174,1.0606326717795602,""
"HAS_FIRST_CHILD",2144,1.0459965263548192,""
"HAS_LAST_CHILD",2144,1.0459965263548192,""
"HAS_ELEMENT",2126,1.0372148390999747,""
"HAS_UPPER_BOUND",1523,0.7430283160626817,""
"EXTENDS",1498,0.730831528208731,""
"HAS_TEXT",1436,0.700583494330933,""
"HAS_SIBLING",1418,0.6918018070760885,""
"THROWS",1357,0.6620416447124485,""
"DECLARES_TYPE_PARAMETER",1075,0.5244618777198837,""
"IMPLEMENTS",843,0.4112756864352204,""
"HAS_KEY",568,0.2771110200417618,""
"HAS_VALUE",568,0.2771110200417618,""
"EXTENDS_GENERIC",508,0.24783872919227992,""
"HAS_LOWER_BOUND",435,0.21222410865874364,""
"IS",377,0.18392756083757783,""
"IMPLEMENTS_GENERIC",373,0.18197607478094568,""
"DECLARES_DEPENDENCY",163,0.07952305680775912,""
"TO_ARTIFACT",163,0.07952305680775912,""
"HAS_COMPONENT_TYPE",158,0.07708369923696895,""
"CONTAINS_VALUE",121,0.05903245321312179,""
"DECLARES_NAMESPACE",36,0.01756337450968913,""
"HAS_DEFAULT",36,0.01756337450968913,""
"REQUIRES_CONCEPT",28,0.013660402396424876,""
"HAS_CONFIGURATION",21,0.010245301797318657,""
"IS_ARTIFACT",21,0.010245301797318657,""
"REQUIRES_TYPE_PARAMETER",21,0.010245301797318657,""
"USES_PLUGIN",21,0.010245301797318657,""
"INCLUDES_CONCEPT",19,0.009269558769002595,""
"HAS_ATTRIBUTE",18,0.008781687254844565,""
"OF_NAMESPACE",18,0.008781687254844565,""
"HAS_EXECUTION",16,0.007805944226528501,""
"HAS_GOAL",16,0.007805944226528501,""
"HAS_ROOT_ELEMENT",12,0.0058544581698963755,""
"DESCRIBES",9,0.004390843627422283,""
"HAS_PARENT",9,0.004390843627422283,""
"DECLARES_DEV_DEPENDENCY",7,0.003415100599106219,""
"EXCLUDES",5,0.0024393575707901565,""
"THROWS_GENERIC",5,0.0024393575707901565,""
"HAS_PROPERTY",1,0.00048787151415803133,""
