"annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: Java/Annotated_code_elements.cypher"
"jakarta.annotation.Nonnull","Parameter",3440,"org.axonframework.update.UpdateChecker.<init>(0),org.axonframework.update.UpdateChecker.<init>(1),org.axonframework.update.UpdateChecker.<init>(2),org.axonframework.update.common.DelayedTask.<init>(0),org.axonframework.update.common.DelayedTask.of(0),org.axonframework.update.UpdateCheckerConfigurationEnhancer.enhance(0),org.axonframework.update.UpdateCheckerReporter.report(0),org.axonframework.update.UpdateCheckerReporter.report(1),org.axonframework.update.LoggingUpdateCheckerReporter.report(0)",""
"jakarta.annotation.Nonnull","Method",837,"org.axonframework.update.UpdateChecker.buildRequest,org.axonframework.update.api.UpdateCheckResponse.upgrades,org.axonframework.update.api.UpdateCheckResponse.vulnerabilities,org.axonframework.update.api.UpdateCheckRequest.libraries,org.axonframework.update.api.Artifact.version,org.axonframework.update.LoggingUpdateCheckerReporter.getCurrentVersionForArtifact,org.axonframework.update.api.DetectedVulnerability.fixVersion,org.axonframework.update.api.DetectedVulnerability.severity,org.axonframework.update.api.DetectedVulnerability.groupId",""
"jakarta.annotation.Nullable","Parameter",358,"org.axonframework.update.api.UpdateCheckResponse.fromRequest(0),org.axonframework.common.StringUtils.capitalize(0),org.axonframework.common.ReflectionUtils.explicitlyUnequal(0),org.axonframework.common.ReflectionUtils.explicitlyUnequal(1),org.axonframework.common.lifecycle.LifecycleHandlerInvocationException.<init>(1),org.axonframework.common.configuration.DefaultComponentRegistry$LocalConfiguration.<init>(0),org.axonframework.common.configuration.DefaultComponentRegistry$LocalConfiguration.getOptionalComponent(1),org.axonframework.common.configuration.DefaultComponentRegistry$LocalConfiguration.getComponent(1),org.axonframework.common.configuration.ComponentDefinition.ofTypeAndName(1)",""
"jakarta.annotation.Nullable","Method",99,"org.axonframework.common.ReflectionUtils.declaringClass,org.axonframework.common.FutureUtils.joinAndUnwrap,org.axonframework.common.configuration.AbstractComponent.name,org.axonframework.common.configuration.ComponentDefinition.name,org.axonframework.common.configuration.Components.put,org.axonframework.common.configuration.Component$Identifier.name,org.axonframework.common.configuration.Configuration.getParent,org.axonframework.test.fixture.RecordingCommandBus.resultOf,org.axonframework.modelling.annotation.InjectEntityParameterResolverFactory.createInstance",""
"org.axonframework.common.annotation.Internal","Class",79,"org.axonframework.update.UpdateChecker,org.axonframework.update.UpdateCheckerHttpClient,org.axonframework.update.detection.MachineId,org.axonframework.update.common.DelayedTask,org.axonframework.update.detection.KotlinVersion,org.axonframework.update.detection.AxonVersionDetector,org.axonframework.update.detection.TestEnvironmentDetector,org.axonframework.update.UpdateCheckerConfigurationEnhancer,org.axonframework.update.configuration.CommandLineUsagePropertyProvider",""
"jakarta.annotation.Nonnull","Field",72,"org.axonframework.update.api.DetectedVulnerability.groupId,org.axonframework.update.api.DetectedVulnerability.artifactId,org.axonframework.update.api.DetectedVulnerability.severity,org.axonframework.update.api.DetectedVulnerability.fixVersion,org.axonframework.update.api.DetectedVulnerability.description,org.axonframework.update.api.UpdateCheckRequest.machineId,org.axonframework.update.api.UpdateCheckRequest.instanceId,org.axonframework.update.api.UpdateCheckRequest.osName,org.axonframework.update.api.UpdateCheckRequest.osVersion",""
"java.lang.FunctionalInterface","Interface",55,"org.axonframework.update.configuration.EnvironmentVariableUsagePropertyProvider$EnvironmentVariableSupplier,org.axonframework.common.jdbc.JdbcUtils$SqlResultConverter,org.axonframework.common.jdbc.ConnectionProvider,org.axonframework.common.jdbc.JdbcUtils$SqlFunction,org.axonframework.common.util.ExecutorServiceFactory,org.axonframework.common.property.Property,org.axonframework.common.Registration,org.axonframework.common.infra.DescribableComponent,org.axonframework.common.lock.LockFactory",""
"java.lang.annotation.Target","Annotation",42,"org.axonframework.common.annotation.Internal,org.axonframework.common.Priority,org.axonframework.modelling.annotation.TargetEntityId,org.axonframework.modelling.annotation.InjectEntity,org.axonframework.modelling.entity.annotation.EntityMember,org.axonframework.extension.springboot.util.ConditionalOnQualifiedBean,org.axonframework.extension.springboot.util.ConditionalOnMissingQualifiedBean,org.axonframework.extension.springboot.util.RegisterDefaultEntities,org.axonframework.eventsourcing.annotation.EventSourcedEntity",""
"java.lang.annotation.Retention","Annotation",42,"org.axonframework.common.annotation.Internal,org.axonframework.common.Priority,org.axonframework.modelling.annotation.TargetEntityId,org.axonframework.modelling.annotation.InjectEntity,org.axonframework.modelling.entity.annotation.EntityMember,org.axonframework.extension.springboot.util.ConditionalOnQualifiedBean,org.axonframework.extension.springboot.util.ConditionalOnMissingQualifiedBean,org.axonframework.extension.springboot.util.RegisterDefaultEntities,org.axonframework.eventsourcing.annotation.EventSourcedEntity",""
"org.springframework.context.annotation.Bean","Method",38,"org.axonframework.extension.springboot.autoconfig.JdbcTransactionAutoConfiguration.axonTransactionManager,org.axonframework.extension.springboot.autoconfig.AxonTimeoutAutoConfiguration.messageTimeoutHandlerEnhancerDefinition,org.axonframework.extension.springboot.autoconfig.AxonTimeoutAutoConfiguration.axonTimeoutConfigurationEnhancer,org.axonframework.extension.springboot.autoconfig.CorrelationDataProviderAutoConfiguration.providerDecorator,org.axonframework.extension.springboot.autoconfig.AvroSchemaStoreAutoConfiguration.defaultAxonSchemaStore,org.axonframework.extension.springboot.autoconfig.AvroSchemaStoreAutoConfiguration.collectAvroSchemasFromClassPath,org.axonframework.extension.springboot.autoconfig.AvroSchemaStoreAutoConfiguration.specificRecordBaseClasspathAvroSchemaLoader,org.axonframework.extension.springboot.autoconfig.InfrastructureAutoConfiguration.messageHandlerLookup,org.axonframework.extension.springboot.autoconfig.InfrastructureAutoConfiguration.springEventSourcedEntityLookup",""
