"codeUnitName","shortCodeUnitName","projectName","betweenness","pageRank","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionPopularBottlenecks.cypher"
"org.axonframework.serialization.SerializedType","SerializedType","axon-messaging-4.12.2",1394.6999999999991,69.2321994186317,52,51,1,""
"org.axonframework.serialization.SimpleSerializedType","SimpleSerializedType","axon-messaging-4.12.2",525.8833333333333,59.54189739932805,13,11,2,""
"org.axonframework.messaging.Message","Message","axon-messaging-4.12.2",5994.607142857143,41.0430716658494,210,207,3,""
"org.axonframework.messaging.MetaData","MetaData","axon-messaging-4.12.2",1743,28.980296150293942,90,88,2,""
"org.axonframework.serialization.SerializedObject","SerializedObject","axon-messaging-4.12.2",1859.7499999999998,25.04238652894201,66,65,1,""
"org.axonframework.serialization.Serializer","Serializer","axon-messaging-4.12.2",1761.6666666666652,24.025243625002723,128,125,3,""
"org.axonframework.eventhandling.EventMessage","EventMessage","axon-messaging-4.12.2",764.8333333333333,11.737180228146737,165,164,1,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException","axon-messaging-4.12.2",565.8666666666667,6.236032089482804,87,86,1,""
"org.axonframework.commandhandling.CommandMessage","CommandMessage","axon-messaging-4.12.2",561.7666666666667,5.563566020551254,115,114,1,""
"org.axonframework.common.BuilderUtils","BuilderUtils","axon-messaging-4.12.2",775.4500000000002,5.495770827211879,117,114,3,""
"org.axonframework.serialization.Converter","Converter","axon-messaging-4.12.2",826.1666666666666,4.466711273193019,18,16,2,""
"org.axonframework.config.Configuration","Configuration","axon-configuration-4.12.2",7064.165476190474,2.7844440113505446,84,51,33,""
"org.axonframework.messaging.ResultMessage","ResultMessage","axon-messaging-4.12.2",1819.7499999999998,2.6123098701918708,30,25,5,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType","RollbackConfigurationType","axon-messaging-4.12.2",1842.5,2.3223416724634487,16,11,5,""
"org.axonframework.messaging.unitofwork.UnitOfWork","UnitOfWork","axon-messaging-4.12.2",5255.524999999999,1.9959899801601584,68,57,11,""
"org.axonframework.commandhandling.CommandCallback","CommandCallback","axon-messaging-4.12.2",677.5833333333334,1.6245843692376363,39,36,3,""
"org.axonframework.commandhandling.CommandResultMessage","CommandResultMessage","axon-messaging-4.12.2",546.2833333333334,1.4601735019082216,30,28,2,""
"org.axonframework.common.ReflectionUtils","ReflectionUtils","axon-messaging-4.12.2",1085,1.3896371064619495,31,27,4,""
"org.axonframework.axonserver.connector.AxonServerConfiguration","AxonServerConfiguration","axon-server-connector-4.12.2",508,1.2429492616587827,35,28,7,""
"org.axonframework.eventsourcing.eventstore.DomainEventStream","DomainEventStream","axon-eventsourcing-4.12.2",3265.5095238095255,1.1825444428133252,31,24,7,""
