"codeUnitName","shortCodeUnitName","projectName","betweenness","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionSilentCoordinators.cypher"
"org.axonframework.eventhandling.AnnotationEventHandlerAdapter","AnnotationEventHandlerAdapter","axon-messaging-4.12.2",383,14,1,13,""
"org.axonframework.eventsourcing.conflictresolution.ConflictResolution","ConflictResolution","axon-eventsourcing-4.12.2",307.05,10,1,9,""
"org.axonframework.axonserver.connector.event.axon.EventBuffer","EventBuffer","axon-server-connector-4.12.2",305.75,15,1,14,""
"org.axonframework.eventsourcing.conflictresolution.NoConflictResolver","NoConflictResolver","axon-eventsourcing-4.12.2",260.5,5,1,4,""
"org.axonframework.axonserver.connector.processor.StreamingEventProcessorInfoMessage","StreamingEventProcessorInfoMessage","axon-server-connector-4.12.2",238.06666666666666,7,1,6,""
"org.axonframework.serialization.GapAwareTrackingTokenConverter","GapAwareTrackingTokenConverter","axon-messaging-4.12.2",211.83333333333334,3,1,2,""
"org.axonframework.springboot.autoconfig.AxonTimeoutAutoConfiguration$AxonTimeoutConfigurerModule","AxonTimeoutAutoConfiguration$AxonTimeoutConfigurerModule","axon-spring-boot-autoconfigure-4.12.2",164.66190476190476,13,1,12,""
"org.axonframework.common.IdentifierValidator","IdentifierValidator","axon-messaging-4.12.2",163.33333333333334,2,1,1,""
"org.axonframework.modelling.saga.AnnotatedSaga","AnnotatedSaga","axon-modelling-4.12.2",156,14,1,13,""
"org.axonframework.disruptor.commandhandling.DisruptorCommandBus$Builder","DisruptorCommandBus$Builder","axon-disruptor-4.12.2",152,22,1,21,""
"org.axonframework.modelling.command.inspection.AnnotatedCommandHandlerInterceptor","AnnotatedCommandHandlerInterceptor","axon-modelling-4.12.2",151,7,1,6,""
"org.axonframework.axonserver.connector.event.axon.DefaultPersistentStreamMessageSourceFactory","DefaultPersistentStreamMessageSourceFactory","axon-server-connector-4.12.2",140,4,1,3,""
"org.axonframework.modelling.command.inspection.ChildForwardingCommandMessageHandlingMember","ChildForwardingCommandMessageHandlingMember","axon-modelling-4.12.2",138,10,1,9,""
"org.axonframework.axonserver.connector.AxonServerConfiguration$Builder","AxonServerConfiguration$Builder","axon-server-connector-4.12.2",136,4,1,3,""
"org.axonframework.test.aggregate.ResultValidatorImpl","ResultValidatorImpl","axon-test-4.12.2",132,19,1,18,""
"org.axonframework.modelling.command.inspection.AnnotatedChildEntity","AnnotatedChildEntity","axon-modelling-4.12.2",116,8,1,7,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType$2","RollbackConfigurationType$2","axon-messaging-4.12.2",113.75,3,1,2,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType$4","RollbackConfigurationType$4","axon-messaging-4.12.2",113.75,3,1,2,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType$3","RollbackConfigurationType$3","axon-messaging-4.12.2",113.75,3,1,2,""
"org.axonframework.modelling.command.legacyjpa.GenericJpaRepository","GenericJpaRepository","axon-modelling-4.12.2",111.75,11,1,10,""
