"artifactName","communityId","packageCount","sumTypeCount","minTypeCount","maxTypeCount","avgTypeCount","stdTypeCount","per5TypeCount","packageNames","Source Cypher File: Community_Detection/Type_communities_that_span_the_most_packages_with_type_statistics.cypher"
"axon-spring-boot-autoconfigure-4.12.2",6,6,36,1,14,6,4.69041575982343,5,"org.axonframework.actuator,org.axonframework.actuator.axonserver,org.axonframework.springboot.service.connection,org.axonframework.springboot.util,org.axonframework.springboot,org.axonframework.springboot.autoconfig",""
"axon-modelling-4.12.2",11,6,32,2,10,5.333333333333334,2.943920288775949,4,"org.axonframework.modelling.saga.repository.inmemory,org.axonframework.modelling.saga.repository.legacyjpa,org.axonframework.modelling.saga.repository.jdbc,org.axonframework.modelling.saga.repository.jpa,org.axonframework.modelling.saga,org.axonframework.modelling.saga.repository",""
"axon-server-connector-4.12.2",5,6,15,1,5,2.5,1.6431676725154984,2,"org.axonframework.axonserver.connector.event.util,org.axonframework.axonserver.connector.command,org.axonframework.axonserver.connector.query,org.axonframework.axonserver.connector.query.subscription,org.axonframework.axonserver.connector.event.axon,org.axonframework.axonserver.connector.util",""
"axon-messaging-4.12.2",10,6,13,1,5,2.166666666666667,1.834847859269718,1,"org.axonframework.commandhandling,org.axonframework.commandhandling.distributed,org.axonframework.eventhandling,org.axonframework.queryhandling,org.axonframework.common,org.axonframework.messaging",""
"axon-messaging-4.12.2",9,5,63,1,36,12.6,15.469324484281787,3,"org.axonframework.eventhandling.tokenstore,org.axonframework.eventhandling.tokenstore.inmemory,org.axonframework.common.stream,org.axonframework.eventhandling.pooled,org.axonframework.eventhandling",""
"axon-modelling-4.12.2",3,5,58,3,21,11.6,8.294576541331088,11,"org.axonframework.modelling.saga.repository,org.axonframework.modelling.saga.metamodel,org.axonframework.modelling.command,org.axonframework.modelling.command.inspection,org.axonframework.modelling.saga",""
"axon-modelling-4.12.2",2,5,28,1,20,5.6,8.142481194328912,2,"org.axonframework.modelling.saga,org.axonframework.modelling.saga.repository,org.axonframework.modelling.command.legacyjpa,org.axonframework.modelling.command.inspection,org.axonframework.modelling.command",""
"axon-messaging-4.12.2",14,4,21,4,7,5.25,1.4999999999999998,4,"org.axonframework.updates,org.axonframework.updates.detection,org.axonframework.updates.api,org.axonframework.updates.configuration",""
"axon-eventsourcing-4.12.2",9,4,17,2,7,4.25,2.6299556396765835,2,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore.inmemory,org.axonframework.eventsourcing.eventstore.legacyjpa,org.axonframework.eventsourcing.eventstore",""
"axon-modelling-4.12.2",6,4,4,1,1,1,0,1,"org.axonframework.modelling.command,org.axonframework.modelling.command.inspection,org.axonframework.modelling.saga,org.axonframework.modelling.saga.repository",""
"axon-spring-boot-autoconfigure-4.12.2",11,4,4,1,1,1,0,1,"org.axonframework.springboot,org.axonframework.springboot.autoconfig,org.axonframework.springboot.autoconfig.legacyjpa,org.axonframework.springboot.util.legacyjpa",""
"axon-eventsourcing-4.12.2",2,3,32,1,30,10.666666666666666,16.74315780649915,1,"org.axonframework.eventsourcing.conflictresolution,org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing",""
"axon-server-connector-4.12.2",10,3,10,2,5,3.3333333333333335,1.5275252316519465,3,"org.axonframework.axonserver.connector.command,org.axonframework.axonserver.connector.query,org.axonframework.axonserver.connector",""
"axon-test-4.12.2",2,3,9,1,7,3,3.4641016151377544,1,"org.axonframework.test.matchers,org.axonframework.test.server,org.axonframework.test.aggregate",""
"axon-eventsourcing-4.12.2",4,3,5,1,2,1.6666666666666667,0.5773502691896257,2,"org.axonframework.eventsourcing.eventstore.legacyjpa,org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore",""
"axon-messaging-4.12.2",0,3,4,1,2,1.3333333333333333,0.5773502691896258,1,"org.axonframework.commandhandling,org.axonframework.commandhandling.callbacks,org.axonframework.deadline",""
"axon-spring-boot-autoconfigure-4.12.2",8,3,4,1,2,1.3333333333333333,0.5773502691896258,1,"org.axonframework.springboot.autoconfig,org.axonframework.springboot.autoconfig.legacyjpa,org.axonframework.springboot.util",""
"axon-eventsourcing-4.12.2",3,3,3,1,1,1,0,1,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing.eventstore.legacyjpa",""
"axon-modelling-4.12.2",7,2,21,1,20,10.5,13.435028842544403,1,"org.axonframework.modelling.command.inspection,org.axonframework.modelling.command",""
"axon-spring-boot-autoconfigure-4.12.2",4,2,12,3,9,6,4.242640687119285,3,"org.axonframework.springboot.autoconfig,org.axonframework.springboot",""
"axon-spring-boot-autoconfigure-4.12.2",5,2,9,1,8,4.5,4.949747468305833,1,"org.axonframework.springboot.util,org.axonframework.springboot.autoconfig",""
"axon-test-4.12.2",7,2,7,3,4,3.5,0.7071067811865476,3,"org.axonframework.test.utils,org.axonframework.test.saga",""
"axon-spring-boot-autoconfigure-4.12.2",16,2,5,2,3,2.5,0.7071067811865476,2,"org.axonframework.springboot.autoconfig,org.axonframework.springboot",""
"axon-spring-boot-autoconfigure-4.12.2",17,2,5,2,3,2.5,0.7071067811865476,2,"org.axonframework.springboot.autoconfig,org.axonframework.springboot",""
"axon-modelling-4.12.2",4,2,4,2,2,2,0,2,"org.axonframework.modelling.command,org.axonframework.modelling.saga",""
"axon-eventsourcing-4.12.2",5,2,4,1,3,2,1.4142135623730951,1,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore",""
"axon-test-4.12.2",4,2,3,1,2,1.5,0.7071067811865476,1,"org.axonframework.test.matchers,org.axonframework.test",""
"axon-server-connector-4.12.2",9,2,3,1,2,1.5,0.7071067811865476,1,"org.axonframework.axonserver.connector.processor,org.axonframework.axonserver.connector.event.axon",""
"axon-spring-boot-autoconfigure-4.12.2",14,2,3,1,2,1.5,0.7071067811865476,1,"org.axonframework.springboot.updates,org.axonframework.springboot.autoconfig",""
