"name","shortName","louvainId","louvainIntermediateIds","leidenId","leidenIntermediateIds","leidenModularity","weaklyConnectedComponentId","labelPropagationId","kCoreDecompositionValue","maximumKCutId","incomingDependencies","outgoingDependencies","Source Cypher File: Community_Detection/Community_Detection_Summary.cypher"
"org.axonframework.messaging.Scope","Scope",4,"1438,184,184",6,"1438,310,18,6",,0,8,4,99,4,1,""
"org.axonframework.messaging.ScopeDescriptor","ScopeDescriptor",11,"782,782,782",12,"782,106,13,8",,0,20,10,0,38,,""
"org.axonframework.eventhandling.EventMessage","EventMessage",1,"644,594,594",2,"1161,113,37,3",,0,2,10,6,163,1,""
"org.axonframework.deadline.annotation.DeadlineHandler","DeadlineHandler",2,"1419,1419,1419",4,"1456,224,17,35",,0,7,3,76,1,2,""
"org.axonframework.deadline.annotation.DeadlineHandlingMember","DeadlineHandlingMember",5,"98,98,98",7,"98,69,9,27",,0,7,2,88,1,1,""
"org.axonframework.deadline.DeadlineMessage","DeadlineMessage",2,"1419,1419,1419",4,"1456,224,17,35",,0,34,10,33,32,2,""
"org.axonframework.deadline.dbscheduler.DeadlineManagerNotSuppliedException","DeadlineManagerNotSuppliedException",11,"782,782,782",12,"782,106,13,8",,0,20,2,19,1,1,""
"org.axonframework.common.transaction.Transaction","Transaction",3,"71,71,28",5,"386,349,69,11",,0,12,4,55,5,,""
"org.axonframework.deadline.DeadlineManager","DeadlineManager",8,"594,594,594",3,"849,55,0,3",,0,12,9,36,8,5,""
"org.axonframework.deadline.DeadlineManagerSpanFactory","DeadlineManagerSpanFactory",11,"782,782,782",12,"782,106,13,8",,0,20,10,28,15,3,""
"org.axonframework.deadline.DeadlineException","DeadlineException",11,"1100,782,782",12,"1100,106,13,8",,0,128,4,60,3,1,""
"org.axonframework.serialization.xml.XStreamSerializer","XStreamSerializer",11,"749,255,255",12,"1086,34,12,21",,0,50,10,85,12,11,""
"org.axonframework.eventhandling.DomainEventData","DomainEventData",12,"443,414,403",13,"456,31,43,7",,0,52,10,89,24,1,""
"org.axonframework.eventhandling.DomainEventMessage","DomainEventMessage",12,"78,403,403",13,"1439,309,43,7",,0,40,10,4,59,2,""
"org.axonframework.eventhandling.DefaultEventBusSpanFactory$Builder","DefaultEventBusSpanFactory$Builder",7,"650,782,782",5,"650,46,13,8",,0,89,8,95,5,3,""
"org.axonframework.eventhandling.EventBusSpanFactory","EventBusSpanFactory",8,"594,594,594",3,"849,55,0,3",,0,12,10,0,13,2,""
"org.axonframework.eventhandling.DefaultEventBusSpanFactory","DefaultEventBusSpanFactory",7,"650,782,782",5,"650,46,13,8",,0,89,9,68,5,6,""
"org.axonframework.eventhandling.EventBus","EventBus",4,"189,184,184",6,"189,310,18,6",,0,6,10,1,37,3,""
"org.axonframework.eventhandling.EventData","EventData",11,"255,255,255",12,"779,34,12,21",,0,50,7,78,6,1,""
"org.axonframework.serialization.SimpleSerializedType","SimpleSerializedType",11,"255,255,255",12,"779,34,12,21",,0,50,8,24,11,2,""
"org.axonframework.eventhandling.DefaultEventProcessorSpanFactory$Builder","DefaultEventProcessorSpanFactory$Builder",7,"825,782,782",5,"825,46,13,8",,0,104,7,0,4,3,""
"org.axonframework.eventhandling.EventHandlerInvoker","EventHandlerInvoker",8,"644,594,594",3,"1119,55,0,3",,0,2,10,17,12,2,""
"org.axonframework.eventhandling.ErrorHandler","ErrorHandler",8,"644,594,594",3,"849,55,0,3",,0,2,8,25,9,1,""
"org.axonframework.eventhandling.EventProcessorSpanFactory","EventProcessorSpanFactory",8,"644,594,594",3,"849,55,0,3",,0,2,10,51,9,2,""
"org.axonframework.eventhandling.PropagatingErrorHandler","PropagatingErrorHandler",1,"644,594,594",3,"1161,55,0,3",,0,2,7,15,3,6,""
"org.axonframework.eventhandling.DefaultEventProcessorSpanFactory","DefaultEventProcessorSpanFactory",7,"825,782,782",5,"825,46,13,8",,0,104,8,50,4,7,""
"org.axonframework.eventhandling.EventProcessor","EventProcessor",8,"644,594,594",3,"849,55,0,3",,0,2,9,67,9,3,""
"org.axonframework.eventhandling.Segment","Segment",9,"506,506,506",9,"506,248,27,30",,0,45,10,35,32,1,""
"org.axonframework.eventhandling.ErrorContext","ErrorContext",1,"644,594,594",3,"1161,55,0,3",,0,2,4,5,3,1,""
"org.axonframework.deadline.jobrunr.DeadlineDetails","DeadlineDetails",11,"255,255,255",12,"779,34,12,21",,0,50,9,84,1,8,""
"org.axonframework.deadline.jobrunr.JobRunrDeadlineManager$Builder","JobRunrDeadlineManager$Builder",11,"782,782,782",12,"782,106,13,8",,0,20,10,33,2,12,""
"org.axonframework.deadline.jobrunr.JobRunrDeadlineManager","JobRunrDeadlineManager",11,"782,782,782",12,"782,106,13,8",,0,20,10,70,2,25,""
"org.axonframework.deadline.jobrunr.LabelUtils","LabelUtils",11,"255,255,255",12,"782,106,13,8",,0,50,5,98,2,4,""
"org.axonframework.deadline.quartz.DeadlineJob$DeadlineJobDataBinder","DeadlineJob$DeadlineJobDataBinder",11,"255,255,255",12,"779,34,12,21",,0,50,10,84,2,8,""
"org.axonframework.deadline.quartz.DeadlineJob","DeadlineJob",11,"782,782,782",12,"782,106,13,8",,0,20,10,51,1,18,""
"org.axonframework.deadline.quartz.QuartzDeadlineManager$Builder","QuartzDeadlineManager$Builder",11,"1100,782,782",12,"1100,106,13,8",,0,128,10,56,1,15,""
"org.axonframework.deadline.quartz.QuartzDeadlineManager","QuartzDeadlineManager",11,"1100,782,782",12,"1100,106,13,8",,0,128,10,16,1,16,""
"org.axonframework.eventhandling.AbstractEventBus$Builder","AbstractEventBus$Builder",7,"370,782,782",5,"739,30,27,30",,0,68,10,84,8,10,""
"org.axonframework.eventhandling.AbstractEventBus","AbstractEventBus",3,"71,71,28",5,"386,349,69,11",,0,19,10,8,2,15,""
"org.axonframework.eventhandling.AbstractEventProcessor$Builder","AbstractEventProcessor$Builder",8,"644,594,594",3,"1126,55,0,3",,0,2,10,2,7,14,""
"org.axonframework.eventhandling.AbstractEventProcessor","AbstractEventProcessor",1,"644,594,594",3,"1161,55,0,3",,0,2,10,64,3,18,""
"org.axonframework.eventhandling.AbstractDomainEventEntry","AbstractDomainEventEntry",11,"255,255,255",13,"1439,309,43,7",,0,52,5,28,2,4,""
"org.axonframework.eventhandling.AbstractEventEntry","AbstractEventEntry",11,"255,255,255",12,"779,34,12,21",,0,50,7,3,2,9,""
"org.axonframework.eventhandling.replay.ResetContext","ResetContext",3,"28,28,28",5,"28,76,69,11",,0,9,3,58,3,1,""
"org.axonframework.messaging.annotation.AbstractAnnotatedParameterResolverFactory","AbstractAnnotatedParameterResolverFactory",3,"28,28,28",5,"28,76,69,11",,0,9,6,0,6,5,""
"org.axonframework.messaging.unitofwork.BatchingUnitOfWork","BatchingUnitOfWork",3,"891,28,28",5,"891,349,69,11",,0,18,10,44,4,10,""
"org.axonframework.tracing.NoOpSpanFactory$NoOpSpan","NoOpSpanFactory$NoOpSpan",7,"606,782,782",8,"606,106,13,8",,0,10,5,47,3,2,""
"org.axonframework.messaging.SubscribableMessageSource","SubscribableMessageSource",8,"644,594,594",3,"849,55,0,3",,0,2,8,53,9,2,""
"org.axonframework.eventhandling.TrackingToken","TrackingToken",9,"343,506,506",9,"1117,248,27,30",,0,63,10,84,80,,""
"org.axonframework.eventhandling.TrackedEventMessage","TrackedEventMessage",9,"1123,506,506",9,"1123,30,27,30",,0,57,10,21,55,2,""
"org.axonframework.eventhandling.GenericTrackedDomainEventMessage","GenericTrackedDomainEventMessage",3,"28,28,28",12,"1075,34,12,21",,0,9,10,47,5,7,""
"org.axonframework.eventhandling.GenericTrackedEventMessage","GenericTrackedEventMessage",9,"343,506,506",9,"1117,248,27,30",,0,9,9,80,4,5,""
"org.axonframework.eventhandling.TrackedEventData","TrackedEventData",12,"414,414,403",13,"456,31,43,7",,0,52,9,48,10,2,""
"org.axonframework.serialization.upcasting.event.EventUpcaster","EventUpcaster",8,"594,594,594",13,"456,31,43,7",,0,12,10,90,21,2,""
"org.axonframework.serialization.upcasting.event.IntermediateEventRepresentation","IntermediateEventRepresentation",11,"357,255,255",12,"357,34,12,21",,0,58,9,3,12,5,""
"org.axonframework.serialization.SerializedMessage","SerializedMessage",11,"353,255,255",12,"353,34,12,21",,0,65,10,34,6,9,""
"org.axonframework.serialization.LazyDeserializingObject","LazyDeserializingObject",11,"353,255,255",12,"353,34,12,21",,0,65,9,60,12,4,""
"org.axonframework.serialization.upcasting.event.InitialEventRepresentation","InitialEventRepresentation",11,"255,255,255",12,"779,34,12,21",,0,50,9,4,2,13,""
"org.axonframework.serialization.CachingSupplier","CachingSupplier",3,"28,28,28",12,"1075,34,12,21",,0,9,2,34,2,,""
"org.axonframework.eventhandling.StreamingEventProcessor","StreamingEventProcessor",9,"511,506,506",9,"511,270,27,30",,0,79,8,38,6,5,""
"org.axonframework.eventhandling.WrappedTrackerStatus","WrappedTrackerStatus",9,"508,506,506",9,"1109,270,27,30",,0,80,4,50,2,3,""
"org.axonframework.messaging.annotation.HasHandlerAttributes","HasHandlerAttributes",3,"175,28,28",5,"264,69,9,27",,0,30,3,6,10,,""
"org.axonframework.eventhandling.replay.GenericResetContext","GenericResetContext",3,"28,28,28",5,"28,76,69,11",,0,9,5,22,1,5,""
"org.axonframework.eventhandling.ConcludesBatch","ConcludesBatch",3,"28,28,28",5,"28,76,69,11",,0,9,1,73,1,,""
"org.axonframework.eventhandling.DisallowReplay","DisallowReplay",3,"880,28,28",5,"1111,69,9,27",,0,30,1,6,,1,""
"org.axonframework.eventhandling.EventHandler","EventHandler",5,"247,98,98",7,"364,0,9,27",,0,7,3,23,3,2,""
"org.axonframework.eventhandling.AllowReplay","AllowReplay",3,"880,28,28",5,"1111,69,9,27",,0,30,2,41,2,1,""
"org.axonframework.eventhandling.DirectEventProcessingStrategy","DirectEventProcessingStrategy",8,"644,594,594",3,"1126,55,0,3",,0,2,4,26,2,2,""
"org.axonframework.eventhandling.EventProcessingStrategy","EventProcessingStrategy",8,"644,594,594",3,"1126,55,0,3",,0,2,4,75,4,1,""
"org.axonframework.eventhandling.DomainEventSequenceAware","DomainEventSequenceAware",4,"184,184,184",6,"189,310,18,6",,0,33,3,96,3,,""
"org.axonframework.eventhandling.EventTrackerStatusChangeListener","EventTrackerStatusChangeListener",9,"506,506,506",9,"506,248,27,30",,0,45,5,79,4,1,""
"org.axonframework.eventhandling.EventTrackerStatus","EventTrackerStatus",9,"508,506,506",9,"1109,270,27,30",,0,80,7,1,9,2,""
"org.axonframework.eventhandling.EventMessageHandler","EventMessageHandler",1,"644,594,594",2,"1161,113,37,3",,0,2,8,27,9,3,""
"org.axonframework.eventhandling.EventProcessingException","EventProcessingException",13,"644,594,594",3,"1126,55,0,3",,0,2,3,32,2,1,""
"org.axonframework.eventhandling.EventUtils","EventUtils",11,"357,255,255",12,"357,34,12,21",,0,58,10,38,5,15,""
"org.axonframework.eventhandling.GapAwareTrackingToken","GapAwareTrackingToken",12,"414,414,403",13,"436,1,43,7",,0,52,5,0,4,3,""
"org.axonframework.eventhandling.AddedTrackerStatus","AddedTrackerStatus",9,"508,506,506",9,"1109,270,27,30",,0,80,3,2,1,2,""
"org.axonframework.eventhandling.AnnotationEventHandlerAdapter","AnnotationEventHandlerAdapter",5,"98,98,98",7,"98,69,9,27",,0,7,9,35,1,13,""
"org.axonframework.eventhandling.GenericDomainEventMessage","GenericDomainEventMessage",3,"28,28,28",12,"1075,34,12,21",,0,9,10,21,17,6,""
"org.axonframework.eventhandling.GenericDomainEventEntry","GenericDomainEventEntry",12,"434,414,403",13,"436,1,43,7",,0,52,4,7,3,1,""
"org.axonframework.eventhandling.AbstractSequencedDomainEventEntry","AbstractSequencedDomainEventEntry",11,"255,255,255",13,"1439,309,43,7",,0,52,5,19,1,4,""
"org.axonframework.eventhandling.ResetNotSupportedException","ResetNotSupportedException",5,"229,98,98",7,"229,69,9,27",,0,28,4,96,3,1,""
"org.axonframework.eventhandling.GlobalSequenceTrackingToken","GlobalSequenceTrackingToken",9,"405,506,506",13,"406,248,27,30",,0,70,7,0,6,2,""
"org.axonframework.eventhandling.LoggingErrorHandler","LoggingErrorHandler",1,"644,594,594",2,"1161,113,37,3",,0,2,7,50,4,3,""
"org.axonframework.eventhandling.MergedTrackingToken","MergedTrackingToken",9,"343,506,506",9,"1117,248,27,30",,0,63,6,71,4,2,""
"org.axonframework.eventhandling.MultiEventHandlerInvoker","MultiEventHandlerInvoker",8,"644,594,594",3,"1119,55,0,3",,0,2,5,41,1,4,""
"org.axonframework.eventhandling.ReplayToken","ReplayToken",9,"343,506,506",9,"1117,248,27,30",,0,63,9,18,10,5,""
"org.axonframework.eventhandling.MultiSourceTrackingToken","MultiSourceTrackingToken",9,"343,506,506",9,"1117,248,27,30",,0,63,4,22,2,2,""
"org.axonframework.eventhandling.MultiStreamableMessageSource$Builder","MultiStreamableMessageSource$Builder",9,"363,506,506",9,"1121,30,27,30",,0,63,6,28,3,5,""
"org.axonframework.eventhandling.MultiStreamableMessageSource$IdentifiedStreamableMessageSource","MultiStreamableMessageSource$IdentifiedStreamableMessageSource",9,"363,506,506",9,"1121,30,27,30",,0,63,6,80,3,4,""
"org.axonframework.eventhandling.MultiStreamableMessageSource","MultiStreamableMessageSource",9,"363,506,506",9,"1121,30,27,30",,0,63,6,68,3,9,""
"org.axonframework.eventhandling.MultiStreamableMessageSource$MultiSourceBlockingStream","MultiStreamableMessageSource$MultiSourceBlockingStream",9,"1123,506,506",9,"1123,30,27,30",,0,57,5,61,1,6,""
"org.axonframework.eventhandling.MultiStreamableMessageSource$SourceIdAwareBlockingStream","MultiStreamableMessageSource$SourceIdAwareBlockingStream",9,"1123,506,506",9,"1123,30,27,30",,0,57,4,51,2,2,""
"org.axonframework.eventhandling.RemovedTrackerStatus","RemovedTrackerStatus",9,"506,506,506",9,"506,248,27,30",,0,45,4,25,2,2,""
"org.axonframework.eventhandling.ListenerInvocationErrorHandler","ListenerInvocationErrorHandler",8,"644,594,594",3,"849,55,0,3",,0,2,9,3,15,2,""
"org.axonframework.eventhandling.WrappedToken","WrappedToken",9,"343,506,506",9,"1117,248,27,30",,0,63,6,78,8,1,""
"org.axonframework.messaging.StreamableMessageSource","StreamableMessageSource",8,"644,594,594",3,"849,55,0,3",,0,2,10,14,18,3,""
"org.axonframework.eventhandling.ReplayStatus","ReplayStatus",3,"903,28,28",5,"903,76,69,11",,0,107,2,11,2,,""
"org.axonframework.eventhandling.ResetHandler","ResetHandler",3,"28,28,28",5,"28,76,69,11",,0,7,2,46,,2,""
"org.axonframework.eventhandling.SequenceNumber","SequenceNumber",3,"28,28,28",5,"1439,76,69,11",,0,9,1,98,1,,""
"org.axonframework.eventhandling.SubscribingEventProcessor$Builder","SubscribingEventProcessor$Builder",8,"644,594,594",3,"1126,55,0,3",,0,2,10,70,2,17,""
"org.axonframework.eventhandling.SubscribingEventProcessor","SubscribingEventProcessor",8,"644,594,594",3,"1126,55,0,3",,0,2,10,43,3,13,""
"org.axonframework.eventhandling.TimestampParameterResolverFactory$TimestampParameterResolver","TimestampParameterResolverFactory$TimestampParameterResolver",1,"28,28,28",5,"28,76,69,11",,0,9,4,58,1,3,""
"org.axonframework.eventhandling.TrackerStatus","TrackerStatus",9,"506,506,506",9,"506,248,27,30",,0,45,9,7,12,6,""
"org.axonframework.eventhandling.TrackingEventProcessor$1","TrackingEventProcessor$1",9,"506,506,506",9,"506,248,27,30",,0,45,4,12,3,1,""
"org.axonframework.eventhandling.TrackingEventProcessor","TrackingEventProcessor",9,"506,506,506",9,"506,248,27,30",,0,45,10,20,10,41,""
"org.axonframework.eventhandling.TrackingEventProcessor$Builder","TrackingEventProcessor$Builder",8,"644,594,594",9,"506,248,27,30",,0,2,10,64,2,18,""
"org.axonframework.eventhandling.TrackingEventProcessor$ClaimSegmentInstruction","TrackingEventProcessor$ClaimSegmentInstruction",9,"506,506,506",9,"506,248,27,30",,0,45,4,66,1,3,""
"org.axonframework.eventhandling.TrackingEventProcessor$Instruction","TrackingEventProcessor$Instruction",9,"506,506,506",9,"506,248,27,30",,0,45,6,55,5,5,""
"org.axonframework.eventhandling.TrackingEventProcessor$MergeSegmentInstruction","TrackingEventProcessor$MergeSegmentInstruction",9,"506,506,506",9,"506,248,27,30",,0,45,6,77,1,6,""
"org.axonframework.eventhandling.TrackingEventProcessor$SplitSegmentInstruction","TrackingEventProcessor$SplitSegmentInstruction",9,"506,506,506",9,"506,248,27,30",,0,45,6,62,1,5,""
"org.axonframework.eventhandling.TrackingEventProcessor$TrackingSegmentWorker","TrackingEventProcessor$TrackingSegmentWorker",9,"506,506,506",9,"506,248,27,30",,0,45,6,62,2,9,""
"org.axonframework.eventhandling.TrackingEventProcessor$WorkerLauncher","TrackingEventProcessor$WorkerLauncher",9,"506,506,506",9,"506,248,27,30",,0,45,8,13,2,16,""
"org.axonframework.eventhandling.TrackingEventProcessor$WrappedMessageStream","TrackingEventProcessor$WrappedMessageStream",9,"1123,506,506",9,"1123,30,27,30",,0,57,4,89,1,3,""
"org.axonframework.eventhandling.SequenceNumberParameterResolverFactory$SequenceNumberParameterResolver","SequenceNumberParameterResolverFactory$SequenceNumberParameterResolver",3,"28,28,28",5,"1439,76,69,11",,0,9,4,31,1,3,""
"org.axonframework.eventhandling.SimpleEventBus$Builder","SimpleEventBus$Builder",7,"370,782,782",5,"739,30,27,30",,0,68,9,36,4,7,""
"org.axonframework.eventhandling.SimpleEventBus","SimpleEventBus",7,"370,782,782",5,"739,30,27,30",,0,68,7,67,4,3,""
"org.axonframework.eventhandling.SimpleEventHandlerInvoker","SimpleEventHandlerInvoker",1,"644,594,594",2,"1161,113,37,3",,0,2,9,26,4,8,""
"org.axonframework.eventhandling.Timestamp","Timestamp",1,"28,28,28",5,"28,76,69,11",,0,9,1,97,1,,""
"org.axonframework.eventhandling.TrackedDomainEventData","TrackedDomainEventData",12,"443,414,403",13,"456,31,43,7",,0,52,8,35,5,4,""
"org.axonframework.eventhandling.SimpleEventHandlerInvoker$Builder","SimpleEventHandlerInvoker$Builder",1,"644,594,594",2,"1161,113,37,3",,0,2,9,32,4,11,""
"org.axonframework.eventhandling.tokenstore.TokenStore","TokenStore",9,"506,506,506",9,"506,248,27,30",,0,45,10,70,29,5,""
