"rootProjectName","moduleName","numberOfElements","numberOfGitCommits","incomingDependencies","outgoingDependencies","Source Cypher File: Internal_Dependencies/List_all_Typescript_modules.cypher"
"react-router-7.13.0","config",4,0,5,0,""
"react-router-7.13.0","invariant",1,0,0,0,""
"react-router-7.13.0","manifest",2,0,2,0,""
"react-router-7.13.0","routes",8,0,9,0,""
"react-router-7.13.0","vite",2,0,0,0,""
"react-router-7.13.0","commands",5,0,5,15,""
"react-router-7.13.0","detectPackageManager",1,0,1,1,""
"react-router-7.13.0","run",1,0,0,9,""
"react-router-7.13.0","useJavascript",1,0,1,6,""
"react-router-7.13.0","config",12,0,16,37,""
"react-router-7.13.0","format",4,0,1,0,""
"react-router-7.13.0","is-react-router-repo",1,0,2,5,""
"react-router-7.13.0","routes",15,0,25,28,""
"react-router-7.13.0","context",2,0,3,0,""
"react-router-7.13.0","generate",5,0,5,24,""
"react-router-7.13.0","typegen",3,0,4,10,""
"react-router-7.13.0","params",1,0,1,0,""
"react-router-7.13.0","route",2,0,2,0,""
"react-router-7.13.0","babel",2,0,8,1,""
"react-router-7.13.0","build",2,0,1,8,""
"react-router-7.13.0","cache",2,0,3,0,""
"react-router-7.13.0","cloudflare-dev-proxy",1,0,1,15,""
"react-router-7.13.0","cloudflare",1,0,0,0,""
"react-router-7.13.0","combine-urls",1,0,1,0,""
"react-router-7.13.0","dev",2,0,1,11,""
"react-router-7.13.0","has-dependency",1,0,2,1,""
"react-router-7.13.0","has-rsc-plugin",1,0,2,3,""
"react-router-7.13.0","load-dotenv",1,0,2,4,""
"react-router-7.13.0","node-adapter",2,0,2,5,""
"react-router-7.13.0","optimize-deps-entries",1,0,2,3,""
"react-router-7.13.0","plugin",17,0,9,150,""
"react-router-7.13.0","profiler",3,0,5,9,""
"react-router-7.13.0","remove-exports",1,0,2,30,""
"react-router-7.13.0","resolve-file-url",1,0,2,5,""
"react-router-7.13.0","resolve-relative-route-file-path",1,0,2,3,""
"react-router-7.13.0","route-chunks",12,0,8,310,""
"react-router-7.13.0","ssr-externals",1,0,2,0,""
"react-router-7.13.0","styles",4,0,3,22,""
"react-router-7.13.0","virtual-module",1,0,2,0,""
"react-router-7.13.0","vite-node",2,0,2,13,""
"react-router-7.13.0","vite",2,0,15,5,""
"react-router-7.13.0","with-props",1,0,1,29,""
"react-router-7.13.0","validate-plugin-order",1,0,2,3,""
"react-router-7.13.0","warn-on-client-source-maps",1,0,2,12,""
"react-router-7.13.0","plugin",1,0,1,54,""
"react-router-7.13.0","virtual-route-config",1,0,1,4,""
"react-router-7.13.0","virtual-route-modules",4,0,4,6,""
"react-router-7.13.0","react-router-cloudflare",6,0,5,0,""
"react-router-7.13.0","worker",5,0,5,18,""
"react-router-7.13.0","workersKVStorage",1,0,1,5,""
"react-router-7.13.0","react-router-node",7,0,2,0,""
"react-router-7.13.0","server",2,0,2,3,""
"react-router-7.13.0","stream",4,0,4,11,""
"react-router-7.13.0","fileStorage",2,0,1,9,""
"react-router-7.13.0","binaryTypes",1,0,1,0,""
"react-router-7.13.0","react-router-architect",4,0,3,0,""
"react-router-7.13.0","server",6,0,3,22,""
"react-router-7.13.0","arcTableSessionStorage",1,0,1,6,""
"react-router-7.13.0","flatRoutes",13,0,1,15,""
"react-router-7.13.0","react-router-fs-routes",1,0,0,5,""
"react-router-7.13.0","manifest",3,0,3,0,""
"react-router-7.13.0","normalizeSlashes",1,0,2,3,""
"react-router-7.13.0","react-router-express",3,0,3,0,""
"react-router-7.13.0","server",6,0,3,18,""
"react-router-7.13.0","dom-export",7,0,19,0,""
"react-router-7.13.0","react-router",5,0,9,4,""
"react-router-7.13.0","react-router",39,0,110,4,""
"react-router-7.13.0","react-router",169,0,364,13,""
"react-router-7.13.0","actions",1,0,3,0,""
"react-router-7.13.0","context",27,0,25,12,""
"react-router-7.13.0","errors",4,0,2,0,""
"react-router-7.13.0","href",1,0,2,0,""
"react-router-7.13.0","dom",14,0,6,0,""
"react-router-7.13.0","global",2,0,0,0,""
"react-router-7.13.0","data",1,0,0,0,""
"react-router-7.13.0","entry",5,0,11,0,""
"react-router-7.13.0","errors",1,0,1,0,""
"react-router-7.13.0","fog-of-war",6,0,3,5,""
"react-router-7.13.0","invariant",1,0,0,0,""
"react-router-7.13.0","links",8,0,0,9,""
"react-router-7.13.0","markup",1,0,1,0,""
"react-router-7.13.0","routeModules",21,0,27,6,""
"react-router-7.13.0","history",25,0,37,0,""
"react-router-7.13.0","instrumentation",9,0,14,0,""
"react-router-7.13.0","links",3,0,6,0,""
"react-router-7.13.0","router",33,0,52,1,""
"react-router-7.13.0","utils",85,0,166,0,""
"react-router-7.13.0","route-modules",2,0,0,0,""
"react-router-7.13.0","server",21,0,38,19,""
"react-router-7.13.0","browser",1,0,1,0,""
"react-router-7.13.0","server",1,0,0,0,""
"react-router-7.13.0","build",5,0,11,0,""
"react-router-7.13.0","cookies",6,0,19,4,""
"react-router-7.13.0","crypto",2,0,2,0,""
"react-router-7.13.0","data",2,0,7,0,""
"react-router-7.13.0","dev",3,0,4,2,""
"react-router-7.13.0","entry",1,0,1,0,""
"react-router-7.13.0","errors",5,0,5,0,""
"react-router-7.13.0","headers",2,0,3,1,""
"react-router-7.13.0","invariant",1,0,0,0,""
"react-router-7.13.0","mode",2,0,5,0,""
"react-router-7.13.0","routeMatching",2,0,2,0,""
"react-router-7.13.0","routes",4,0,6,9,""
"react-router-7.13.0","server",3,0,4,0,""
"react-router-7.13.0","serverHandoff",2,0,2,0,""
"react-router-7.13.0","sessions",11,0,3,10,""
"react-router-7.13.0","single-fetch",8,0,5,4,""
"react-router-7.13.0","warnings",1,0,2,0,""
"react-router-7.13.0","cookieStorage",1,0,2,2,""
"react-router-7.13.0","memoryStorage",1,0,2,1,""
"react-router-7.13.0","future",2,0,3,0,""
"react-router-7.13.0","internal",2,0,0,0,""
