"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated_Value_Descending.cypher"
"axon-messaging-4.11.0","axon-messaging-4.11.0","centralityHarmonic",1,""
"axon-modelling-4.11.0","axon-modelling-4.11.0","centralityHarmonic",0.75,""
"axon-eventsourcing-4.11.0","axon-eventsourcing-4.11.0","centralityHarmonic",0.625,""
"axon-configuration-4.11.0","axon-configuration-4.11.0","centralityHarmonic",0.25,""
"axon-disruptor-4.11.0","axon-disruptor-4.11.0","centralityHarmonic",0.25,""
"axon-server-connector-4.11.0","axon-server-connector-4.11.0","centralityHarmonic",0.125,""
"axon-test-4.11.0","axon-test-4.11.0","centralityHarmonic",0.125,""
"axon-tracing-opentelemetry-4.11.0","axon-tracing-opentelemetry-4.11.0","centralityHarmonic",0.125,""
"axon-spring-boot-autoconfigure-4.11.0","axon-spring-boot-autoconfigure-4.11.0","centralityHarmonic",0,""
