"directoryPath","directoryName","directoryParentPath","directoryParentName","mainAuthor","secondAuthor","thirdAuthor","authorCount","fileCount","commitCount","lastCreationDate","lastModificationDate","lastCommitDate","daysSinceLastCommit","daysSinceLastCreation","daysSinceLastModification","maxCommitSha","maxFileRelativePath","directoryPathLength","combinedDirectoriesCount","Source Cypher File: GitLog/List_git_file_directories_with_commit_statistics.cypher"
"AxonFramework-5.0.3","AxonFramework-5.0.3","","","Steven van Beelen","Allard Buijze","Mitchell Herrijgers",117,2771,6350,"2026-03-02","2026-03-06","2026-03-06",52,55,51,"fff5f9f26176f13bcd2824e006f71d61da2ac8b1","AxonFramework-5.0.3/update/src/test/resources/META-INF/maven/org.axonframework/axon-modelling/pom.properties",1,1,""
"AxonFramework-5.0.3/.github",".github","AxonFramework-5.0.3","AxonFramework-5.0.3","Steven van Beelen","dependabot[bot]","Mitchell Herrijgers",27,16,708,"2025-12-01","2026-02-23","2026-02-23",63,146,62,"ffdb987d127fe126d7d345fa72b94c51bdb220cf","AxonFramework-5.0.3/.github/workflows/slack-release-notification.yml",2,1,""
"AxonFramework-5.0.3/.github/ISSUE_TEMPLATE","ISSUE_TEMPLATE","AxonFramework-5.0.3/.github",".github","Steven van Beelen","Mitchell Herrijgers","Allard Buijze",7,4,61,"2025-08-13","2026-02-23","2026-02-23",63,256,62,"fa509a0b37d60e0d49b0a95686836dc59e5dc146","AxonFramework-5.0.3/.github/ISSUE_TEMPLATE/4_documentation_change.md",3,1,""
"AxonFramework-5.0.3/.github/workflows","workflows","AxonFramework-5.0.3/.github",".github","Steven van Beelen","dependabot[bot]","Mitchell Herrijgers",27,8,682,"2025-12-01","2026-02-23","2026-02-23",63,146,62,"ffdb987d127fe126d7d345fa72b94c51bdb220cf","AxonFramework-5.0.3/.github/workflows/slack-release-notification.yml",3,1,""
"AxonFramework-5.0.3/.idea",".idea","AxonFramework-5.0.3","AxonFramework-5.0.3","Steven van Beelen","Mitchell Herrijgers","Allard Buijze",6,4,66,"2025-12-16","2025-12-16","2026-02-23",63,131,131,"fe926a4970bdf1e538e8e7fb8d147ffdc676e713","AxonFramework-5.0.3/.idea/inspectionProfiles/Project_Default.xml",2,1,""
"AxonFramework-5.0.3/.idea/copyright","copyright","AxonFramework-5.0.3/.idea",".idea","Steven van Beelen","Allard Buijze","Jan Galinski",3,1,28,"2025-01-09","2025-01-09","2026-02-23",63,472,472,"fe926a4970bdf1e538e8e7fb8d147ffdc676e713","AxonFramework-5.0.3/.idea/copyright/Axon_Framework_copyright_template.xml",3,1,""
"AxonFramework-5.0.3/.idea/inspectionProfiles","inspectionProfiles","AxonFramework-5.0.3/.idea",".idea","Steven van Beelen","Mitchell Herrijgers","Allard Buijze",6,1,53,"2025-01-09","2025-08-22","2026-02-23",63,472,247,"fe926a4970bdf1e538e8e7fb8d147ffdc676e713","AxonFramework-5.0.3/.idea/inspectionProfiles/Project_Default.xml",3,1,""
"AxonFramework-5.0.3/.mvn/wrapper",".mvn/wrapper","AxonFramework-5.0.3","AxonFramework-5.0.3","Steven van Beelen","Jan Galinski","Allard Buijze",13,2,96,"2018-07-15","2026-02-23","2026-02-23",63,2842,62,"f89c41adfbfda2656db9987aaa87525f17308740","AxonFramework-5.0.3/.mvn/wrapper/maven-wrapper.properties",3,2,""
"AxonFramework-5.0.3/.run",".run","AxonFramework-5.0.3","AxonFramework-5.0.3","Steven van Beelen","Simon Zambrovski","Jan Galinski",3,2,10,"2025-11-28","2025-11-28","2026-02-23",63,149,149,"e5ef80fb51d51f626a32d37be0a02c4596864da5","AxonFramework-5.0.3/.run/Example.run.xml",2,1,""
"AxonFramework-5.0.3/axon-5","axon-5","AxonFramework-5.0.3","AxonFramework-5.0.3","Steven van Beelen","Mitchell Herrijgers","Simon Zambrovski",8,9,680,"2024-01-03","2026-02-26","2026-02-26",60,844,59,"ff99ea6ad4081bfbf75e91e533004bd112f36696","AxonFramework-5.0.3/axon-5/reactive-native.md",2,1,""
"AxonFramework-5.0.3/axon-framework-bom","axon-framework-bom","AxonFramework-5.0.3","AxonFramework-5.0.3","Steven van Beelen","Allard Buijze","Simon Zambrovski",4,1,29,"2025-11-17","2026-03-06","2026-03-06",52,160,51,"fbd1ff331f71beea08fe018d000965e68a62b7c5","AxonFramework-5.0.3/axon-framework-bom/pom.xml",2,1,""
"AxonFramework-5.0.3/axon-server-connector/src","axon-server-connector/src","AxonFramework-5.0.3","AxonFramework-5.0.3","Steven van Beelen","Allard Buijze","Mitchell Herrijgers",25,58,894,"2026-01-05","2026-02-26","2026-02-26",60,111,59,"ffa09b102716aa57ebdee51492cc09b076ed9f27","AxonFramework-5.0.3/axon-server-connector/src/test/resources/junit-platform.properties",3,2,""
"AxonFramework-5.0.3/axon-server-connector/src/main","main","AxonFramework-5.0.3/axon-server-connector/src","src","Steven van Beelen","Allard Buijze","Mitchell Herrijgers",16,31,691,"2025-11-06","2026-02-23","2026-02-23",63,171,62,"ff444d0fecd3a54da633c9d7ed396973f6f4f642","AxonFramework-5.0.3/axon-server-connector/src/main/resources/META-INF/services/org.axonframework.common.configuration.ConfigurationEnhancer",4,1,""
