"internalModuleName","externalNamespaceName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: External_Dependencies/External_namespace_usage_per_internal_module_sorted_for_Typescript.cypher"
"vite","no namespace",129,229,4,133,25,3325,"ResolvedConfig.root,ViteDevServer,DevEnvironment.reloadModule,rm,UserConfig.server,.pathToFileURL,Logger.warn,Plugin,EnvironmentOptions,ResolvedConfig.configFile,rename,ModuleNode.url,PluginContext.resolve,DevEnvironment.name,UserConfig.root,ConfigEnv.isSsrBuild,Hash.digest,ViteDevServer.environments,HotUpdatePluginContext.environment,Dirent.name,PreviewServer,ViteDevServer.ssrLoadModule,picocolors,Hash.update,ConfigEnv.command,init,Dirent.isFile,ViteDevServer.transformRequest,ServerResponse.end,Logger.info,createHash,PreviewServer.middlewares,isRunnableDevEnvironment,Dirent.path,Plugin.name,Environment.config,ResolvedConfig.logger,readdir,ServerResponse.setHeader,ResolvedConfig.server,Environment.name,URL.href,ViteDevServer.config,ResolvedId.id,ViteBuilder.build,ManifestChunk.css,readFile,createLogger,ViteDevServer.pluginContainer,ResolvedConfig,UserConfig.build,cp,normalizePath,rmSync,EnvironmentOptions.optimizeDeps,ResolvedServerOptions.middlewareMode,ResolvedConfig.mode,ResolvedBuildOptions.assetsDir,Logger.error,ConfigEnv.mode,UserConfig.plugins,ViteDevServer.ssrFixStacktrace,ManifestChunk.file,HotBroadcaster.send,Connect.IncomingMessage.url,ViteDevServer.middlewares,DevEnvironment.moduleGraph,createServer,UserConfig.base,ResolvedConfig.command,Connect.Server.use,mkdir,loadConfigFromFile,UserConfig.logLevel,PluginContainer.buildStart,PluginContext.environment,ViteDevServer.hot,existsSync,ModuleNode.file,UserConfig.environments,ManifestChunk.assets,ResolvedConfig.build,ModuleRunner.import,readdirSync,ViteBuilder.environments,defaultClientConditions,RunnableDevEnvironment.runner,EnvironmentOptions.resolve,RollupLog.pos,dist,path.dirname,EnvironmentModuleGraph.getModulesByFile,isCSSRequest,EnvironmentModuleNode.id,DevEnvironment.pluginContainer,ResolvedBuildEnvironmentOptions.outDir,ResolvedConfig.base,ResolvedConfig.environments,EnvironmentModuleNode.file,join,relative,EnvironmentPluginContainer.transform,PluginOption,RollupLog.code,ResolvedEnvironmentOptions.build,resolve,RollupLog.message,path.normalize,RollupOptions.onwarn,TransformPluginContext.environment,BuildEnvironmentOptions.rollupOptions,node",""
"vite","@types",24,50,4,133,25,3325,"path.PlatformPath.relative,pick,GeneratorResult.code,transformAsync,path.PlatformPath.resolve,global.NodeJS.ProcessEnv.REACT_ROUTER_ROOT,global.NodeJS.Process.env,path.PlatformPath.basename,global.NodeJS.Process.cwd,GeneratorResult,jsesc,global.NodeJS.ProcessEnv.IS_RR_BUILD_REQUEST,BabelFileResult.code,path.PlatformPath.join,path.PlatformPath.posix,BabelFileResult.map,global.NodeJS.Process.exit,path.PlatformPath.dirname,global.Buffer.toString,global.NodeRequire.resolve",""
"remove-exports","@babel",17,58,1,23,4,2300,"ExportNamedDeclaration.specifiers,AssignmentExpression.left,VariableDeclarator.id,ExportSpecifier.local,ClassDeclaration.id,ParseResult,FunctionDeclaration.id,MemberExpression.object,ExportSpecifier.exported,ExportNamedDeclaration.declaration,Expression.type,VariableDeclaration.declarations,Identifier.name,ExportDefaultDeclaration.declaration,ExpressionStatement.expression,LVal.type,ExportDeclaration.type",""
"remove-exports","@types",4,24,1,23,4,2300,"NodePath.parentPath,NodePath.remove,NodePath.node,NodePath.isProgram",""
"remove-exports","no namespace",2,2,1,23,4,2300,"deadCodeElimination,findReferencedIdentifiers",""
"with-props","@types",11,23,1,21,4,2100,"NodePath.node,NodePath.replaceWith,NodePath.isVariableDeclaration,NodePath.isFunctionDeclaration,NodePath.isIdentifier,NodePath.isExpression,NodePath.isExportDefaultDeclaration,NodePath.scope,NodePath.isExportNamedDeclaration,NodePath.get,Scope.generateUidIdentifier",""
"with-props","@babel",10,14,1,21,4,2100,"importSpecifier,callExpression,identifier,Program.body,importDeclaration,variableDeclaration,ParseResult,ParseResult.program,variableDeclarator,stringLiteral",""
"cloudflare","no namespace",14,20,1,15,3,1500,"Plugin,EnvironmentOptions.resolve,ResolvedServerOptions.middlewareMode,GetPlatformProxyOptions,ViteDevServer.middlewares,ViteDevServer.ssrLoadModule,Plugin.name,ResolvedConfig.plugins,Connect.Server.use,UserConfig.root,ResolvedConfig.server,ConfigEnv.mode,ViteDevServer.config,EnvironmentResolveOptions.externalConditions",""
"cloudflare","@types",1,1,1,15,3,1500,"global.NodeJS.Process.cwd",""
"cloudflare-dev-proxy","no namespace",14,20,1,15,3,1500,"Plugin,EnvironmentOptions.resolve,ResolvedServerOptions.middlewareMode,GetPlatformProxyOptions,ViteDevServer.middlewares,ViteDevServer.ssrLoadModule,Plugin.name,ResolvedConfig.plugins,Connect.Server.use,UserConfig.root,ResolvedConfig.server,ConfigEnv.mode,ViteDevServer.config,EnvironmentResolveOptions.externalConditions",""
