"externalModuleNamespace","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: External_Dependencies/External_namespace_usage_spread_for_Typescript.cypher"
"no namespace",47,500,1,119,5,10.638297872340425,23.128587178335493,107,1,13,1,2.276595744680851,2.3747048114914473,0.7246376811594203,9.420289855072463,0.7246376811594203,1.6497070613629357,1.7208005880372805,"copy-template,create-react-router,prompts-confirm,prompts-multi-select",""
"@types",44,232,1,39,3,5.272727272727274,7.009507285751714,119,1,15,1,2.704545454545455,3.144426930112396,0.7246376811594203,10.869565217391305,0.7246376811594203,1.9598155467720684,2.2785702392118816,"create-react-router,loading-indicator,prompts-prompt-base,prompts-select",""
"@babel",5,51,2,17,10,10.2,6.418722614352486,6,1,2,1,1.2,0.4472135954999579,0.7246376811594203,1.4492753623188406,0.7246376811594203,0.8695652173913043,0.3240678228260565,"@react-router/useJavascript,@react-router/remove-exports,@react-router/route-chunks,@react-router/styles",""
"@cloudflare",3,44,4,22,18,14.666666666666668,9.451631252505218,10,1,5,4,3.333333333333333,2.0816659994661326,0.7246376811594203,3.6231884057971016,2.898550724637681,2.4154589371980677,1.5084536228015455,"@react-router/react-router-cloudflare,@react-router/worker,@react-router/workersKVStorage",""
"@architect",2,10,5,5,5,5,0,2,1,1,1,1,0,0.7246376811594203,0.7246376811594203,0.7246376811594203,0.7246376811594203,0,"@react-router/arcTableSessionStorage,@react-router/react-router-architect",""
"@mjackson",2,4,2,2,2,2,0,4,2,2,2,2,0,1.4492753623188406,1.4492753623188406,1.4492753623188406,1.4492753623188406,0,"@react-router/react-router-node,@react-router/server",""
