"externalModuleName","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: External_Dependencies/External_module_usage_spread_for_Typescript.cypher"
"node",21,241,1,81,3,11.476190476190476,22.653077158785834,32,1,8,1,1.5238095238095235,1.569045812557671,0.7194244604316546,5.755395683453237,0.7194244604316546,1.0962658444672833,1.1288099370918496,"@react-router/vite,@react-router/plugin,@react-router/commands,@react-router/config",""
"@types/process",17,39,1,5,2,2.294117647058823,1.5315313367000094,22,1,4,1,1.2941176470588238,0.7717436331412898,0.7194244604316546,2.8776978417266186,0.7194244604316546,0.9310198899703765,0.5552112468642372,"create-react-router,loading-indicator,prompts-prompt-base,utils",""
"dist",15,73,1,26,4,4.866666666666667,6.289068369192766,31,1,5,1,2.0666666666666664,1.4375905768565218,0.7194244604316546,3.597122302158273,0.7194244604316546,1.4868105515587529,1.0342378250766342,"react-router,cookies,sessions,@react-router/routes",""
"@types/path",13,41,1,7,2,3.1538461538461537,2.192645048267573,22,1,5,1,1.6923076923076923,1.1821319289469756,0.7194244604316546,3.597122302158273,0.7194244604316546,1.2174875484228003,0.850454625141709,"utils,@react-router/normalizeSlashes,@react-router/plugin,@react-router/vite",""
"node:fs",9,20,1,4,2,2.2222222222222223,0.9718253158075502,13,1,3,1,1.4444444444444444,0.8819171036881969,0.7194244604316546,2.158273381294964,0.7194244604316546,1.0391686650679457,0.6344727364663286,"utils,@react-router/plugin,@react-router/vite,@react-router/config",""
"picocolors",9,10,1,2,1,1.1111111111111114,0.33333333333333337,13,1,3,1,1.4444444444444444,0.7264831572567788,0.7194244604316546,2.158273381294964,0.7194244604316546,1.0391686650679457,0.5226497534221431,"utils,@react-router/vite,@react-router/plugin,@react-router/commands",""
"promises",8,30,1,7,3.5,3.7499999999999996,2.2519832529192065,16,1,4,1.5,2,1.3093073414159542,0.7194244604316546,2.8776978417266186,1.079136690647482,1.4388489208633093,0.9419477276373771,"utils,@react-router/vite,@react-router/plugin,@react-router/commands",""
"@types/globals",7,7,1,1,1,1,0,11,1,3,1,1.5714285714285714,0.7867957924694431,0.7194244604316546,2.158273381294964,0.7194244604316546,1.1305241521068858,0.5660401384672252,"@react-router/vite,@react-router/plugin,@react-router/commands,@react-router/run",""
"@types/babel__generator",6,9,1,2,1.5,1.5,0.5477225575051661,8,1,3,1,1.3333333333333333,0.816496580927726,0.7194244604316546,2.158273381294964,0.7194244604316546,0.9592326139088728,0.5874076121782201,"@react-router/plugin,@react-router/vite,@react-router/generate,@react-router/babel",""
"@types/buffer",6,11,1,3,2,1.8333333333333335,0.752772652709081,7,1,2,1,1.1666666666666665,0.408248290463863,0.7194244604316546,1.4388489208633093,0.7194244604316546,0.8393285371702638,0.29370380608911006,"@react-router/server,@react-router/plugin,@react-router/vite,@react-router/stream",""
"@types/react",6,34,1,12,4.5,5.666666666666667,4.179314138308661,38,1,14,4,6.333333333333333,5.715476066494082,0.7194244604316546,10.071942446043165,2.8776978417266186,4.5563549160671455,4.11185328524754,"react-router,context,server,fog-of-war",""
"node:path",6,6,1,1,1,1,0,11,1,3,1.5,1.8333333333333333,0.983192080250175,0.7194244604316546,2.158273381294964,1.079136690647482,1.3189448441247003,0.7073324318346583,"utils,@react-router/normalizeSlashes,@react-router/profiler,@react-router/prerender",""
"readline",6,10,1,4,1,1.6666666666666665,1.2110601416389966,6,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"prompts-confirm,prompts-multi-select,prompts-prompt-base,prompts-select",""
"sisteransi",6,27,3,7,4,4.5,1.378404875209022,6,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"prompts-confirm,prompts-multi-select,prompts-prompt-base,prompts-select",""
"@babel/lib",5,48,2,16,8,9.6,6.2289646009589745,6,1,2,1,1.2,0.4472135954999579,0.7194244604316546,1.4388489208633093,0.7194244604316546,0.8633093525179856,0.3217363996402575,"@react-router/useJavascript,@react-router/remove-exports,@react-router/route-chunks,@react-router/styles",""
"fs",5,13,2,3,3,2.6,0.5477225575051661,6,1,2,1,1.2,0.4472135954999579,0.7194244604316546,1.4388489208633093,0.7194244604316546,0.8633093525179856,0.3217363996402575,"utils,@react-router/plugin,@react-router/vite,@react-router/config",""
"http",5,9,1,2,2,1.8,0.4472135954999579,7,1,2,1,1.4,0.5477225575051662,0.7194244604316546,1.4388489208633093,0.7194244604316546,1.0071942446043165,0.3940450053994001,"@react-router/plugin,@react-router/vite,@react-router/node-adapter,@react-router/react-router-node",""
"@types/pick",4,4,1,1,1,1,0,6,1,3,1,1.5,1,0.7194244604316546,2.158273381294964,0.7194244604316546,1.079136690647482,0.7194244604316546,"@react-router/routes,@react-router/plugin,@react-router/vite,@react-router/config",""
"@cloudflare/workers-types",3,44,4,22,18,14.666666666666668,9.451631252505218,10,1,5,4,3.333333333333333,2.0816659994661326,0.7194244604316546,3.597122302158273,2.8776978417266186,2.398081534772182,1.4976014384648435,"@react-router/react-router-cloudflare,@react-router/worker,@react-router/workersKVStorage",""
"@types/babel__core",3,8,2,3,3,2.6666666666666665,0.5773502691896257,5,1,2,2,1.6666666666666667,0.5773502691896258,0.7194244604316546,1.4388489208633093,1.4388489208633093,1.199040767386091,0.41535990589181704,"@react-router/vite,@react-router/plugin,@react-router/useJavascript",""
"@types/babel__traverse",3,17,2,11,4,5.666666666666666,4.725815626252609,3,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"@react-router/remove-exports,@react-router/styles,@react-router/with-props",""
"lexer",3,3,1,1,1,1,0,5,1,2,2,1.6666666666666667,0.5773502691896258,0.7194244604316546,1.4388489208633093,1.4388489208633093,1.199040767386091,0.41535990589181704,"@react-router/vite,@react-router/plugin,@react-router/virtual-route-modules",""
"node:process",3,3,1,1,1,1,0,7,1,4,2,2.3333333333333335,1.5275252316519465,0.7194244604316546,2.8776978417266186,1.4388489208633093,1.6786570743405274,1.09893901557694,"create-react-router,prompts-prompt-base,utils",""
"node:url",3,4,1,2,1,1.3333333333333333,0.5773502691896257,3,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"copy-template,@react-router/plugin,@react-router/vite",""
"@architect/functions",2,4,2,2,2,2,0,2,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"@react-router/arcTableSessionStorage,@react-router/react-router-architect",""
"@architect/tables",2,6,3,3,3,3,0,2,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"@react-router/arcTableSessionStorage,@react-router/react-router-architect",""
"@babel/babel-parser",2,3,1,2,1.5,1.5,0.7071067811865476,2,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"@react-router/remove-exports,@react-router/with-props",""
"@mjackson/node-fetch-server",2,4,2,2,2,2,0,4,2,2,2,2,0,1.4388489208633093,1.4388489208633093,1.4388489208633093,1.4388489208633093,0,"@react-router/react-router-node,@react-router/server",""
"@types/api-gateway-proxy",2,17,3,14,8.5,8.5,7.7781745930520225,7,2,5,3.5,3.5,2.1213203435596424,1.4388489208633093,3.597122302158273,2.5179856115107913,2.5179856115107913,1.526129743568088,"@react-router/react-router-architect,@react-router/server",""
"@types/express",2,18,3,15,9,9,8.48528137423857,6,2,4,3,3,1.4142135623730951,1.4388489208633093,2.8776978417266186,2.158273381294964,2.158273381294964,1.0174198290453922,"@react-router/react-router-express,@react-router/server",""
"@types/express-serve-static-core",2,2,1,1,1,1,0,5,2,3,2.5,2.5,0.7071067811865476,1.4388489208633093,2.158273381294964,1.7985611510791366,1.7985611510791366,0.5087099145226961,"@react-router/react-router-express,@react-router/server",""
"@types/handler",2,4,2,2,2,2,0,2,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"@react-router/react-router-architect,@react-router/server",""
"@types/jsesc",2,2,1,1,1,1,0,2,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"@react-router/plugin,@react-router/vite",""
"@types/qs",2,2,1,1,1,1,0,5,2,3,2.5,2.5,0.7071067811865476,1.4388489208633093,2.158273381294964,1.7985611510791366,1.7985611510791366,0.5087099145226961,"@react-router/react-router-express,@react-router/server",""
"@types/stream",2,10,5,5,5,5,0,6,3,3,3,3,0,2.158273381294964,2.158273381294964,2.158273381294964,2.158273381294964,0,"@react-router/react-router-node,@react-router/stream",""
"async_hooks",2,2,1,1,1,1,0,8,4,4,4,4,0,2.8776978417266186,2.8776978417266186,2.8776978417266186,2.8776978417266186,0,"react-router,server",""
"cli",2,2,1,1,1,1,0,2,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"@react-router/cloudflare,@react-router/cloudflare-dev-proxy",""
"crypto",2,4,2,2,2,2,0,2,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"@react-router/plugin,@react-router/vite",""
"esm",2,6,1,5,3,3,2.8284271247461903,2,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"@react-router/config,@react-router/flatRoutes",""
"module-runner",2,2,1,1,1,1,0,2,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"@react-router/plugin,@react-router/vite",""
"node:crypto",2,2,1,1,1,1,0,2,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"@react-router/plugin,@react-router/vite",""
"rollup",2,16,8,8,8,8,0,5,2,3,2.5,2.5,0.7071067811865476,1.4388489208633093,2.158273381294964,1.7985611510791366,1.7985611510791366,0.5087099145226961,"@react-router/vite,@react-router/plugin",""
"url",2,2,1,1,1,1,0,2,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"@react-router/plugin,@react-router/vite",""
"@types/APIGatewayProxyEventHeaders.""content-type",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"@react-router/server",""
"@types/APIGatewayProxyEventHeaders.""x-forwarded-host",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"@react-router/server",""
"@types/events",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"prompts-prompt-base",""
"@types/isEqual",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"@react-router/config",""
"@types/kebabCase",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"@react-router/plugin",""
"@types/semver",1,2,2,2,2,2,0,1,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"@react-router/run",""
"@types/timers",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"prompts-select",""
"arg",1,2,2,2,2,2,0,1,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"@react-router/run",""
"arg.Result.""--no-typescript",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"@react-router/run",""
"exit-hook",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"@react-router/commands",""
"inspector",1,4,4,4,4,4,0,3,3,3,3,3,0,2.158273381294964,2.158273381294964,2.158273381294964,2.158273381294964,0,"@react-router/profiler",""
"node:child_process",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"@react-router/config",""
"node:readline",1,3,3,3,3,3,0,1,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"prompts-prompt-base",""
"p-map",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"@react-router/prerender",""
"prettier",1,2,2,2,2,2,0,1,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"@react-router/useJavascript",""
"server",1,4,4,4,4,4,0,2,2,2,2,2,0,1.4388489208633093,1.4388489208633093,1.4388489208633093,1.4388489208633093,0,"@react-router/vite-node",""
"types",1,1,1,1,1,1,0,1,1,1,1,1,0,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7194244604316546,0,"utils",""
