"externalNamespaceName","numberOfExternalCallerModules","numberOfExternalCallerElements","numberOfExternalDeclarationCalls","numberOfExternalDeclarationCallsWeighted","allModules","allInternalElements","exampleStories","Source Cypher File: External_Dependencies/External_namespace_usage_overall_for_Typescript.cypher"
"@remix-run",4,37,195,261,4,89,"<mapRouteProperties> of module <react-router> imports <UNSAFE_warning> from external namespace <@remix-run>,<PatchRoutesOnNavigationFunction> of module <react-router> imports <AgnosticPatchRoutesOnNavigationFunctionArgs> from external namespace <@remix-run>,<createMemoryRouter> of module <react-router> imports <createMemoryHistory> from external namespace <@remix-run>,<createMemoryRouter> of module <react-router> imports <Router.initialize> from external namespace <@remix-run>",""
"@types",4,35,111,167,4,89,"<mapRouteProperties> of module <react-router> imports <React.createElement> from external namespace <@types>,<useLinkClickHandler> of module <react-router-dom> imports <React.MouseEvent.preventDefault> from external namespace <@types>,<useLinkClickHandler> of module <react-router-dom> imports <React.MouseEvent> from external namespace <@types>,<useLinkClickHandler> of module <react-router-dom> imports <React.useCallback> from external namespace <@types>",""
"@ungap",1,2,2,4,4,89,"<createSearchParams> of module <react-router-native> imports <url-search-params> from external namespace <@ungap>,<useSearchParams> of module <react-router-native> imports <url-search-params> from external namespace <@ungap>",""
