"externalModuleName","numberOfExternalCallerModules","numberOfExternalCallerElements","numberOfExternalDeclarationCalls","numberOfExternalDeclarationCallsWeighted","allModules","allInternalElements","exampleStories","Source Cypher File: External_Dependencies/External_module_usage_overall_for_Typescript.cypher"
"node",22,28,272,404,137,627,"<reactRouterRSCVitePlugin> of module <vite> imports <BuildEnvironmentOptions.rollupOptions> from external module <node>,<reactRouterRSCVitePlugin> of module <vite> imports <Logger.error> from external module <node>,<reactRouterRSCVitePlugin> of module <vite> imports <PluginOption> from external module <node>,<reactRouterRSCVitePlugin> of module <vite> imports <ResolvedConfig.base> from external module <node>",""
"@types/process",17,20,42,104,137,627,"<createReactRouterRequest> of module <server> imports <global.NodeJS.ProcessEnv.ARC_SANDBOX> from external module <process>,<createReactRouterRequest> of module <server> imports <global.NodeJS.Process.env> from external module <process>,<Context> of module <create-react-router> imports <global.NodeJS.WriteStream> from external module <process>,<Context> of module <create-react-router> imports <global.NodeJS.ReadStream> from external module <process>",""
"dist",17,26,98,300,137,627,"<CookieOptions> of module <react-router> imports <SerializeOptions> from external module <dist>,<CookieOptions> of module <react-router> imports <ParseOptions> from external module <dist>,<CookieOptions> of module <cookies> imports <SerializeOptions> from external module <dist>,<CookieOptions> of module <cookies> imports <ParseOptions> from external module <dist>",""
"@types/path",13,19,52,106,137,627,"<getDirectoryFilesRecursive> of module <utils> imports <path.PlatformPath.sep> from external module <path>,<stripDirectoryFromPath> of module <utils> imports <path.PlatformPath.sep> from external module <path>,<createFileSessionStorage> of module <fileStorage> imports <path.PlatformPath.dirname> from external module <path>,<createFileSessionStorage> of module <react-router-node> imports <path.PlatformPath.dirname> from external module <path>",""
"@types/globals",8,9,11,15,137,627,"<reactRouterRSCVitePlugin> of module <vite> imports <global.NodeRequire.resolve> from external module <globals>,<reactRouterRSCVitePlugin> of module <plugin> imports <global.NodeRequire.resolve> from external module <globals>,<reactRouterVitePlugin> of module <vite> imports <global.NodeRequire.resolve> from external module <globals>,<reactRouterVitePlugin> of module <plugin> imports <global.NodeRequire.resolve> from external module <globals>",""
"node:fs",8,10,23,38,137,627,"<directoryExists> of module <utils> imports <node:fs> from external module <node:fs>,<directoryExists> of module <utils> imports <.promises> from external module <node:fs>,<fileExists> of module <utils> imports <.promises> from external module <node:fs>,<fileExists> of module <utils> imports <node:fs> from external module <node:fs>",""
"picocolors",8,9,12,35,137,627,"<reactRouterRSCVitePlugin> of module <vite> imports <picocolors> from external module <picocolors>,<reactRouterRSCVitePlugin> of module <plugin> imports <picocolors> from external module <picocolors>,<reactRouterVitePlugin> of module <vite> imports <picocolors> from external module <picocolors>,<reactRouterVitePlugin> of module <plugin> imports <picocolors> from external module <picocolors>",""
"promises",8,12,34,56,137,627,"<directoryExists> of module <utils> imports <.stat> from external module <promises>,<fileExists> of module <utils> imports <.stat> from external module <promises>,<getDirectoryFilesRecursive> of module <utils> imports <readdir> from external module <promises>,<ensureDirectory> of module <utils> imports <.mkdir> from external module <promises>",""
"@types/react",7,24,91,604,137,627,"<AwaitContextProvider> of module <react-router> imports <React.FunctionComponentElement> from external module <react>,<AwaitContextProvider> of module <react-router> imports <React.Context.Provider> from external module <react>,<AwaitContextProvider> of module <react-router> imports <React.ProviderProps> from external module <react>,<AwaitContextProvider> of module <react-router> imports <React.createElement> from external module <react>",""
"@types/babel__generator",6,7,12,14,137,627,"<reactRouterVitePlugin> of module <vite> imports <GeneratorResult> from external module <babel__generator>,<reactRouterVitePlugin> of module <vite> imports <GeneratorResult.code> from external module <babel__generator>,<reactRouterVitePlugin> of module <plugin> imports <GeneratorResult> from external module <babel__generator>,<reactRouterVitePlugin> of module <plugin> imports <GeneratorResult.code> from external module <babel__generator>",""
