"fileDistanceAsFewestChangeDirectoryCommands","numberOfDependencies","numberOfDependencyUsers","numberOfDependencyProviders","examples","Source Cypher File: Internal_Dependencies/Set_file_distance_as_shortest_contains_path_for_dependencies.cypher"
0,2090,863,904,"/axon-spring-boot-autoconfigure-5.0.2.jar uses /axon-test-5.0.2.jar,/org/axonframework/test/fixture uses /org/axonframework/test/util,/org/axonframework/test/fixture uses /org/axonframework/test/matchers,/org/axonframework/test/fixture/AxonTestPhase.class uses /org/axonframework/test/fixture/AxonTestPhase$Then.class",""
1,96,82,41,"/org/axonframework/test/matchers uses /org/axonframework/test,/org/axonframework/test/fixture uses /org/axonframework/test,/org/axonframework/update uses /org/axonframework/update/detection,/org/axonframework/update uses /org/axonframework/update/common",""
2,2059,609,411,"/org/axonframework/test/fixture/AxonTestFixture$Customization.class uses /org/axonframework/test/matchers/FieldFilter.class,/org/axonframework/test/fixture/CommandValidator.class uses /org/axonframework/test/matchers/FieldFilter.class,/org/axonframework/test/fixture/AxonTestFixture$Customization.class uses /org/axonframework/test/matchers/IgnoreField.class,/org/axonframework/test/fixture/CommandValidator.class uses /org/axonframework/test/util/RecordingCommandBus.class",""
4,2073,666,317,"/org/axonframework/extension/springboot/service/connection uses /org/axonframework/test/server,/org/axonframework/extension/springboot/service/connection/AxonServerTestContainerConnectionDetailsFactory.class uses /org/axonframework/test/server/AxonServerContainer.class,/org/axonframework/extension/springboot/service/connection/AxonServerTestContainerConnectionDetailsFactory$AxonServerContainerConnectionDetails.class uses /org/axonframework/test/server/AxonServerContainer.class,/org/axonframework/extension/springboot/autoconfig uses /org/axonframework/update",""
