"nodeLabels","nodesWithThatLabels","nodesWithThatLabelsPercent","Source Cypher File: Overview/Node_label_combination_count.cypher"
"Git,Update,Change",56280,27.604473219540903,""
"Type,TS,NotIdentified",54204,26.586227192466154,""
"Git,Change,Create",16884,8.281341965862273,""
"Type,TS,Declared",11187,5.487051206592113,""
"Git,Commit",10639,5.2182656464587005,""
"Type,TS,Primitive",9037,4.432509319207377,""
"Git,Change,Delete",8904,4.367274867569158,""
"File,Git",6162,3.022366097704532,""
"Type,TS,Union",5555,2.724641946242888,""
"Type,TS,Literal",3383,1.6593093976849125,""
"Git,Change,Rename",2850,1.3978811065332548,""
"Json,Key",1912,0.9378065528742396,""
"Type,TS,ObjectMember",1906,0.9348636452815381,""
"Json,Value,Scalar",1657,0.8127329801844222,""
"Type,Object,TS",1528,0.749460466941338,""
"Author,Git,Person",1285,0.6302727094369237,""
"Git,Tag",1202,0.589562487737885,""
"TS,Parameter",1142,0.5601334118108692,""
"TS,ExternalDeclaration",1008,0.494408475573867,""
"NPM,Dependency",873,0.4281930547380812,""
"TS,Property",596,0.29232882087502454,""
"TS,Function",553,0.27123798312732983,""
"Type,TS,FunctionParameter",470,0.23052776142829115,""
"Json,Value,Object",406,0.19913674710614085,""
"Type,TS,Function",400,0.1961938395134393,""
"Committer,Git,Person",361,0.17706494016087895,""
"TS,TypeAlias",332,0.1628408867961546,""
"TS,Variable",264,0.1294879340788699,""
"Value,TS,Declared",242,0.11869727290563076,""
"TS,TypeParameter",227,0.11134000392387679,""
"Value,TS,Literal",226,0.11084951932509318,""
"NPM,Script",221,0.10839709633117521,""
"TS,ExternalModule",178,0.08730625858348048,""
"Type,TS,TypeParameterReference",171,0.08387286639199529,""
"Type,TS,Intersection",169,0.08289189719442809,""
"File,TS,Local,Module",155,0.07602511281145773,""
"TS,Interface",142,0.06964881302727094,""
"TS,Method",121,0.05934863645281538,""
"Value,TS,Call",100,0.049048459878359825,""
"Value,TS,Member",95,0.04659603688444183,""
"Value,TS,ObjectMember",95,0.04659603688444183,""
"Value,TS,Function",89,0.04365312929174024,""
"Value,TS,Complex",88,0.043162644692956637,""
"File,Directory",73,0.03580537571120267,""
"Git,Change,Copy",72,0.03531489111241907,""
"Package,File,Json,NPM",61,0.029919560525799492,""
"Type,TS,Tuple",48,0.023543260741612712,""
"File,Directory,Local",43,0.021090837747694723,""
"Json,Value,Array",37,0.018147930154993133,""
"NPM,Engine",31,0.015205022562291544,""
"Value,Array,TS",29,0.014224053364724347,""
"Value,TS,Null",23,0.011281145772022758,""
"jQAssistant,Rule,Concept",19,0.009319207376888365,""
"Value,Object,TS",17,0.008338238179321169,""
"File,TS,Scan",13,0.006376299784186777,""
"TS,Class",12,0.005885815185403178,""
"Repository,NPM",11,0.0053953305866195796,""
"Project,TS",11,0.0053953305866195796,""
"File,Local",11,0.0053953305866195796,""
"TS,Constructor",11,0.0053953305866195796,""
"TS,AccessorProperty",11,0.0053953305866195796,""
"TS,Getter",11,0.0053953305866195796,""
"NPM,BugTracker",9,0.0044143613890523835,""
"TS,EnumMember",9,0.0044143613890523835,""
"File,NPM,Export",5,0.002452422993917991,""
"NPM,Binary",3,0.0014714537963507945,""
"TS,Enum",3,0.0014714537963507945,""
"NPM,Overrides",2,0.0009809691975671963,""
"File,TS,Local,Module,TestRelated,TestEnvironment",2,0.0009809691975671963,""
"TS,Setter",1,0.0004904845987835981,""
"Repository,File,Git",1,0.0004904845987835981,""
"Git,Branch",1,0.0004904845987835981,""
"Analyze,Task,jQAssistant",1,0.0004904845987835981,""
